scale = 4ft/unit
name	x		y
PCS		751		834
FAIR	883		198
EHS		994		429
ING		932		945
ALOF	945		997
ALUM	936		1019
UP		1164	1250
HARR	1186	1252
BH		1331	898
JUB		1083	731
PH		1196	731
KOM		1203	636
VET		1130	550
AMG		1111	467
SFA		1313	592
WMB		1347	592
JH		1303	671
TODD	1319	745
WPS		1297	824
DSB		1340	816
KUC		1386	746
FH		1409	666
BDA		1392	592
CKNB	1480	603
LRC		1491	767
SCI		1470	923
LIB		1563	904
BAS		1586	742
SAG		1554	600
HMA		1557	523
TCM		1591	372
HOB		1552	345
TLC		1678	410
MB		1636	626
BRAGG	1644	851
COE		1687	778
VA		1682	512
HC		1707	534
GH		1740	510
HONR	1775	840
