                   PCS   FAIR    EHS    ING   ALOF   ALUM     UP   HARR     BH    JUB     PH    KOM    VET    AMG    SFA    WMB     JH   TODD    WPS    DSB    KUC     FH    BDA   CKNB    LRC    SCI    LIB    BAS    SAG    HMA    TCM    HOB    TLC     MB  BRAGG    COE     VA     HC     GH   HONR
Rose              3031    445   1347   3388   3596   3684   4700   4726   3575   2603   2743   2409   1973   1640   2495   2580   2730   3015   3250   3303   3164   2966   2700   2980   3487   3939   4094   3671   3197   3023   2854   2669   3234   3520   4145   4064   3426   3556   3627   4492
FairView          2383    254    772   2750   2960   3046   4102   4132   3077   2022   2223   1927   1476   1176   2112   2219   2297   2559   2756   2832   2743   2596   2365   2685   3107   3493   3691   3345   2937   2818   2785   2615   3155   3277   3793   3759   3273   3396   3492   4190
Bell               678   2269   1389    727    941   1023   2197   2247   1781    720   1167   1295   1241   1446   1768   1894   1631   1653   1581   1747   1921   2050   2063   2385   2340   2342   2686   2721   2674   2778   3158   3082   3398   2972   2971   3124   3264   3334   3488   3488
IngramN            880   2890   1958    144    322    415   1572   1627   1505    903   1217   1499   1626   1905   1934   2036   1704   1610   1417   1592   1854   2075   2178   2446   2226   2060   2432   2619   2710   2877   3350   3307   3532   2962   2768   2980   3328   3375   3536   3294
IngramS            826   3144   2256    220    214    221   1518   1588   1785   1265   1578   1864   1977   2244   2298   2399   2063   1953   1738   1910   2189   2424   2538   2799   2544   2320   2699   2936   3057   3233   3713   3671   3889   3299   3050   3281   3677   3720   3882   3574
ParkingServ       2015   3869   2861   1168   1009   1000    504    520   1126   1604   1577   1958   2299   2636   2210   2251   1896   1639   1314   1420   1755   2079   2316   2439   1939   1467   1826   2279   2615   2874   3461   3482   3521   2747   2212   2511   3209   3210   3370   2698
MainSt            2340   4046   3025   1490   1345   1343    552    510   1025   1769   1653   2028   2411   2751   2210   2230   1892   1608   1282   1349   1672   2004   2269   2341   1781   1241   1573   2089   2484   2761   3366   3406   3390   2576   1960   2275   3054   3041   3198   2424
PublicSafety      2502   4542   3541   1703   1504   1458    187    183   1712   2288   2261   2642   2988   3325   2871   2900   2553   2280   1952   2032   2359   2691   2949   3031   2468   1907   2211   2764   3173   3452   4056   4094   4079   3257   2591   2918   3738   3721   3876   3020
CollegeHeights    3112   4512   3491   2269   2145   2152   1193   1111   1198   2300   2039   2364   2801   3132   2385   2357   2090   1788   1523   1492   1724   2031   2332   2278   1627    998   1160   1801   2324   2629   3247   3332   3179   2304   1496   1835   2795   2748   2887   1852
SportsPlex        5992   6943   5995   5156   5038   5045   3946   3858   3797   4993   4616   4823   5267   5542   4610   4514   4426   4188   4072   3950   3979   4129   4389   4123   3612   3278   3030   3425   3950   4195   4644   4813   4351   3677   2944   3061   3978   3854   3884   2657
CityView          5906   6518   5629   5106   5022   5046   4107   4020   3601   4761   4345   4489   4913   5153   4203   4090   4071   3876   3829   3681   3636   3720   3944   3638   3228   3042   2723   2963   3420   3626   3999   4179   3674   3111   2530   2554   3332   3202   3203   2124
GreekRow          5818   6023   5224   5084   5040   5082   4356   4275   3489   4545   4100   4161   4543   4733   3798   3671   3738   3606   3645   3478   3343   3338   3503   3162   2915   2932   2561   2572   2899   3039   3293   3482   2936   2560   2254   2143   2654   2521   2481   1743
Rutherford        6939   7123   6346   6190   6136   6173   5363   5278   4606   5677   5233   5294   5673   5855   4925   4797   4871   4740   4773   4607   4477   4469   4627   4282   4049   4044   3679   3705   4012   4130   4322   4512   3951   3669   3384   3277   3713   3582   3520   2877
Softball          5536   5572   4810   4842   4819   4869   4265   4189   3235   4219   3768   3791   4151   4318   3400   3269   3373   3274   3352   3180   3006   2959   3096   2746   2581   2698   2319   2212   2469   2579   2791   2980   2426   2125   1971   1796   2166   2034   1981   1445
Ezell             4112   4580   3682   3378   3340   3385   2790   2717   1781   2868   2433   2549   2967   3207   2258   2148   2128   1950   1950   1788   1700   1773   2007   1720   1284   1224    853   1027   1541   1796   2294   2449   2057   1284    586    653   1655   1548   1626    300
MtsuBlvdG         4837   4951   4150   4148   4129   4182   3641   3569   2541   3521   3071   3105   3476   3659   2728   2599   2684   2576   2652   2480   2309   2276   2430   2087   1883   2013   1633   1519   1824   1974   2284   2468   1951   1486   1275   1098   1624   1491   1481    750
Rec               4468   4798   3937   3747   3715   3762   3170   3096   2144   3195   2752   2835   3236   3453   2504   2385   2411   2261   2292   2125   2001   2028   2230   1913   1575   1595   1218   1259   1690   1903   2326   2497   2041   1385    901    835   1661   1539   1579    407
Abernathy         3957   4751   3797   3168   3097   3129   2365   2286   1653   2830   2432   2625   3069   3347   2424   2335   2229   1992   1898   1763   1781   1949   2225   2000   1429   1102    832   1314   1889   2177   2731   2869   2537   1699    823   1067   2128   2036   2133    843
MTSU              6004   5712   5056   5369   5370   5428   4941   4869   3776   4641   4190   4148   4455   4570   3713   3577   3749   3706   3840   3665   3440   3325   3398   3044   3036   3277   2902   2645   2749   2773   2813   2999   2433   2416   2525   2276   2292   2176   2069   2020
Highland          2658   3656   3692   3476   3594   3592   4814   4895   4982   3917   4369   4395   4131   4111   4844   4979   4792   4863   4803   4970   5131   5216   5159   5508   5555   5547   5901   5929   5804   5840   6068   5939   6382   6127   6194   6340   6342   6433   6574   6711
MEC               2309   3013   3102   3156   3302   3317   4590   4666   4573   3453   3899   3886   3589   3540   4320   4456   4295   4394   4367   4528   4660   4716   4636   4988   5087   5135   5476   5451   5284   5300   5494   5358   5819   5615   5747   5870   5802   5898   6034   6255
Jackson           2716   3296   3463   3561   3704   3717   4983   5061   4983   3859   4304   4283   3976   3912   4711   4847   4694   4798   4775   4935   5063   5114   5027   5380   5491   5544   5884   5852   5676   5684   5861   5720   6191   6008   6154   6273   6185   6284   6417   6660
Livestock         4447   3386   2968   4095   4191   4277   4424   4387   2875   3098   2736   2488   2584   2545   2025   1917   2255   2418   2716   2585   2251   1943   1779   1568   2101   2705   2515   1867   1393   1127    612    715    491   1366   2242   1933    880    954    858   2185
Greenhouse        4330   3962   3276   3785   3826   3898   3727   3673   2292   2943   2504   2406   2685   2790   1953   1818   2032   2051   2257   2090   1803   1614   1638   1290   1469   1935   1640   1101    995    993   1154   1342    807    696   1287    948    529    402    342   1084
ChampionWayG      3609   2861   2260   3240   3337   3423   3633   3603   2075   2248   1881   1641   1779   1797   1173   1062   1400   1577   1885   1768   1434   1111    925    753   1367   1996   1888   1244    672    364    272    349    484    834   1710   1475    586    718    788   1846
Greenland         3331   1743   1533   3271   3433   3528   4149   4145   2696   2235   2085   1710   1505   1276   1472   1476   1789   2084   2401   2369   2105   1805   1501   1648   2279   2861   2891   2332   1775   1531   1242   1053   1620   2050   2826   2662   1856   1989   2039   3068
MiddleTN          2972    615   1147   3226   3427   3518   4457   4477   3251   2358   2443   2090   1675   1334   2126   2202   2379   2672   2926   2965   2803   2587   2311   2579   3107   3584   3719   3274   2787   2606   2433   2248   2812   3106   3753   3660   3005   3135   3205   4086
