scale=4ft/unit
name 			capacity		x	y
Rose 57 3728 392
FairView 197 3616 1032
Bell 127 3624 3060
IngramN 30 3820 3668
IngramS 98 3572 3936
ParkingServ 136 4652 4496
MainSt 75 4996 4564
PublicSafety 32 4692 5184
CollegeHeights 46 5808 4688
SportsPlex 112 8560 5580
CityView 131 8752 4696
Greekrow 95 8812 3692
Rutherford 934 9916 3952
Softball 519 8540 3236
Ezell 171 7104 3660
MtsuBlvdG 490 7840 3232
Rec 95 7468 3536
Abernathy 31 6872 4172
MTSU 712 8960 2572
Highland 210 420 2712
MEC 57 932 2316
BellStG 490 480 2400
Jackson 49 544 2184
Livestock 732 6896 1184
Greenhouse 509 7204 2280
ChampionWayG 490 6236 1728
Greenland 681 5272 896
MiddleTN 194 4108 576
