Sections Found,,,,,,,,,,,,,,,,,,,
AAS-African American Studies,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,15897,AAS,2020,1,24M,3,Themes in Literature and Culture:The African American Experience,MWF,11:30 am-12:25 pm,7,7,0,23,23,0,Frances Dianne Henderson (P),01/17-05/04,PH 325,African American Studies and Credit from 4-Year College
NR,15898,AAS,2020,2,24M,3,Themes in Literature and Culture:The African American Experience,MWF,10:20 am-11:15 am,5,4,1,15,14,1,Frances Dianne Henderson (P),01/17-05/04,PH 301,African American Studies and Credit from 4-Year College
NR,15899,AAS,2020,3,24M,3,Themes in Literature and Culture:The African American Experience,MWF,09:10 am-10:05 am,9,4,5,30,19,11,Frances Dianne Henderson (P),01/17-05/04,PH 308,African American Studies and Credit from 4-Year College
NR,14296,AAS,2050,1,24M,3,Survey African American History II,MW,12:40 pm-02:05 pm,15,12,3,30,14,16,Tommy Lee Bynum (P),01/17-05/04,PH 227,African American Studies and Credit from 4-Year College
C,10365,AAS,2100,1,24M,3,Introduction to African American Studies,MW,12:40 pm-02:05 pm,30,30,0,0,0,0,Louis L Woods (P),01/17-05/04,CKNB 105,African American Studies and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13406,AAS,2100,2,24M,3,Introduction to African American Studies,MW,02:20 pm-03:45 pm,30,29,1,0,0,0,Louis L Woods (P),01/17-05/04,CKNB 105,African American Studies and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12247,AAS,2100,3,24M,3,Introduction to African American Studies,TR,09:40 am-11:05 am,30,29,1,0,0,0,Adonijah L Bakari (P),01/17-05/04,CKNB 105,African American Studies and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,14193,AAS,2100,4,24M,3,Introduction to African American Studies,TR,08:00 am-09:25 am,30,17,13,0,0,0,Magaela Christina Bethune (P),01/17-05/04,PH 213,African American Studies and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13349,AAS,2100,5,24M,3,Introduction to African American Studies,TR,01:00 pm-02:25 pm,30,29,1,0,0,0,Adonijah L Bakari (P),01/17-05/04,BAS S130A,African American Studies and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13407,AAS,3200,1,24M,3,Cultural Diversity: Competency for Practice,W,06:00 pm-09:00 pm,5,4,1,28,28,0,Nakita Watts (P),01/17-05/04,PH 200,African American Studies and Global Studies-Gender and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
NR,13408,AAS,3250,1,24M,3,Perspectives on Black Psychology,TR,04:20 pm-05:45 pm,10,9,1,40,32,8,Jerden Johnson (P),01/17-05/04,BAS S272,African American Studies and Credit from 4-Year College and Upper-Division Work
C,13350,AAS,4240,1,24M,3,Race and Ethnic Relations,MW,04:10 pm-05:35 pm,10,10,0,30,24,6,Ben S Austin (P),01/17-05/04,PH 300,African American Studies and Credit from 4-Year College and Upper-Division Work
C,10366,AAS,4600,1,24M,3,Inter Sem in AAS:Beyond Beats & Rymes:A history or hip hop & the people who created it,MWF,10:20 am-11:15 am,10,10,0,25,25,0,Louis L Woods (P),01/17-05/04,PH 201,African American Studies and Credit from 4-Year College and Upper-Division Work
NR,13409,AAS,4600,2,24M,3,Interdisciplinary Seminar in African American Studies:Black Women in America,TR,09:40 am-11:05 am,30,11,19,0,0,0,Magaela Christina Bethune (P),01/17-05/04,BAS S275,African American Studies and Credit from 4-Year College and Upper-Division Work
NR,14458,AAS,4600,3,24M,3,Interdisciplinary Seminar in African American Studies:Women and Politics in Africa,MWF,12:40 pm-01:35 pm,10,1,9,35,13,22,Aliou Ly (P),01/17-05/04,PH 219,African American Studies and Credit from 4-Year College and Upper-Division Work
NR,15461,AAS,4600,5,24M,3,Interdisciplinary Seminar in African American Studies:African American Politics,MW,12:40 pm-02:05 pm,10,2,8,35,18,17,Sekou Macec-Mustafa Franklin (P),01/17-05/04,PH 212,African American Studies and Credit from 4-Year College and Upper-Division Work
NR,17316,AAS,4600,6,24M,3,Interdisciplinary Seminar in African American Studies:Readings and Perspectives on Manhood,TR,02:40 pm-04:05 pm,20,8,12,25,14,11,Adonijah L Bakari (P),01/17-05/04,PH 214,African American Studies and Credit from 4-Year College and Upper-Division Work
