Sections Found,,,,,,,,,,,,,,,,,,,
ACTG-Accounting,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10401,ACTG,2110,1,24M,3,Principles of Accounting I,MWF,08:00 am-08:55 am,50,37,13,0,0,0,Elizabeth R Abernathy (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Elizabeth R Abernathy (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10402,ACTG,2110,2,24M,3,Principles of Accounting I,MWF,09:10 am-10:05 am,50,48,2,0,0,0,Elizabeth R Abernathy (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Elizabeth R Abernathy (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10404,ACTG,2110,3,24M,3,Principles of Accounting I,MWF,10:20 am-11:15 am,50,49,1,0,0,0,Elizabeth R Abernathy (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Elizabeth R Abernathy (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Elizabeth R Abernathy (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10405,ACTG,2110,4,24M,3,Principles of Accounting I,TR,02:40 pm-04:05 pm,50,24,26,0,0,0,Andrea Leigh Williams (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Andrea Leigh Williams (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,14388,ACTG,2110,5,24M,3,Principles of Accounting I,MW,02:20 pm-03:45 pm,50,49,1,0,0,0,Mark H Crocker (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Mark H Crocker (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Mark H Crocker (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Mark H Crocker (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Mark H Crocker (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10407,ACTG,2110,6,24M,3,Principles of Accounting I,TR,09:40 am-11:05 am,50,32,18,0,0,0,Andrea Leigh Williams (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Andrea Leigh Williams (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10408,ACTG,2110,7,24M,3,Principles of Accounting I,TR,01:00 pm-02:25 pm,50,38,12,0,0,0,Andrea Leigh Williams (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Andrea Leigh Williams (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,15660,ACTG,2110,9,24M,3,Principles of Accounting I,TR,11:20 am-12:45 pm,50,48,2,0,0,0,Mark H Crocker (P),01/17-05/04,BAS S260,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Mark H Crocker (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Mark H Crocker (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Mark H Crocker (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Mark H Crocker (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,13032,ACTG,2110,10,24M,3,Principles of Accounting I,W,06:00 pm-09:00 pm,45,25,20,0,0,0,Andrea Leigh Williams (P),01/17-05/04,BAS S324,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),02/10-02/10,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),03/17-03/17,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-03:30 pm,,,,,,,Andrea Leigh Williams (P),04/07-04/07,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
,,,,,,,,F,02:00 pm-04:00 pm,,,,,,,Andrea Leigh Williams (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
C,10409,ACTG,2120,1,24M,3,Principles of Accounting II,TR,02:40 pm-04:05 pm,40,40,0,0,0,0,Monica E Davis (P),01/17-05/04,BAS S128,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10410,ACTG,2120,2,24M,3,Principles of Accounting II,TR,09:40 am-11:05 am,40,38,2,0,0,0,Eric James Burton (P),01/17-05/04,BAS S270,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10411,ACTG,2120,3,24M,3,Principles of Accounting II,W,06:00 pm-09:00 pm,40,14,26,0,0,0,Eric James Burton (P),01/17-05/04,BAS S316,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10412,ACTG,2120,5,24M,3,Principles of Accounting II,TR,11:20 am-12:45 pm,40,33,7,0,0,0,Eric James Burton (P),01/17-05/04,BAS S270,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10413,ACTG,2120,7,24M,3,Principles of Accounting II,MW,12:40 pm-02:05 pm,40,38,2,0,0,0,Andrea Leigh Williams (P),01/17-05/04,BAS S270,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10414,ACTG,2120,8,24M,3,Principles of Accounting II,MW,02:20 pm-03:45 pm,40,22,18,0,0,0,Andrea Leigh Williams (P),01/17-05/04,BAS S270,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
C,10415,ACTG,2120,9,24M,3,Principles of Accounting II,MW,04:10 pm-05:35 pm,40,40,0,0,0,0,Monica E Davis (P),01/17-05/04,BAS S270,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10416,ACTG,2125,1,24M,3,Principles of Accounting II for Accounting Majors,TR,11:20 am-12:45 pm,30,28,2,0,0,0,Rebecca A Foote (P),01/17-05/04,BAS S341,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,10417,ACTG,2125,2,24M,3,Principles of Accounting II for Accounting Majors,TR,09:40 am-11:05 am,30,27,3,0,0,0,Rebecca A Foote (P),01/17-05/04,BAS S341,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
NR,12230,ACTG,2125,3,24M,3,Principles of Accounting II for Accounting Majors,M,06:00 pm-09:00 pm,25,23,2,0,0,0,Elizabeth R Abernathy (P),01/17-05/04,BAS S330,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College
C,15371,ACTG,3000,1,24M,3,Survey of Accounting for General Business,TR,09:40 am-11:05 am,45,47,-2,0,0,0,Monica E Davis (P),01/17-05/04,BAS S330,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10418,ACTG,3000,3,24M,3,Survey of Accounting for General Business,MW,12:40 pm-02:05 pm,45,45,0,0,0,0,Mark H Crocker (P),01/17-05/04,BAS S301,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10419,ACTG,3000,5,24M,3,Survey of Accounting for General Business,TR,08:00 am-09:25 am,45,29,16,0,0,0,Mark H Crocker (P),01/17-05/04,BAS S270,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10420,ACTG,3000,7,24M,3,Survey of Accounting for General Business,M,06:00 pm-09:00 pm,45,46,-1,0,0,0,Monica E Davis (P),01/17-05/04,BAS S270,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14881,ACTG,3000,8,24M,3,Survey of Accounting for General Business,MW,02:20 pm-03:45 pm,45,45,0,0,0,0,Monica E Davis (P),01/17-05/04,BAS S301,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10421,ACTG,3020,2,24M,3,Managerial Accounting,M,06:00 pm-09:00 pm,40,29,11,0,0,0,Audrey Nicole Scarlata (P),01/17-05/04,BAS S341,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10423,ACTG,3020,3,24M,3,Managerial Accounting,TR,11:20 am-12:45 pm,40,39,1,0,0,0,Audrey Nicole Scarlata (P),01/17-05/04,BAS S324,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
