Sections Found,,,,,,,,,,,,,,,,,,,
AERO-Aerospace,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16915,AERO,1010,1,24M,3,Introduction to Aerospace,W,06:00 pm-09:00 pm,60,60,0,0,0,0,Blair E Chesnut (P),01/17-05/04,BAS S118,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
C,10916,AERO,1020,1,24M,3,Theory of Flight,TR,02:40 pm-04:05 pm,60,60,0,0,0,0,Kurt L Reesman (P),01/17-05/04,BAS S118,Tutoring Courses and Aerospace Course Fee and Theory of Flight Lab Fee and Credit from 4-Year College
C,11878,AERO,1230,1,24M,3,Aviation Laws and Regulations,TR,11:20 am-12:45 pm,48,48,0,0,0,0,Andrea M Georgiou (P),01/17-05/04,LRC 208,Aerospace Course Fee and Credit from 4-Year College
C,16627,AERO,1230,2,24M,3,Aviation Laws and Regulations,MWF,11:30 am-12:25 pm,60,60,0,0,0,0,"Andrea M Georgiou (P), Ethan Andrew Schek",01/17-05/04,BAS S118,Aerospace Course Fee and Credit from 4-Year College
C,16913,AERO,1230,3,24M,3,Aviation Laws and Regulations,MWF,11:30 am-12:25 pm,30,30,0,0,0,0,Christina Leann Hiers (P),01/17-05/04,BAS S213,Aerospace Course Fee and Credit from 4-Year College
NR,10917,AERO,1380,1,24M,3,Aerospace Maintenance Shop Practices,MWF,12:40 pm-02:45 pm,18,13,5,0,0,0,Joseph Clemens Hawkins (P),01/17-05/04,AWS 105,Aerospace Course Fee and Credit from 4-Year College
C,15565,AERO,1380,2,24M,3,Aerospace Maintenance Shop Practices,TR,04:20 pm-07:25 pm,15,15,0,0,0,0,Barry James Roggenkamp (P),01/17-05/04,AWS 105,Aerospace Course Fee and Credit from 4-Year College
NR,17037,AERO,1710,1,24M,3,Introduction to Unmanned Aircraft Systems,MWF,09:10 am-10:05 am,24,20,4,0,0,0,Kevin Michael Corns (P),01/17-05/04,BAS S337,Aerospace Course Fee and Credit from 4-Year College
C,15990,AERO,2010,1,24M,3,Aviation Weather,TR,11:20 am-12:45 pm,30,30,0,0,0,0,Tyler Adam Babb (P),01/17-05/04,BAS S213,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
NR,12385,AERO,2010,2,24M,3,Aviation Weather,MWF,01:50 pm-02:45 pm,60,31,29,0,0,0,Kurt L Reesman (P),01/17-05/04,BAS S118,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
C,16623,AERO,2010,3,24M,3,Aviation Weather,MWF,12:40 pm-01:35 pm,30,30,0,0,0,0,Kurt L Reesman (P),01/17-05/04,BAS S113,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
C,16916,AERO,2010,4,24M,3,Aviation Weather,MWF,10:20 am-11:15 am,30,30,0,0,0,0,Jordan Lea Gunn (P),01/17-05/04,BAS S213,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
NR,12194,AERO,2201,1,24M,2,Professional Pilot Flight Lab I,,TBA,40,27,13,0,0,0,Tyler Adam Babb (P),01/17-05/04,TBA TBA,Aerospace Course Fee and Credit from 4-Year College
C,15989,AERO,2230,2,24M,3,Professional Pilot I,TR,09:40 am-11:05 am,30,30,0,0,0,0,Tyler Adam Babb (P),01/17-05/04,BAS S113,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
NR,16624,AERO,2230,3,24M,3,Professional Pilot I,MWF,09:10 am-10:05 am,60,40,20,0,0,0,Kurt L Reesman (P),01/17-05/04,BAS S118,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
NR,16917,AERO,2230,4,24M,3,Professional Pilot I,TR,04:20 pm-05:45 pm,60,23,37,0,0,0,Donald Crowder (P),01/17-05/04,BAS S118,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College
C,11877,AERO,2331,1,24M,3,Airframe Inspection,TR,01:00 pm-04:05 pm,18,18,0,0,0,0,Harry William Allen (P),01/17-05/04,AWS 105,Aerospace Course Fee and Credit from 4-Year College
C,10920,AERO,3020,1,24M,3,Aerospace Materials,TR,11:20 am-12:45 pm,60,60,0,0,0,0,Stephen Lee Gossett (P),01/17-05/04,BAS S118,Aerospace Course Fee and Credit from 4-Year College and Upper-Division Work
C,10921,AERO,3030,1,24M,3,Propulsion Fundamentals,TR,09:40 am-11:05 am,60,60,0,0,0,0,Harry William Allen (P),01/17-05/04,BAS S118,Tutoring Courses and Aerospace Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10922,AERO,3080,1,24M,3,Aviation Weather II,MWF,12:40 pm-01:35 pm,60,45,15,0,0,0,Ernest Edward Austin (P),01/17-05/04,BAS S118,Aerospace Course Fee and Credit from 4-Year College and Upper-Division Work
C,10923,AERO,3170,1,24M,3,Flight Safety,TR,09:40 am-11:05 am,24,24,0,0,0,0,Christina Leann Hiers (P),01/17-05/04,BAS S208,Aerospace Course Fee and Credit from 4-Year College and Upper-Division Work
