Sections Found,,,,,,,,,,,,,,,,,,,
ALSI-Assess Lrn & Schl Improve,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,16429,ALSI,7030,1,24M,3,The Effective Teaching Knowledge Base,,TBA,10,6,4,0,0,0,Nancy Gail Caukin (P),01/17-05/04,TBA TBA,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Nancy Gail Caukin (P),03/03-03/03,COE 247,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Nancy Gail Caukin (P),03/04-03/04,COE 247,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Nancy Gail Caukin (P),03/17-03/17,COE 247,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Nancy Gail Caukin (P),03/18-03/18,COE 247,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Nancy Gail Caukin (P),04/21-04/21,COE 247,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Nancy Gail Caukin (P),04/22-04/22,COE 247,
NR,15097,ALSI,7040,1,24M,3,"Teacher Observation, Evaluation, and Improvement",,TBA,20,6,14,0,0,0,Kevin Scott Krahenbuhl (P),01/17-05/04,TBA TBA,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),01/20-01/20,COE 245,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),01/21-01/21,COE 245,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),02/17-02/17,COE 245,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),02/18-02/18,COE 245,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),03/03-03/03,COE 245,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),03/04-03/04,COE 245,
NR,15098,ALSI,7050,1,24M,1,Application and Research Seminar: Student Learning,,TBA,20,5,15,0,0,0,Heather Kaye Dillard (P),01/17-05/04,TBA TBA,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Heather Kaye Dillard (P),04/21-04/21,COE 249,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Heather Kaye Dillard (P),04/22-04/22,COE 249,
NR,16446,ALSI,7050,2,24M,1,Application and Research Seminar: Student Learning,,TBA,10,6,4,0,0,0,Kevin Scott Krahenbuhl (P),01/17-05/04,TBA TBA,
,,,,,,,,F,06:00 pm-10:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),01/27-01/27,COE 247,
,,,,,,,,S,08:00 am-05:00 pm,,,,,,,Kevin Scott Krahenbuhl (P),01/28-01/28,COE 247,
NR,16442,ALSI,7050,3,M3D,1,Application and Research Seminar: Student Learning,,TBA,10,7,3,0,0,0,Kevin Scott Krahenbuhl (P),01/17-05/04,M3D LOCATION,Off Campus
