Sections Found,,,,,,,,,,,,,,,,,,,
ANIM-Animation,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,15264,ANIM,1300,1,24M,3,Animation and the Illusion of Motion,TR,02:40 pm-04:05 pm,16,16,0,0,0,0,Jonathan M Parris (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,TR,04:20 pm-05:45 pm,,,,,,,Jonathan M Parris (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College
NR,15265,ANIM,1300,2,24M,3,Animation and the Illusion of Motion,TR,06:00 pm-07:25 pm,16,15,1,0,0,0,Jonathan M Parris (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,TR,07:40 pm-09:05 pm,,,,,,,Jonathan M Parris (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College
NR,16354,ANIM,2300,1,24M,3,Introduction to Digital Animation,TR,08:00 am-09:25 am,18,7,11,0,0,0,Rodrigo Gomez (P),01/17-05/04,BRAGG 148,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,09:40 am-11:05 am,,,,,,,Rodrigo Gomez (P),01/17-05/04,BRAGG 148,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,16355,ANIM,2300,2,24M,3,Introduction to Digital Animation,TR,11:20 am-12:45 pm,18,18,0,0,0,0,Marc J Barr (P),01/17-05/04,BRAGG 148,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,01:00 pm-02:25 pm,,,,,,,Marc J Barr (P),01/17-05/04,BRAGG 148,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15278,ANIM,3040,1,24M,3,Motion Graphics I,MW,06:00 pm-07:25 pm,12,8,4,18,14,4,Rhea Humphries Borzak (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MW,07:40 pm-09:05 pm,,,,,,,Rhea Humphries Borzak (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15266,ANIM,3310,1,24M,3,"Texturing, Lighting, & Rendering",MWF,08:00 am-08:55 am,16,8,8,0,0,0,Rodrigo Gomez (P),01/17-05/04,BRAGG 167,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,09:10 am-10:05 am,,,,,,,Rodrigo Gomez (P),01/17-05/04,BRAGG 167,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16636,ANIM,3310,2,24M,3,"Texturing, Lighting, & Rendering",MWF,10:20 am-11:15 am,16,15,1,0,0,0,Rodrigo Gomez (P),01/17-05/04,BRAGG 167,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,11:30 am-12:25 pm,,,,,,,Rodrigo Gomez (P),01/17-05/04,BRAGG 167,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15267,ANIM,3320,1,24M,3,Introduction to Digital Compositing,,TBA,16,15,1,0,0,0,Marc J Barr (P),01/17-05/04,TBA TBA,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16356,ANIM,3330,1,24M,3,Animation and Rigging,MWF,08:00 am-08:55 am,16,15,1,0,0,0,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,09:10 am-10:05 am,,,,,,,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,16637,ANIM,3330,2,24M,3,Animation and Rigging,MWF,03:00 pm-03:55 pm,16,16,0,0,0,0,Rodrigo Gomez (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,04:10 pm-05:05 pm,,,,,,,Rodrigo Gomez (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16659,ANIM,4310,1,24M,3,Animation & Performance,MWF,10:20 am-11:15 am,16,5,11,0,0,0,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,11:30 am-12:25 pm,,,,,,,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15268,ANIM,4400,1,24M,3,Animation Seminar I,MWF,12:40 pm-01:35 pm,10,6,4,20,8,12,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,01:50 pm-02:45 pm,,,,,,,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15269,ANIM,4410,1,24M,3,Animation Seminar II,MWF,12:40 pm-01:35 pm,10,2,8,20,8,12,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,01:50 pm-02:45 pm,,,,,,,Kevin James McNulty (P),01/17-05/04,BRAGG 148,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
