Sections Found,,,,,,,,,,,,,,,,,,,
ANTH-Anthropology,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10329,ANTH,2010,1,24M,3,Cultural Anthropology,MW,02:20 pm-03:45 pm,100,55,45,0,0,0,Richard B Pace (P),01/17-05/04,COE 160,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,15068,ANTH,2010,2,24M,3,Cultural Anthropology,TR,08:00 am-09:25 am,38,32,6,0,0,0,Ida Fadzillah Leggett (P),01/17-05/04,PH 318,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,15070,ANTH,2010,D01,24M,3,Cultural Anthropology,,TBA,35,34,1,0,0,0,Ida Fadzillah Leggett (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12236,ANTH,2210,1,24M,3,Introduction to World Prehistory,MWF,08:00 am-08:55 am,38,23,15,0,0,0,Andrew Russell Wyatt (P),01/17-05/04,PH 318,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,15513,ANTH,2210,2,24M,3,Introduction to World Prehistory,MWF,10:20 am-11:15 am,38,27,11,0,0,0,Paul N Eubanks (P),01/17-05/04,PH 318,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,16561,ANTH,2210,3,24M,3,Introduction to World Prehistory,TR,08:00 am-09:25 am,38,24,14,0,0,0,Bradley N Bartel (P),01/17-05/04,PH 218,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,16562,ANTH,2210,4,24M,3,Introduction to World Prehistory,TR,01:00 pm-02:25 pm,100,58,42,0,0,0,Shannon Chappell Hodge (P),01/17-05/04,SAG 125,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,16563,ANTH,2210,5,24M,3,Introduction to World Prehistory,R,06:00 pm-09:00 pm,38,25,13,0,0,0,Aaron Deter-Wolf (P),01/17-05/04,PH 318,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,13336,ANTH,2210,D01,24M,3,Introduction to World Prehistory,,TBA,20,20,0,0,0,0,Paul N Eubanks (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,15071,ANTH,2740,D01,24M,3,"Magic, Witchcraft, and Religion",,TBA,35,35,0,0,0,0,William H Leggett (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,16152,ANTH,3010,1,24M,3,Ethnology,TR,01:00 pm-02:25 pm,38,30,8,0,0,0,William H Leggett (P),01/17-05/04,PH 318,Credit from 4-Year College and Upper-Division Work
NR,12723,ANTH,3210,1,24M,3,Archaeology,MW,02:20 pm-03:45 pm,38,21,17,0,0,0,Andrew Russell Wyatt (P),01/17-05/04,PH 318,Credit from 4-Year College and Upper-Division Work
NR,13462,ANTH,3310,1,24M,3,Human Origins,MW,12:40 pm-02:05 pm,38,26,12,0,0,0,Shannon Chappell Hodge (P),01/17-05/04,PH 318,Credit from 4-Year College and Upper-Division Work
NR,10331,ANTH,3410,1,24M,3,Linguistic Anthropology,TR,02:40 pm-04:05 pm,38,24,14,0,0,0,Kevin E Smith (P),01/17-05/04,BAS S324,Credit from 4-Year College and Upper-Division Work
NR,16565,ANTH,3516,1,24M,3,Peoples and Cultures of Europe,MWF,08:00 am-08:55 am,38,17,21,0,0,0,Bradley N Bartel (P),01/17-05/04,PH 218,Credit from 4-Year College and Upper-Division Work
NR,16566,ANTH,3517,1,24M,3,Peoples and Cultures of Brazil,TR,02:40 pm-04:05 pm,38,22,16,0,0,0,Richard B Pace (P),01/17-05/04,PH 318,Credit from 4-Year College and Upper-Division Work
NR,16567,ANTH,3530,1,24M,3,Anthropology Research Methods,MWF,11:30 am-12:25 pm,38,12,26,0,0,0,Andrew Russell Wyatt (P),01/17-05/04,PH 318,Credit from 4-Year College and Upper-Division Work
NR,15076,ANTH,3660,1,24M,3,(EXL)Forensic Sciences,T,06:00 pm-09:00 pm,38,18,20,0,0,0,Hugh E Berryman (P),01/17-05/04,WPS 102,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,16568,ANTH,4120,1,24M,3,(EXL)Practicing Anthropology,TR,11:20 am-12:45 pm,38,10,28,0,0,0,Ida Fadzillah Leggett (P),01/17-05/04,PH 318,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,16569,ANTH,4140,1,24M,3,Immigrants and Globalization in the American South,TR,09:40 am-11:05 am,38,5,33,0,0,0,William H Leggett (P),01/17-05/04,PH 318,Credit from 4-Year College and Upper-Division Work
NR,16570,ANTH,4310,1,24M,3,Bioarchaeology,TR,09:40 am-11:05 am,38,25,13,0,0,0,Shannon Chappell Hodge (P),01/17-05/04,BAS S336,Credit from 4-Year College and Upper-Division Work
NR,16571,ANTH,4520,1,24M,3,Archaeology of the Southeastern United States,MWF,09:10 am-10:05 am,38,15,23,0,0,0,Paul N Eubanks (P),01/17-05/04,PH 318,Credit from 4-Year College and Upper-Division Work
NR,15511,ANTH,4890,1,24M,3,Seminar in Anthropological Theory,MWF,10:20 am-11:15 am,35,20,15,0,0,0,Richard B Pace (P),01/17-05/04,PH 300,Credit from 4-Year College and Upper-Division Work
C,17234,ANTH,4910,5,24M,3,Anthropology Undergraduate Research,,TBA,5,5,0,0,0,0,Shannon Chappell Hodge (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,17346,ANTH,5910,1,24M,3,Special Projects,,TBA,1,1,0,0,0,0,Shannon Chappell Hodge (P),01/17-05/04,TBA TBA,
