Sections Found,,,,,,,,,,,,,,,,,,,
ART-Art,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10482,ART,1030,1,24M,3,Art Appreciation,MWF,09:10 am-10:05 am,100,83,17,0,0,0,Dawn Martin Dickins (P),01/17-05/04,TODD 204,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,12241,ART,1030,2,24M,3,Art Appreciation,MW,12:40 pm-02:05 pm,100,44,56,0,0,0,Raymond Nicholas Kleinlein (P),01/17-05/04,TODD 204,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,10483,ART,1030,3,24M,3,Art Appreciation,MWF,10:20 am-11:15 am,100,73,27,0,0,0,Dawn Martin Dickins (P),01/17-05/04,TODD 204,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,11848,ART,1030,4,24M,3,Art Appreciation,MWF,11:30 am-12:25 pm,34,34,0,0,0,0,Patricia S Tenpenny (P),01/17-05/04,TODD 206,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,13371,ART,1030,5,24M,3,Art Appreciation,MW,02:20 pm-03:45 pm,100,41,59,0,0,0,Patricia S Tenpenny (P),01/17-05/04,TODD 204,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,10484,ART,1030,6,24M,3,Art Appreciation,TR,11:20 am-12:45 pm,100,100,0,0,0,0,Melissa Jean Newman (P),01/17-05/04,TODD 204,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,10486,ART,1030,8,24M,3,Art Appreciation,TR,02:40 pm-04:05 pm,100,61,39,0,0,0,Jessica Rae Clevenger (P),01/17-05/04,TODD 204,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
NR,10487,ART,1030,9,24M,3,Art Appreciation,TR,06:00 pm-07:25 pm,34,32,2,0,0,0,Jessica Rae Clevenger (P),01/17-05/04,TODD 204,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,11875,ART,1030,R50,70R,3,Art Appreciation,,TBA,0,12,-12,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Visual and Performing Arts
C,10488,ART,1610,1,24M,3,Two-Dimensional Design,WF,08:00 am-11:00 am,17,17,0,0,0,0,Art Growden (P),01/17-05/04,TODD 236,Studio ART Fees-except Gen Ed and Credit from 4-Year College
C,10491,ART,1610,2,24M,3,Two-Dimensional Design,WF,11:25 am-02:25 pm,17,17,0,0,0,0,Kimberly D Dummons (P),01/17-05/04,TODD 236,Studio ART Fees-except Gen Ed and Credit from 4-Year College
NR,10493,ART,1610,3,24M,3,Two-Dimensional Design,TR,08:00 am-11:00 am,17,16,1,0,0,0,Kathleen Ann O'Connell (P),01/17-05/04,TODD 236,Studio ART Fees-except Gen Ed and Credit from 4-Year College
NR,10494,ART,1610,4,24M,3,Two-Dimensional Design,TR,11:25 am-02:25 pm,17,16,1,0,0,0,Kimberly D Dummons (P),01/17-05/04,TODD 236,Studio ART Fees-except Gen Ed and Credit from 4-Year College
C,15062,ART,1610,5,24M,3,Two-Dimensional Design,TR,02:45 pm-05:45 pm,17,17,0,0,0,0,David Glen Rollins (P),01/17-05/04,TODD 236,Studio ART Fees-except Gen Ed and Credit from 4-Year College
NR,10496,ART,1620,1,24M,3,Drawing I,WF,08:00 am-11:00 am,17,13,4,0,0,0,Thomas H Sturgill (P),01/17-05/04,TODD 117,Studio ART Fees-except Gen Ed and Credit from 4-Year College
C,10497,ART,1620,2,24M,3,Drawing I,WF,11:25 am-02:25 pm,17,17,0,0,0,0,Melissa Jean Newman (P),01/17-05/04,TODD 117,Studio ART Fees-except Gen Ed and Credit from 4-Year College
NR,10498,ART,1620,3,24M,3,Drawing I,TR,08:00 am-11:00 am,17,13,4,0,0,0,Jarrod J Houghton (P),01/17-05/04,TODD 117,Studio ART Fees-except Gen Ed and Credit from 4-Year College
C,10499,ART,1620,4,24M,3,Drawing I,TR,11:25 am-02:25 pm,17,17,0,0,0,0,Jarrod J Houghton (P),01/17-05/04,TODD 117,Studio ART Fees-except Gen Ed and Credit from 4-Year College
NR,10500,ART,1620,5,24M,3,Drawing I,TR,06:00 pm-09:00 pm,17,15,2,0,0,0,Thomas H Sturgill (P),01/17-05/04,TODD 117,Studio ART Fees-except Gen Ed and Credit from 4-Year College
NR,10517,ART,1630,1,24M,3,Three-Dimensional Design,WF,08:00 am-11:00 am,15,7,8,0,0,0,Jarrod J Houghton (P),01/17-05/04,TODD 127,Studio ART Fees-except Gen Ed and Credit from 4-Year College
NR,10518,ART,1630,2,24M,3,Three-Dimensional Design,TR,08:00 am-11:00 am,15,14,1,0,0,0,John Patton Donovan (P),01/17-05/04,TODD 127,Studio ART Fees-except Gen Ed and Credit from 4-Year College
