Sections Found,,,,,,,,,,,,,,,,,,,
ASTR-Astronomy,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10254,ASTR,1030,1,24M,3,Exploring the Universe,MWF,11:30 am-12:25 pm,235,172,63,0,0,0,John Fredrick Wallin (P),01/17-05/04,BAS S102,Tutoring Courses and Book Fee Will Be Charged and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10256,ASTR,1030,2,24M,3,Exploring the Universe,TR,11:20 am-12:45 pm,235,201,34,0,0,0,Eric W Klumpe (P),01/17-05/04,BAS S102,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,12701,ASTR,1030,D01,24M,3,Exploring the Universe,,TBA,32,35,-3,0,0,0,Janaruth H Ford (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,17590,ASTR,1030,D02,24M,3,Exploring the Universe,,TBA,32,31,1,0,0,0,Janaruth H Ford (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,11894,ASTR,1030,R50,65R,4,Astronomy and Lab,,TBA,0,18,-18,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,14291,ASTR,1031,1,24M,1,Observing the Universe,M,08:00 am-09:55 am,30,26,4,0,0,0,Shruti Shrestha (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10259,ASTR,1031,2,24M,1,Observing the Universe,M,10:20 am-12:15 pm,30,29,1,0,0,0,Robert S Mahurin (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10260,ASTR,1031,3,24M,1,Observing the Universe,M,12:40 pm-02:35 pm,30,18,12,0,0,0,Khem Narayan Poudel (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10264,ASTR,1031,4,24M,1,Observing the Universe,M,03:00 pm-04:55 pm,30,25,5,0,0,0,Irina Anatolievna Perevalova (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10262,ASTR,1031,5,24M,1,Observing the Universe,T,10:10 am-12:05 pm,30,25,5,0,0,0,Robert S Mahurin (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,14292,ASTR,1031,6,24M,1,Observing the Universe,T,12:30 pm-02:25 pm,30,29,1,0,0,0,Valery P Youngkins (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,14293,ASTR,1031,7,24M,1,Observing the Universe,T,02:40 pm-04:35 pm,30,29,1,0,0,0,Nathanael Smith (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10263,ASTR,1031,8,24M,1,Observing the Universe,W,08:00 am-09:55 am,30,29,1,0,0,0,Valery P Youngkins (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10265,ASTR,1031,9,24M,1,Observing the Universe,W,10:20 am-12:15 pm,30,28,2,0,0,0,Robert S Mahurin (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,10258,ASTR,1031,10,24M,1,Observing the Universe,W,12:40 pm-02:35 pm,30,29,1,0,0,0,Youaraj Uprety (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,12471,ASTR,1031,11,24M,1,Observing the Universe,R,10:10 am-12:05 pm,30,28,2,0,0,0,Robert S Mahurin (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,12470,ASTR,1031,12,24M,1,Observing the Universe,R,12:30 pm-02:25 pm,30,26,4,0,0,0,Valery P Youngkins (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,12702,ASTR,1031,13,24M,1,Observing the Universe,R,02:40 pm-04:35 pm,30,29,1,0,0,0,Janaruth H Ford (P),01/17-05/04,WPS 210,Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,12703,ASTR,1031,H01,24M,1,(HONORS) Observing the Universe,T,12:30 pm-02:25 pm,20,6,14,0,0,0,Charles A Higgins (P),01/17-05/04,WPS 202,University Honors and Tutoring Courses and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,16693,ASTR,2040,1,24M,3,"Stars, Galaxies, and Cosmology",MWF,09:10 am-10:05 am,30,12,18,0,0,0,Eric W Klumpe (P),01/17-05/04,WPS 310,Credit from 4-Year College
