Sections Found,,,,,,,,,,,,,,,,,,,
ATHC-Athletic Coaching,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11829,ATHC,2720,1,24M,2,Coaching and Officiating Spring Intramurals,T,06:00 pm-08:00 pm,45,26,19,0,0,0,David Warren Tippett (P),01/17-05/04,MC 103,Credit from 4-Year College
C,11830,ATHC,3600,1,24M,3,Coaching and Officiating Football,TR,11:20 am-12:45 pm,49,50,-1,0,0,0,Brent Dean Brock (P),01/17-05/04,MC AR-F,Credit from 4-Year College and Upper-Division Work
NR,12282,ATHC,3650,1,24M,3,Coaching and Officiating Tennis,TR,08:00 am-09:25 am,40,26,14,0,0,0,Charles Fulton Ramsay (P),01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
C,12067,ATHC,3670,1,24M,3,Coaching and Umpiring Baseball,TR,09:40 am-11:05 am,25,25,0,0,0,0,Timothy A Donnelly (P),01/17-05/04,AMG 213,Credit from 4-Year College and Upper-Division Work
NR,13846,ATHC,3810,2,24M,3,Directing Intramurals,R,04:30 pm-07:30 pm,48,13,35,0,0,0,David Warren Tippett (P),01/17-05/04,MC 101,Credit from 4-Year College and Upper-Division Work
NR,11832,ATHC,3910,1,24M,3,Athletic Coaching and Officiating,W,06:00 pm-09:00 pm,48,27,21,0,0,0,Jimmy Patterson Earle (P),01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
NR,14075,ATHC,4000,1,24M,3,"Strength, Conditioning, and Human Performance",TR,08:00 am-09:25 am,10,5,5,35,22,13,Cassandra Rae Hodgson (P),01/17-05/04,MC 100B,Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,08:05 am-09:25 am,,,,,,,Cassandra Rae Hodgson (P),01/17-05/04,MC G105,Credit from 4-Year College and Upper-Division Work
NR,15459,ATHC,4060,2,24M,3,Sport Psychology,TR,11:20 am-12:45 pm,48,47,1,0,0,0,Jason N Hughes (P),01/17-05/04,MC 102,Credit from 4-Year College and Upper-Division Work
NR,14146,ATHC,4060,D01,24M,3,Sport Psychology,,TBA,48,45,3,0,0,0,James Kenneth Rost (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17018,ATHC,4060,D02,24M,3,Sport Psychology,,TBA,30,29,1,0,0,0,"Courtney Lynn Pruitt (P), Sarah Hogstrom Standridge",01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17305,ATHC,4060,D03,24M,3,Sport Psychology,,TBA,25,25,0,0,0,0,Courtney Lynn Pruitt (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12195,ATHC,4180,1,24M,3,Coaching Speed and Strength Conditioning for Sports,MWF,09:10 am-10:05 am,30,15,15,0,0,0,Donald Madison Riley (P),01/17-05/04,MC 100B,Credit from 4-Year College and Upper-Division Work
C,12191,ATHC,4600,1,24M,3,Intermediate Coaching and Officiating Football,R,04:30 pm-07:30 pm,30,31,-1,0,0,0,"Richard Wilson Stockstill (P), Brent Dean Brock",01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
NR,12146,ATHC,4620,1,24M,3,Intermediate Coaching and Officiating Basketball,MWF,09:10 am-10:05 am,32,16,16,0,0,0,"Shalon D Pillow (P), George Thomas Hodges",01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
NR,11834,ATHC,4650,1,24M,3,"Coaching and Officiating Cross Country, Track and Field",TR,08:00 am-09:25 am,30,12,18,0,0,0,Keith Alan Vroman (P),01/17-05/04,AMG 103,Credit from 4-Year College and Upper-Division Work
NR,17016,ATHC,4690,1,24M,3,Psychology of Coaching and Officiating,T,04:30 pm-07:30 pm,32,18,14,34,20,14,James Kenneth Rost (P),01/17-05/04,AMG 116,Credit from 4-Year College and Upper-Division Work
NR,10422,ATHC,4800,1,24M,3,Administration of High School and College Athletics,MW,02:20 pm-03:45 pm,40,23,17,45,24,21,Colby Burke Jubenville (P),01/17-05/04,MC 100B,Credit from 4-Year College and Upper-Division Work
NR,16467,ATHC,4800,2,24M,3,Administration of High School and College Athletics,M,04:30 pm-07:30 pm,60,17,43,70,29,41,Ray W Wiley (P),01/17-05/04,MC 104,Credit from 4-Year College and Upper-Division Work
C,15031,ATHC,5060,D01,24M,3,Sport Psychology,,TBA,6,7,-1,0,0,0,James Kenneth Rost (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR and Credit from 4-Year College and Upper-Division Work
C,17017,ATHC,5690,1,24M,3,Psychology of Coaching,T,04:30 pm-07:30 pm,2,2,0,34,20,14,James Kenneth Rost (P),01/17-05/04,AMG 116,Credit from 4-Year College and Upper-Division Work
C,17019,ATHC,5800,2,24M,3,Administration of High School and College Athletics,M,04:30 pm-07:30 pm,10,12,-2,70,29,41,Ray W Wiley (P),01/17-05/04,MC 104,Credit from 4-Year College and Upper-Division Work
NR,14766,ATHC,5800,3,24M,3,Administration of High School and College Athletics,MW,02:20 pm-03:45 pm,5,1,4,45,24,21,Colby Burke Jubenville (P),01/17-05/04,MC 100B,Credit from 4-Year College and Upper-Division Work
