Sections Found,,,,,,,,,,,,,,,,,,,
ATHT-Athletic Training,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13399,ATHT,3570,4,24M,3,Psychomotor Skills in Athletic Training,TR,08:00 am-09:25 am,18,17,1,0,0,0,Andrew Charles Shea (P),01/17-05/04,AMG 218,Credit from 4-Year College and Upper-Division Work
C,13400,ATHT,3570,5,24M,3,Psychomotor Skills in Athletic Training,TR,09:40 am-11:05 am,18,18,0,0,0,0,Reese Alexander Shivers (P),01/17-05/04,AMG 218,Credit from 4-Year College and Upper-Division Work
NR,13401,ATHT,3570,6,24M,3,Psychomotor Skills in Athletic Training,MWF,08:00 am-08:55 am,17,10,7,0,0,0,Keith Morgan Bunch (P),01/17-05/04,AMG 218,Credit from 4-Year College and Upper-Division Work
C,10429,ATHT,3580,1,24M,3,Prevention and Care of Athletic Injuries,MWF,08:00 am-08:55 am,30,30,0,0,0,0,William R Whitehill (P),01/17-05/04,AMG 103,Credit from 4-Year College and Upper-Division Work
C,10431,ATHT,3580,2,24M,3,Prevention and Care of Athletic Injuries,MWF,09:10 am-10:05 am,30,30,0,0,0,0,William R Whitehill (P),01/17-05/04,AMG 103,Credit from 4-Year College and Upper-Division Work
C,12916,ATHT,3580,4,24M,3,Prevention and Care of Athletic Injuries,TR,09:40 am-11:05 am,30,30,0,0,0,0,Alison Jean Ness (P),01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
C,13403,ATHT,3580,5,24M,3,Prevention and Care of Athletic Injuries,MWF,10:20 am-11:15 am,30,30,0,0,0,0,William R Whitehill (P),01/17-05/04,MC 102,Credit from 4-Year College and Upper-Division Work
C,14958,ATHT,3900,1,24M,4,Human Structure and Movement in Sport and Injury,TR,09:40 am-11:05 am,40,40,0,0,0,0,Sadie Jo Harris (P),01/17-05/04,MC 104,Credit from 4-Year College and Upper-Division Work
NR,17175,ATHT,3900,2,24M,4,Human Structure and Movement in Sport and Injury,TR,01:00 pm-02:25 pm,40,38,2,0,0,0,Courtney Leigh Wilder (P),01/17-05/04,MC 102,Credit from 4-Year College and Upper-Division Work
C,14959,ATHT,3901,1,24M,0,Human Structure and Movement in Sport and Injury Laboratory,M,08:00 am-08:55 am,15,17,-2,0,0,0,Sadie Jo Harris (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
C,14960,ATHT,3901,2,24M,0,Human Structure and Movement in Sport and Injury Laboratory,W,08:00 am-08:55 am,15,17,-2,0,0,0,Sadie Jo Harris (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
NR,14961,ATHT,3901,3,24M,0,Human Structure and Movement in Sport and Injury Laboratory,F,08:00 am-08:55 am,15,13,2,0,0,0,Sadie Jo Harris (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
C,15036,ATHT,3901,6,24M,0,Human Structure and Movement in Sport and Injury Laboratory,W,01:50 pm-02:45 pm,15,15,0,0,0,0,Courtney Lynn Pruitt (P),01/17-05/04,AMG 218,Credit from 4-Year College and Upper-Division Work
C,17348,ATHT,3901,7,24M,0,Human Structure and Movement in Sport and Injury Laboratory,T,11:20 am-12:45 pm,15,16,-1,0,0,0,Courtney Leigh Wilder (P),01/17-05/04,AMG 213,Credit from 4-Year College and Upper-Division Work
NR,10435,ATHT,3950,1,24M,3,Evaluation and Assessment of Injuries to the Lower Extremities,MWF,09:10 am-10:05 am,23,14,9,0,0,0,Sadie Jo Harris (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
NR,10437,ATHT,4000,1,24M,3,"Strength, Conditioning, and Human Performance",TR,08:00 am-09:25 am,25,17,8,35,22,13,Cassandra Rae Hodgson (P),01/17-05/04,MC 100B,Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,08:05 am-09:25 am,,,,,,,Cassandra Rae Hodgson (P),01/17-05/04,MC G105,Credit from 4-Year College and Upper-Division Work
NR,14858,ATHT,4960,2,24M,4,Rehabilitation Techniques,MWF,12:40 pm-01:55 pm,21,16,5,0,0,0,Kristin Lynn Phillips (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
NR,14962,ATHT,4970,1,24M,4,Therapeutic Modalities,MWF,10:20 am-11:15 am,23,15,8,0,0,0,Helen Marie Binkley (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
NR,10466,ATHT,4990,1,24M,3,(EXL) Senior Seminar in Athletic Training,M,06:00 pm-09:00 pm,20,17,3,0,0,0,Helen Marie Binkley (P),01/17-05/04,AMG 219,Experiential Learning and Credit from 4-Year College and Upper-Division Work
