Sections Found,,,,,,,,,,,,,,,,,,,
BCED-Business Comm & Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,15519,BCED,1310,D01,24M,3,Keyboarding,,TBA,25,23,2,0,0,0,Raholanda White (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
C,15520,BCED,1400,1,24M,3,Introduction to Business,MW,12:40 pm-02:05 pm,35,35,0,0,0,0,M Wayne Rollins (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College
C,15521,BCED,1400,2,24M,3,Introduction to Business,MW,02:20 pm-03:45 pm,35,35,0,0,0,0,M Wayne Rollins (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College
NR,15522,BCED,1400,3,24M,3,Introduction to Business,TR,09:40 am-11:05 am,35,34,1,0,0,0,Ronda Gerice Henderson (P),01/17-05/04,BAS S324,College of Business Course Fee and Credit from 4-Year College
C,15523,BCED,1400,5,24M,3,Introduction to Business,TR,02:40 pm-04:05 pm,35,35,0,0,0,0,M Wayne Rollins (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College
C,15524,BCED,1400,D01,24M,3,Introduction to Business,,TBA,25,25,0,0,0,0,Ronda Gerice Henderson (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
C,16281,BCED,1400,D02,24M,3,Introduction to Business,,TBA,25,25,0,0,0,0,Ronda Gerice Henderson (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
C,15526,BCED,2330,D01,24M,3,Word Processing Concepts,,TBA,25,25,0,0,0,0,Martha E Balachandran (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
NR,15528,BCED,3510,4,24M,3,Business Communication,MW,12:40 pm-02:05 pm,30,23,7,0,0,0,Kathy Virginia Hemby-Grubb (P),01/17-05/04,BAS S324,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15530,BCED,3510,6,24M,3,Business Communication,MW,02:20 pm-03:45 pm,30,30,0,0,0,0,Sherry J Roberts (P),01/17-05/04,BAS S130A,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15562,BCED,3510,9,24M,3,Business Communication,TR,08:00 am-09:25 am,28,28,0,0,0,0,Stephen D Lewis (P),01/17-05/04,BAS S309,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15532,BCED,3510,10,24M,3,Business Communication,TR,09:40 am-11:05 am,28,27,1,0,0,0,Stephen D Lewis (P),01/17-05/04,BAS S309,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15533,BCED,3510,12,24M,3,Business Communication,TR,11:20 am-12:45 pm,28,28,0,0,0,0,Martha E Balachandran (P),01/17-05/04,BAS S309,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15534,BCED,3510,13,24M,3,Business Communication,TR,01:00 pm-02:25 pm,30,30,0,0,0,0,Raholanda White (P),01/17-05/04,BAS S315,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15537,BCED,3510,D01,24M,3,Business Communication,,TBA,25,26,-1,0,0,0,Raholanda White (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,15538,BCED,3510,D02,24M,3,Business Communication,,TBA,25,25,0,0,0,0,Sherry J Roberts (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,16277,BCED,3510,D03,24M,3,Business Communication,,TBA,25,24,1,0,0,0,Kathy Virginia Hemby-Grubb (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,15539,BCED,3510,D05,24M,3,Business Communication,,TBA,25,25,0,0,0,0,Martha E Balachandran (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15541,BCED,4250,1,24M,3,Innovations and Problems in Administrative Business Services and Technology,T,06:00 pm-09:00 pm,20,3,17,36,4,32,Martha E Balachandran (P),01/17-05/04,BAS S315,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15543,BCED,4340,D01,24M,3,Integrated Administrative Technology,,TBA,20,7,13,30,9,21,Raholanda White (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15544,BCED,4510,D01,24M,3,Business Report Writing,,TBA,20,18,2,0,0,0,Sherry J Roberts (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15545,BCED,4640,D01,24M,3,Issues and Trends in Office Management,,TBA,20,11,9,0,0,0,Kathy Virginia Hemby-Grubb (P),01/17-05/04,TBA TBA,Distance Learning and MT Engage and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
