Sections Found,,,,,,,,,,,,,,,,,,,
BIA-Bus Intelligence Analytics,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,15413,BIA,2610,1,24M,3,Statistical Methods,MWF,10:20 am-11:15 am,28,27,1,0,0,0,Mary Elizabeth Shotwell (P),01/17-05/04,BAS S305,College of Business Course Fee and Credit from 4-Year College
NR,14942,BIA,2610,2,24M,3,Statistical Methods,MWF,09:10 am-10:05 am,28,27,1,0,0,0,Mary Elizabeth Shotwell (P),01/17-05/04,BAS S305,College of Business Course Fee and Credit from 4-Year College
C,14945,BIA,2610,3,24M,3,Statistical Methods,MW,12:40 pm-02:05 pm,28,28,0,0,0,0,Mary Elizabeth Shotwell (P),01/17-05/04,BAS S305,College of Business Course Fee and Credit from 4-Year College
C,14947,BIA,2610,4,24M,3,Statistical Methods,TR,09:40 am-11:05 am,28,28,0,0,0,0,Rajesh Aggarwal (P),01/17-05/04,BAS S272,College of Business Course Fee and Credit from 4-Year College
C,14948,BIA,2610,5,24M,3,Statistical Methods,TR,11:20 am-12:45 pm,28,28,0,0,0,0,Rajesh Aggarwal (P),01/17-05/04,BAS S272,College of Business Course Fee and Credit from 4-Year College
NR,14943,BIA,2610,6,24M,3,Statistical Methods,TR,02:40 pm-04:05 pm,28,27,1,0,0,0,Rajesh Aggarwal (P),01/17-05/04,BAS S272,College of Business Course Fee and Credit from 4-Year College
NR,14946,BIA,2610,7,24M,3,Statistical Methods,W,06:00 pm-09:00 pm,28,25,3,0,0,0,Gordon Lipscomb Freeman (P),01/17-05/04,BAS S275,College of Business Course Fee and Credit from 4-Year College
NR,14944,BIA,2610,8,24M,3,Statistical Methods,R,06:00 pm-09:00 pm,28,14,14,0,0,0,Rajesh Aggarwal (P),01/17-05/04,BAS S272,College of Business Course Fee and Credit from 4-Year College
NR,15774,BIA,2610,D02,24M,3,Statistical Methods,,TBA,24,23,1,0,0,0,Mary Elizabeth Shotwell (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
C,14952,BIA,3620,2,24M,3,Introduction to Business Analytics,W,02:20 pm-03:45 pm,75,77,-2,0,0,0,Daniel Steven Joaquin (P),01/17-05/04,BAS S328,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14951,BIA,3620,3,24M,3,Introduction to Business Analytics,W,06:00 pm-07:30 pm,75,74,1,0,0,0,Lorelei May Samuelson (P),01/17-05/04,BAS S126,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
