Sections Found,,,,,,,,,,,,,,,,,,,
BIOL-Biology (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16737,BIOL,1000,1,24M,1,Introduction to the Biology Major,M,11:30 am-12:55 pm,24,24,0,0,0,0,James B Robertson (P),01/17-05/04,SCI 2120,Credit from 4-Year College
NR,16738,BIOL,1000,2,24M,1,Introduction to the Biology Major,M,03:00 pm-04:25 pm,24,23,1,0,0,0,Matthew John Elrod-Erickson (P),01/17-05/04,SCI 2120,Credit from 4-Year College
C,16739,BIOL,1000,3,24M,1,Introduction to the Biology Major,R,01:00 pm-02:25 pm,24,24,0,0,0,0,Ryan Ross Otter (P),01/17-05/04,SCI 1017,Credit from 4-Year College
C,16740,BIOL,1000,4,24M,1,Introduction to the Biology Major,F,12:40 pm-02:05 pm,24,24,0,0,0,0,Ashley Brigham Morris (P),01/17-05/04,SCI 1017,Credit from 4-Year College
C,11896,BIOL,1010,R50,96R,4,Biology I and Lab,,TBA,0,13,-13,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Natural Sci RODP and Credit from 4-Year College
C,11897,BIOL,1020,R50,96R,4,Biology II and Lab,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Natural Sci RODP and Credit from 4-Year College
NR,11288,BIOL,1030,1,24M,4,Exploring Life,MWF,03:00 pm-03:55 pm,60,20,40,0,0,0,Velta Fanis (P),01/17-05/04,SCI 1190,Tutoring Courses and Biology Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,11294,BIOL,1030,2,24M,4,Exploring Life,MWF,10:20 am-11:15 am,115,96,19,0,0,0,Siti Nur Hidayati (P),01/17-05/04,SAG 125,Tutoring Courses and Biology Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,11291,BIOL,1030,3,24M,4,Exploring Life,MW,04:10 pm-05:35 pm,115,44,71,0,0,0,Angelique Marie Troelstrup (P),01/17-05/04,SCI 1006,Tutoring Courses and Biology Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,11305,BIOL,1030,4,24M,4,Exploring Life,TR,08:00 am-09:25 am,115,113,2,0,0,0,John M Zamora (P),01/17-05/04,BAS S102,Tutoring Courses and Biology Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,11307,BIOL,1030,5,24M,4,(EXL) Exploring Life,TR,02:40 pm-04:05 pm,75,70,5,0,0,0,Kim Cleary Sadler (P),01/17-05/04,SCI 1003,Experiential Learning and Tutoring Courses and Biology Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,11310,BIOL,1030,6,24M,4,Exploring Life,TR,01:00 pm-02:25 pm,115,114,1,0,0,0,Michael L Rutledge (P),01/17-05/04,SCI 1006,Tutoring Courses and Biology Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
NR,17139,BIOL,1030,J02,M2A,4,Exploring Life,,TBA,25,18,7,0,0,0,Angelique Marie Troelstrup (P),01/17-05/04,M2A LOCATION,Dual Enrollment and Off Campus and Tutoring Courses and Biology Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College
C,14268,BIOL,1031,1,24M,0,Exploring Life Lab,M,08:00 am-09:50 am,24,24,0,0,0,0,"John M Zamora (P), Richard Brian Bautista",01/23-05/04,SCI 2130,Gen Ed - Natural Science Block and Credit from 4-Year College
