Sections Found,,,,,,,,,,,,,,,,,,,
BLAW-Business Law,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13070,BLAW,3400,1,24M,3,Legal Environment of Business,MWF,10:20 am-11:15 am,50,49,1,0,0,0,Susan K Bradley (P),01/17-05/04,BAS S316,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10775,BLAW,3400,3,24M,3,Legal Environment of Business,MW,12:40 pm-02:05 pm,50,50,0,0,0,0,Horace E Johns (P),01/17-05/04,BAS S316,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10776,BLAW,3400,4,24M,3,Legal Environment of Business,MW,02:20 pm-03:45 pm,50,50,0,0,0,0,Horace E Johns (P),01/17-05/04,BAS S316,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10777,BLAW,3400,5,24M,3,Legal Environment of Business,MW,04:10 pm-05:35 pm,50,46,4,0,0,0,Horace E Johns (P),01/17-05/04,BAS S316,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16852,BLAW,3400,6,24M,3,Legal Environment of Business,MWF,11:30 am-12:25 pm,50,49,1,0,0,0,Susan K Bradley (P),01/17-05/04,BAS S260,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10778,BLAW,3400,7,24M,3,Legal Environment of Business,T,06:00 pm-09:00 pm,50,48,2,0,0,0,Patricia Sue Wall (P),01/17-05/04,BAS S316,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10779,BLAW,3400,10,24M,3,(EXL)Legal Environment of Business,TR,11:20 am-12:45 pm,26,25,1,0,0,0,Sandra Smith Benson (P),01/17-05/04,BAS S302,Experiential Learning and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10780,BLAW,3400,12,24M,3,(EXL)Legal Environment of Business,TR,01:00 pm-02:25 pm,26,26,0,0,0,0,Sandra Smith Benson (P),01/17-05/04,BAS S302,Experiential Learning and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12232,BLAW,3400,14,24M,3,Legal Environment of Business,R,06:00 pm-09:00 pm,50,21,29,0,0,0,Tolbert F Gilley (P),01/17-05/04,BAS S316,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,12752,BLAW,3400,D01,24M,3,Legal Environment of Business,,TBA,20,20,0,0,0,0,Susan K Bradley (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,16819,BLAW,3400,H01,24M,3,(HONORS) Legal Environment of Business,TR,02:40 pm-04:05 pm,15,9,6,0,0,0,Lara W Daniel (P),01/17-05/04,BAS S270,University Honors and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10794,BLAW,3430,1,24M,3,Commercial Law,TR,11:20 am-12:45 pm,45,45,0,0,0,0,Patricia Sue Wall (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10795,BLAW,3430,2,24M,3,Commercial Law,TR,02:40 pm-04:05 pm,50,48,2,0,0,0,Patricia Sue Wall (P),01/17-05/04,BAS S316,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10796,BLAW,3430,3,24M,3,Commercial Law,T,06:00 pm-09:00 pm,40,27,13,0,0,0,Jonathan K Cameron (P),01/17-05/04,BAS S301,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16734,BLAW,4470,1,24M,3,Real Property Law for Commerce and Agriculture,TR,09:40 am-11:05 am,10,10,0,38,31,7,Lara W Daniel (P),01/17-05/04,BAS S279,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10797,BLAW,4490,1,24M,3,Industrial Relations Legislation,M,06:00 pm-09:00 pm,20,16,4,40,35,5,Susan K Bradley (P),01/17-05/04,BAS S343,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15904,BLAW,4990,1,24M,3,Independent Study,,TBA,5,1,4,0,0,0,Lara W Daniel (P),01/17-05/04,TBA TBA,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16735,BLAW,6500,D01,24M,3,Legal Aspects of Healthcare,,TBA,15,15,0,0,0,0,Sandra Smith Benson (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and College of Business Course Fee and Distance Education Fee-GR
,,,,,,,,M,06:00 pm-08:00 pm,,,,,,,Sandra Smith Benson (P),01/23-02/27,BAS S307,Accelerated 1 Part of term and Distance Learning and College of Business Course Fee and Distance Education Fee-GR
