Sections Found,,,,,,,,,,,,,,,,,,,
BUAD-Business Administration,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,16846,BUAD,4950,1,24M,3,Business Administration Internship,,TBA,15,1,14,0,0,0,William C McDowell (P),01/17-05/04,TBA TBA,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13335,BUAD,4980,1,24M,3,Strategic Management,MW,04:10 pm-05:35 pm,28,26,2,0,0,0,John V Mullane (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14338,BUAD,4980,2,24M,3,Strategic Management,TR,09:40 am-11:05 am,28,29,-1,0,0,0,Richard T Mpoyi (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,12599,BUAD,4980,4,24M,3,Strategic Management,MW,02:20 pm-03:45 pm,28,28,0,0,0,0,Ralph Ivan Williams (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,13298,BUAD,4980,5,24M,3,Strategic Management,MW,12:40 pm-02:05 pm,28,29,-1,0,0,0,Dennis Earl Gupton (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10062,BUAD,4980,6,24M,3,Strategic Management,M,06:00 pm-09:00 pm,28,18,10,0,0,0,Murat Arik (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10063,BUAD,4980,9,24M,3,Strategic Management,TR,11:20 am-12:45 pm,28,30,-2,0,0,0,Joshua R Aaron (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10064,BUAD,4980,10,24M,3,Strategic Management,TR,01:00 pm-02:25 pm,28,28,0,0,0,0,Richard T Mpoyi (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10065,BUAD,4980,11,24M,3,Strategic Management,TR,02:40 pm-04:05 pm,28,28,0,0,0,0,Joshua R Aaron (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10066,BUAD,4980,13,24M,3,Strategic Management,R,06:00 pm-09:00 pm,28,19,9,0,0,0,John V Mullane (P),01/17-05/04,BAS S264,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,12953,BUAD,4980,D01,24M,3,Strategic Management,,TBA,20,25,-5,0,0,0,Dennis Earl Gupton (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14790,BUAD,4980,D02,24M,3,Strategic Management,,TBA,20,24,-4,0,0,0,John V Mullane (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
