Sections Found,,,,,,,,,,,,,,,,,,,
BUS-Business,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,16823,BUS,1000,4,24M,1,Introduction to Jones College,W,11:30 am-12:25 pm,20,13,7,0,0,0,Abby Lynn Davis (P),01/17-05/04,BAS S130A,MT Engage and College of Business Course Fee and Credit from 4-Year College
C,14604,BUS,3000,1,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,MW,12:40 pm-02:05 pm,20,20,0,0,0,0,Jean Renee Wilson (P),01/17-05/04,BAS S262,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15392,BUS,3000,2,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,MW,02:20 pm-03:45 pm,20,20,0,0,0,0,Steven L Overton (P),01/17-05/04,BAS S273,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15444,BUS,3000,3,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,MW,04:10 pm-05:35 pm,20,20,0,0,0,0,Laura Mchughes Buckner (P),01/17-05/04,BAS S273,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15443,BUS,3000,4,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,08:00 am-09:25 am,20,19,1,0,0,0,Jean Renee Wilson (P),01/17-05/04,BAS S262,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15410,BUS,3000,5,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,09:40 am-11:05 am,20,20,0,0,0,0,Steven L Overton (P),01/17-05/04,BAS S273,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15445,BUS,3000,6,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,04:20 pm-05:45 pm,20,19,1,0,0,0,Amber Kathleen Bollinger (P),01/17-05/04,BAS S262,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15446,BUS,3000,7,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,T,06:00 pm-09:00 pm,20,20,0,0,0,0,Laura Mchughes Buckner (P),01/17-05/04,BAS S262,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15411,BUS,3000,8,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,11:20 am-12:45 pm,20,20,0,0,0,0,M Wayne Rollins (P),01/17-05/04,BAS S130A,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15412,BUS,3000,9,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,01:00 pm-02:25 pm,20,20,0,0,0,0,Steven L Overton (P),01/17-05/04,BAS S278,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,14605,BUS,3000,10,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,02:40 pm-04:05 pm,20,20,0,0,0,0,Jonathan K Cameron (P),01/17-05/04,BAS S130A,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15393,BUS,3000,11,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,R,06:00 pm-09:00 pm,20,19,1,0,0,0,Emily A Yttri (P),01/17-05/04,BAS S130A,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15447,BUS,3000,12,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,S,09:00 am-12:00 pm,20,19,1,0,0,0,Paula Tabor Calahan (P),01/17-05/04,BAS S130A,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16793,BUS,3000,13,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,MW,12:40 pm-02:05 pm,20,19,1,0,0,0,David James Urban (P),01/17-05/04,BAS S278,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16794,BUS,3000,14,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,MW,02:20 pm-03:45 pm,20,20,0,0,0,0,Robert B Blair (P),01/17-05/04,BAS S278,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16795,BUS,3000,15,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,M,06:00 pm-09:00 pm,20,20,0,0,0,0,Steven L Overton (P),01/17-05/04,BAS S130A,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16796,BUS,3000,16,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,09:40 am-11:05 am,20,20,0,0,0,0,Sean P Salter (P),01/17-05/04,BAS S278,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,16797,BUS,3000,17,24M,3,(EXL)Dale Carnegie Communications and Human Relations Seminar,TR,11:20 am-12:45 pm,20,20,0,0,0,0,Lucy M Matthews (P),01/17-05/04,BAS S278,Experiential Learning and MT Engage and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
