Sections Found,,,,,,,,,,,,,,,,,,,
BUSN-Business (TN eCampus),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16932,BUSN,1300,R01,60R,3,Personal Finance,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,14554,BUSN,1300,R50,02R,3,Personal Finance,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14553,BUSN,1301,R50,90R,3,Legal Issues for the Web,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,15643,BUSN,1310,R50,51R,3,Business Communications,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,15644,BUSN,1350,R50,90R,3,Sales and Services,,TBA,0,4,-4,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14529,BUSN,1370,R50,59R,3,Spreadsheet Applications,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16972,BUSN,2350,R50,64R,3,Organizational Behavior,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
add to worksheet,16957,BUSN,2380,R25,02R,3,Principles of Marketing,,TBA,99,5,94,0,0,0,RODP Faculty (P),03/13-05/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 2 and Credit from 4-Year College
C,14653,BUSN,2380,R50,02R,3,Principles of Marketing,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,15114,BUSN,2450,R50,70R,3,E-Commerce,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
