Sections Found,,,,,,,,,,,,,,,,,,,
CDIS-Communication Disorders,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11116,CDIS,3050,1,24M,3,Introduction to Communication Disorders,MW,12:40 pm-02:05 pm,25,23,2,0,0,0,Kathryn Guillot Blankenship (P),01/17-05/04,MC 101,Credit from 4-Year College and Upper-Division Work
C,16477,CDIS,3130,1,24M,3,Hearing and Speech Science,TR,08:00 am-09:25 am,30,31,-1,0,0,0,Rebecca M Fischer (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
NR,11117,CDIS,3200,1,24M,3,Phonological Disorders,TR,11:20 am-12:45 pm,35,29,6,0,0,0,Cynthia Perkins Ferguson (P),01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
NR,11118,CDIS,3200,2,24M,3,Phonological Disorders,TR,01:00 pm-02:25 pm,28,25,3,0,0,0,Cynthia Perkins Ferguson (P),01/17-05/04,MC 100A,Credit from 4-Year College and Upper-Division Work
NR,11119,CDIS,3250,1,24M,3,Speech and Language Development for the Educator,MW,12:40 pm-02:05 pm,20,18,2,0,0,0,Melinda L Richards (P),01/17-05/04,AMG 103,Credit from 4-Year College and Upper-Division Work
NR,12449,CDIS,3250,D01,24M,3,Speech and Language Development for the Educator,MW,02:20 pm-03:45 pm,15,8,7,0,0,0,Melinda L Richards (P),01/17-05/04,KOM 122,Credit from 4-Year College and Upper-Division Work
C,11120,CDIS,3260,1,24M,3,Language Acquisition and Analysis,TR,09:40 am-11:05 am,20,30,-10,0,0,0,Kathryn Guillot Blankenship (P),01/17-05/04,MC 102,MT Engage and Credit from 4-Year College and Upper-Division Work
NR,11121,CDIS,3300,1,24M,3,Clinical Methods in Communication Disorders,TR,11:20 am-12:45 pm,27,19,8,0,0,0,Elizabeth Lanphier Smith (P),01/17-05/04,BDA 216,Credit from 4-Year College and Upper-Division Work
NR,12337,CDIS,3350,1,24M,3,Introduction to Audiology,MWF,09:10 am-10:05 am,30,29,1,0,0,0,Rebecca M Fischer (P),01/17-05/04,MC 104,Credit from 4-Year College and Upper-Division Work
NR,14975,CDIS,3350,2,24M,3,Introduction to Audiology,MWF,10:20 am-11:15 am,30,28,2,0,0,0,Rebecca M Fischer (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
