Sections Found,,,,,,,,,,,,,,,,,,,
CHEM-Chemistry,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11006,CHEM,1010,1,24M,4,Introductory General Chemistry I,M,10:20 am-11:15 am,24,23,1,72,70,2,Tammy J Melton (P),01/17-05/04,SCI 3140,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
,,,,,,,,TR,11:20 am-12:45 pm,,,,,,,Tammy J Melton (P),01/17-05/04,SCI 1006,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
C,16410,CHEM,1010,2,24M,4,Introductory General Chemistry I,M,11:30 am-12:25 pm,24,24,0,72,70,2,Tammy J Melton (P),01/17-05/04,SCI 3140,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
,,,,,,,,TR,11:20 am-12:45 pm,,,,,,,Tammy J Melton (P),01/17-05/04,SCI 1006,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
NR,16412,CHEM,1010,3,24M,4,Introductory General Chemistry I,M,01:50 pm-02:45 pm,24,23,1,72,70,2,Tammy J Melton (P),01/17-05/04,SCI 3140,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
,,,,,,,,TR,11:20 am-12:45 pm,,,,,,,Tammy J Melton (P),01/17-05/04,SCI 1006,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
NR,11010,CHEM,1010,4,24M,4,Introductory General Chemistry I,TR,02:40 pm-04:05 pm,24,21,3,72,48,24,Dwight J Patterson (P),01/17-05/04,DSB 100,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
,,,,,,,,W,10:20 am-11:15 am,,,,,,,Dwight J Patterson (P),01/17-05/04,SCI 1109,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
NR,17028,CHEM,1010,5,24M,4,Introductory General Chemistry I,TR,02:40 pm-04:05 pm,24,19,5,72,48,24,Dwight J Patterson (P),01/17-05/04,DSB 100,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
,,,,,,,,W,11:30 am-12:25 pm,,,,,,,Dwight J Patterson (P),01/17-05/04,SCI 1109,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
NR,17031,CHEM,1010,6,24M,4,Introductory General Chemistry I,TR,02:40 pm-04:05 pm,24,8,16,72,48,24,Dwight J Patterson (P),01/17-05/04,DSB 100,Tutoring Courses and Chemistry Materials Fees and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Sci with Lab
