Sections Found,,,,,,,,,,,,,,,,,,,
CIM-Concrete Industry Mgmt,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10833,CIM,1010,1,24M,1,Introduction to the Concrete Industry,M,12:40 pm-01:35 pm,48,36,12,0,0,0,Heather J Brown (P),01/17-05/04,MGB 202,Tutoring Courses and Credit from 4-Year College
C,10834,CIM,1050,1,24M,1,Blueprint Reading,W,12:40 pm-01:35 pm,48,48,0,0,0,0,Ayaz Ahmed (P),01/17-05/04,MGB 202,Tutoring Courses and Credit from 4-Year College
NR,12892,CIM,2050,1,24M,2,Advanced Blueprint Reading,TR,01:00 pm-01:55 pm,24,17,7,0,0,0,Ayaz Ahmed (P),01/17-05/04,MGB 301,Tutoring Courses and Credit from 4-Year College
C,10838,CIM,3000,1,24M,4,Fundamentals of Concrete: Properties and Testing,MW,10:20 am-12:25 pm,15,15,0,45,28,17,Marcus L Knight (P),01/17-05/04,MGB 202,Tutoring Courses and Concrete Mgmt Certn Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,10:20 am-12:20 pm,,,,,,,Marcus L Knight (P),01/17-05/04,VET 119,Tutoring Courses and Concrete Mgmt Certn Fee and Credit from 4-Year College and Upper-Division Work
NR,10839,CIM,3000,2,24M,4,Fundamentals of Concrete: Properties and Testing,MW,10:20 am-12:25 pm,15,6,9,45,28,17,Marcus L Knight (P),01/17-05/04,MGB 202,Tutoring Courses and Concrete Mgmt Certn Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,08:00 am-10:00 am,,,,,,,Marcus L Knight (P),01/17-05/04,VET 119,Tutoring Courses and Concrete Mgmt Certn Fee and Credit from 4-Year College and Upper-Division Work
NR,16539,CIM,3000,3,24M,4,Fundamentals of Concrete: Properties and Testing,MW,10:20 am-12:25 pm,15,7,8,45,28,17,Marcus L Knight (P),01/17-05/04,MGB 202,Tutoring Courses and Concrete Mgmt Certn Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,12:40 pm-02:40 pm,,,,,,,Marcus L Knight (P),01/17-05/04,VET 119,Tutoring Courses and Concrete Mgmt Certn Fee and Credit from 4-Year College and Upper-Division Work
C,10840,CIM,3050,1,24M,3,Concrete Construction Methods,TR,09:40 am-11:05 am,26,27,-1,0,0,0,Jonathan J Huddleston (P),01/17-05/04,MGB 301,Tutoring Courses and Concrete Mgmt Certn Fee and Credit from 4-Year College and Upper-Division Work
C,13410,CIM,3060,1,24M,3,Understanding the Concrete Construction System,TR,11:20 am-12:45 pm,25,25,0,0,0,0,Ayaz Ahmed (P),01/17-05/04,MGB 302,Tutoring Courses and Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
NR,10841,CIM,3080,1,24M,3,Formwork Design and Computerized Drafting,M,02:40 pm-05:40 pm,24,9,15,0,0,0,Zhifu Yang (P),01/17-05/04,MGB 202,Tutoring Courses and Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
C,14457,CIM,3090,1,24M,3,Computer Applications in Concrete and Construction Industries,M,04:30 pm-07:30 pm,12,12,0,0,0,0,Ayaz Ahmed (P),01/17-05/04,VET 116,Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
NR,14432,CIM,3100,1,24M,3,Applications of Concrete Construction,TR,01:00 pm-02:25 pm,48,20,28,0,0,0,Zhifu Yang (P),01/17-05/04,MGB 202,Tutoring Courses and Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
NR,10835,CIM,3300,1,24M,2,Concrete Industry Internship,,TBA,100,7,93,0,0,0,Jonathan J Huddleston (P),01/17-05/04,TBA TBA,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
C,12090,CIM,4010,1,24M,3,Design and Construction Issues,TR,11:20 am-12:45 pm,26,27,-1,0,0,0,Heather J Brown (P),01/17-05/04,MGB 202,Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
NR,10842,CIM,4030,1,24M,1,Issues in the Concrete and Construction Industry: A Legal and Ethical Perspective,R,02:40 pm-03:40 pm,32,28,4,0,0,0,Heather J Brown (P),01/17-05/04,MGB 202,Credit from 4-Year College and Upper-Division Work
NR,10844,CIM,4050,1,24M,3,Management of Concrete Products: Ordering and Delivering,T,02:40 pm-05:40 pm,36,30,6,0,0,0,Jonathan J Huddleston (P),01/17-05/04,MGB 202,Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
NR,16540,CIM,4200,1,24M,2,Senior Concrete Lab,MW,02:20 pm-04:20 pm,18,16,2,0,0,0,Jonathan J Huddleston (P),01/17-05/04,VET 119,Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
C,10847,CIM,4200,2,24M,2,Senior Concrete Lab,TR,08:00 am-10:00 am,12,12,0,0,0,0,Zhifu Yang (P),01/17-05/04,VET 119,Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
NR,14063,CIM,4500,1,24M,3,Masonry,MW,02:20 pm-03:45 pm,18,9,9,0,0,0,Marcus L Knight (P),01/17-05/04,MGB 302,Concrete Mgmt Material Fees and Credit from 4-Year College and Upper-Division Work
NR,15916,CIM,4800,1,24M,3,Special Problems in Concrete Industry Management,,TBA,5,3,2,0,0,0,Jonathan J Huddleston (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
NR,10851,CIM,4910,1,24M,3,Capstone,W,04:30 pm-07:30 pm,25,21,4,0,0,0,Jonathan J Huddleston (P),01/17-05/04,MGB 302,Credit from 4-Year College and Upper-Division Work
NR,13412,CIM,4910,3,24M,3,Capstone,W,04:30 pm-07:30 pm,24,4,20,0,0,0,Ayaz Ahmed (P),01/17-05/04,BAS S308,Credit from 4-Year College and Upper-Division Work
