Sections Found,,,,,,,,,,,,,,,,,,,
CITC-Comp Info Sys (TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16976,CITC,1300,R50,90R,3,Beginning HTML & CSS,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16933,CITC,1302,R01,90R,3,Introduction to Networking,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,16977,CITC,1302,R50,90R,3,Introduction to Networking,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16978,CITC,1303,R50,90R,3,Databse Concepts,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16979,CITC,1310,R50,64R,3,Programming I,,TBA,0,4,-4,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16980,CITC,1311,R50,64R,3,Programming II,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16981,CITC,1312,R50,63R,3,Introduction to .NET Programming,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16982,CITC,1313,R50,63R,3,.NET Programming,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16983,CITC,1318,R50,64R,3,Data Structures,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16984,CITC,1319,R50,63R,3,Introduction to Programming for Mobile Apps,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,17551,CITC,1322,R50,63R,3,A+ Software Certification Training,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16986,CITC,1333,R50,51R,3,Linux LPIC-1,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16987,CITC,1360,R50,61R,3,Computer Graphics & Animation,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,17153,CITC,2399,R50,64R,3,CO-OP/Internship in Computer Information Technology,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
