Sections Found,,,,,,,,,,,,,,,,,,,
CJA-Criminal Justice Admin,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,10927,CJA,1100,1,24M,3,Introduction to Criminal Justice Administration,TR,11:20 am-12:45 pm,36,36,0,0,0,0,Lee M Wade (P),01/17-05/04,COE 251,Credit from 4-Year College
NR,10928,CJA,1100,2,24M,3,Introduction to Criminal Justice Administration,TR,09:40 am-11:05 am,36,31,5,0,0,0,William L Shulman (P),01/17-05/04,BAS S316,Credit from 4-Year College
NR,16453,CJA,1100,4,24M,3,Introduction to Criminal Justice Administration,MWF,10:20 am-11:15 am,36,30,6,0,0,0,Benjamin F Stickle (P),01/17-05/04,COE 250,Credit from 4-Year College
C,10929,CJA,1100,D01,24M,3,Introduction to Criminal Justice Administration,,TBA,25,25,0,0,0,0,Brenda Beasley Berretta (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College
NR,15768,CJA,1100,J01,M2U,3,Introduction to Criminal Justice Administration,,TBA,25,9,16,0,0,0,Paul Jeffrey Fantuzzi (P),01/17-05/04,M2U LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,12201,CJA,2100,1,24M,3,Criminal Theory,TR,11:20 am-12:45 pm,52,36,16,0,0,0,Thomas Joseph Jurkanin (P),01/17-05/04,COE 141,Credit from 4-Year College
NR,15030,CJA,2100,2,24M,3,Criminal Theory,MW,12:40 pm-02:05 pm,52,31,21,0,0,0,Thomas Joseph Jurkanin (P),01/17-05/04,COE 141,Credit from 4-Year College
NR,10939,CJA,2200,1,24M,3,Prevention and Control of Crime,MW,02:20 pm-03:45 pm,52,51,1,0,0,0,Thomas Joseph Jurkanin (P),01/17-05/04,COE 145,Credit from 4-Year College
NR,10940,CJA,2200,2,24M,3,Prevention and Control of Crime,M,06:00 pm-09:00 pm,24,18,6,0,0,0,William James Scollon (P),01/17-05/04,COE 105,Credit from 4-Year College
C,16454,CJA,2200,3,24M,3,Prevention and Control of Crime,TR,02:40 pm-04:05 pm,36,36,0,0,0,0,Lee M Wade (P),01/17-05/04,COE 250,Credit from 4-Year College
