Sections Found,,,,,,,,,,,,,,,,,,,
CMT-Const Mgt T-MTSU Comp-TN e,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,14052,CMT,3000,1,24M,3,Commercial Construction and Materials,TR,01:00 pm-02:25 pm,24,19,5,0,0,0,Thomas C Gormley (P),01/17-05/04,MGB 302,Credit from 4-Year College and Upper-Division Work
NR,16541,CMT,3155,D01,24M,3,Land Development and Residential Building,,TBA,24,16,8,0,0,0,David M Hatfield (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,10854,CMT,3160,1,24M,3,Cost Estimating I,MW,12:40 pm-02:05 pm,24,20,4,0,0,0,Eddie D Vanhook (P),01/17-05/04,MGB 302,Credit from 4-Year College and Upper-Division Work
NR,12264,CMT,3180,1,24M,3,Construction and Materials II,MWF,09:10 am-10:05 am,24,14,10,0,0,0,Eddie D Vanhook (P),01/17-05/04,MGB 301,Credit from 4-Year College and Upper-Division Work
NR,12450,CMT,3195,1,24M,3,Sustainable Construction,MWF,10:20 am-11:15 am,40,37,3,0,0,0,Mary Kathryn Mathis (P),01/17-05/04,MGB 301,Credit from 4-Year College and Upper-Division Work
NR,10855,CMT,3320,1,24M,3,Architectural Computer-Aided Drafting and Design,R,06:00 pm-09:00 pm,32,18,14,0,0,0,Jared Thomas Dean (P),01/17-05/04,BAS S315,Credit from 4-Year College and Upper-Division Work
NR,13828,CMT,3500,2,24M,3,Land Surveying,MW,12:40 pm-03:10 pm,18,10,8,0,0,0,Marcus L Knight (P),01/17-05/04,MGB 301,Credit from 4-Year College and Upper-Division Work
NR,10836,CMT,4010,1,24M,3,Construction Law,TR,09:40 am-11:05 am,48,38,10,0,0,0,Thomas C Gormley (P),01/17-05/04,MGB 202,Credit from 4-Year College and Upper-Division Work
C,11892,CMT,4120,D01,24M,3,Scheduling,,TBA,24,24,0,0,0,0,Eddie D Vanhook (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,10861,CMT,4170,1,24M,3,Capstone-LDRB Construction Management,MWF,08:00 am-08:55 am,12,5,7,0,0,0,Eddie D Vanhook (P),01/17-05/04,VET 116,Credit from 4-Year College and Upper-Division Work
NR,17434,CMT,4172,D01,24M,3,Capstone for Electrical Construction Management,TR,06:00 pm-07:25 pm,12,1,11,0,0,0,David M Hatfield (P),01/17-05/04,TBA TBA,Synchronous Online and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12622,CMT,4200,1,24M,3,Commercial Cost Estimating and Bidding,TR,08:00 am-09:25 am,24,23,1,0,0,0,Thomas C Gormley (P),01/17-05/04,COE 104,Credit from 4-Year College and Upper-Division Work
C,13153,CMT,4280,1,24M,3,Commercial Construction Capstone,,TBA,10,11,-1,0,0,0,Thomas C Gormley (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
