Sections Found,,,,,,,,,,,,,,,,,,,
COMM-Comm Studies(MTSU & TN e),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16934,COMM,1010,R01,63R,3,Intro to Mass Communication,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,12792,COMM,1010,R50,63R,3,Survey of Mass Communication,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,11135,COMM,2200,1,24M,3,(EXL)Fundamentals of Communication,MWF,08:00 am-08:55 am,26,27,-1,0,0,0,Melicent Lovray Homan (P),01/17-05/04,BDA 314,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11136,COMM,2200,2,24M,3,(EXL)Fundamentals of Communication,MWF,09:10 am-10:05 am,26,27,-1,0,0,0,Lori Ann Kissinger (P),01/17-05/04,BDA 214,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11137,COMM,2200,3,24M,3,(EXL) Fundamentals of Communication,MWF,09:10 am-10:05 am,26,26,0,0,0,0,Kristin Ciehoski Naylor (P),01/17-05/04,BAS S307,Experiential Learning and MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11138,COMM,2200,4,24M,3,(EXL)Fundamentals of Communication,MWF,09:10 am-10:05 am,26,26,0,0,0,0,Bethany A Hoppe (P),01/17-05/04,BDA 320,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11139,COMM,2200,5,24M,3,Fundamentals of Communication,MWF,10:20 am-11:15 am,26,26,0,0,0,0,Debra Sue Boyd (P),01/17-05/04,BDA 216,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13473,COMM,2200,6,24M,3,Fundamentals of Communication,TR,09:40 am-11:05 am,20,20,0,0,0,0,Kelly Anne Lynch (P),01/17-05/04,COE 104,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11140,COMM,2200,7,24M,3,(EXL)Fundamentals of Communication,MWF,10:20 am-11:15 am,26,26,0,0,0,0,Melicent Lovray Homan (P),01/17-05/04,BAS S339,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11141,COMM,2200,8,24M,3,(EXL)Fundamentals of Communication,MWF,10:20 am-11:15 am,26,26,0,0,0,0,Kristin Ciehoski Naylor (P),01/17-05/04,BAS S262,Experiential Learning and MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11142,COMM,2200,9,24M,3,(EXL) Fundamentals of Communication,MWF,11:30 am-12:25 pm,22,24,-2,0,0,0,Lori Ann Kissinger (P),01/17-05/04,BDA 214,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,12339,COMM,2200,10,24M,3,(EXL)Fundamentals of Communication,MWF,08:00 am-08:55 am,26,24,2,0,0,0,Kristin Ciehoski Naylor (P),01/17-05/04,BDA 218,Experiential Learning and MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11143,COMM,2200,11,24M,3,(EXL)Fundamentals of Communication,MWF,11:30 am-12:25 pm,22,22,0,0,0,0,Natonya Danille Blackmun Listach (P),01/17-05/04,BDA 216,Experiential Learning and MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11144,COMM,2200,12,24M,3,Fundamentals of Communication,MWF,11:30 am-12:25 pm,22,22,0,0,0,0,Megan Elizabeth Johnson (P),01/17-05/04,BDA 218,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11145,COMM,2200,13,24M,3,Fundamentals of Communication,MWF,11:30 am-12:25 pm,22,22,0,0,0,0,Katie Green Gruber (P),01/17-05/04,BAS S208,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11158,COMM,2200,14,24M,3,(EXL)Fundamentals of Communication,MW,02:20 pm-03:45 pm,20,20,0,0,0,0,Kristin Ciehoski Naylor (P),01/17-05/04,COE 244,Experiential Learning and MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11147,COMM,2200,15,24M,3,Fundamentals of Communication,MWF,12:40 pm-01:35 pm,20,20,0,0,0,0,Debra Sue Boyd (P),01/17-05/04,COE 142,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13472,COMM,2200,16,24M,3,Fundamentals of Communication,TR,02:40 pm-04:05 pm,26,26,0,0,0,0,Perry Coleman Cotham (P),01/17-05/04,BAS S262,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,12324,COMM,2200,17,24M,3,Fundamentals of Communication,TR,11:20 am-12:45 pm,20,20,0,0,0,0,Megan Elizabeth Johnson (P),01/17-05/04,COE 150,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11148,COMM,2200,18,24M,3,(EXL)Fundamentals of Communication,MW,02:20 pm-03:45 pm,26,26,0,0,0,0,Stephen Clayton Decker (P),01/17-05/04,COE 250,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11149,COMM,2200,19,24M,3,(EXL)Fundamentals of Communication,MWF,11:30 am-12:25 pm,22,22,0,0,0,0,Kristin Ciehoski Naylor (P),01/17-05/04,COE 105,Experiential Learning and MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,11150,COMM,2200,20,24M,3,(EXL)Fundamentals of Communication,MW,04:10 pm-05:35 pm,26,25,1,0,0,0,L'Oreal Jarvis Stephens (P),01/17-05/04,BDA 214,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11151,COMM,2200,21,24M,3,Fundamentals of Communication,MWF,10:20 am-11:15 am,26,26,0,0,0,0,Kelly Anne Lynch (P),01/17-05/04,BAS S274,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,12415,COMM,2200,22,24M,3,Fundamentals of Communication,TR,08:00 am-09:25 am,26,26,0,0,0,0,Pierre Vincent (P),01/17-05/04,BDA 314,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13470,COMM,2200,24,24M,3,(EXL)Fundamentals of Communication,MWF,09:10 am-10:05 am,20,20,0,0,0,0,Natonya Danille Blackmun Listach (P),01/17-05/04,BAS S208,Experiential Learning and MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,12319,COMM,2200,25,24M,3,(EXL)Fundamentals of Communication,MW,12:40 pm-02:05 pm,20,20,0,0,0,0,Stephen Clayton Decker (P),01/17-05/04,COE 140,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,11152,COMM,2200,26,24M,3,(EXL)Fundamentals of Communication,MWF,09:10 am-10:05 am,26,25,1,0,0,0,Melicent Lovray Homan (P),01/17-05/04,BAS S264,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,16817,COMM,2200,27,24M,3,Fundamentals of Communication,MWF,08:00 am-08:55 am,25,24,1,0,0,0,Katie Green Gruber (P),01/17-05/04,BDA 307,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,12643,COMM,2200,28,24M,3,Fundamentals of Communication,R,06:00 pm-09:00 pm,26,25,1,0,0,0,Pierre Vincent (P),01/17-05/04,BAS S213,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13469,COMM,2200,29,24M,3,(EXL)Fundamentals of Communication,MWF,10:20 am-11:15 am,26,26,0,0,0,0,Bethany A Hoppe (P),01/17-05/04,BDA 320,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13416,COMM,2200,30,24M,3,Fundamentals of Communication,MWF,11:30 am-12:25 pm,22,22,0,0,0,0,Debra Sue Boyd (P),01/17-05/04,COE 107,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11154,COMM,2200,31,24M,3,Fundamentals of Communication,MWF,09:10 am-10:05 am,26,26,0,0,0,0,Katie Green Gruber (P),01/17-05/04,BDA 314,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,12443,COMM,2200,32,24M,3,(EXL)Fundamentals of Communication,TR,02:40 pm-04:05 pm,26,25,1,0,0,0,Stephen Clayton Decker (P),01/17-05/04,BAS S336,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,16644,COMM,2200,33,24M,3,Fundamentals of Communication,TR,02:40 pm-04:05 pm,26,25,1,0,0,0,Margaret A McCree (P),01/17-05/04,SAG 207,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,15589,COMM,2200,34,24M,3,Fundamentals of Communication,TR,04:20 pm-05:45 pm,26,26,0,0,0,0,Perry Coleman Cotham (P),01/17-05/04,BDA 314,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,11156,COMM,2200,36,24M,3,Fundamentals of Communication,MWF,08:00 am-08:55 am,26,24,2,0,0,0,Natonya Danille Blackmun Listach (P),01/17-05/04,BDA 320,MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,16643,COMM,2200,37,24M,3,Fundamentals of Communication,MW,02:20 pm-03:45 pm,20,20,0,0,0,0,Margaret A McCree (P),01/17-05/04,COE 240,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11157,COMM,2200,38,24M,3,Fundamentals of Communication,TR,11:20 am-12:45 pm,26,26,0,0,0,0,Margaret A McCree (P),01/17-05/04,HC 106,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13411,COMM,2200,39,24M,3,Fundamentals of Communication,TR,09:40 am-11:05 am,20,20,0,0,0,0,Pierre Vincent (P),01/17-05/04,SAG 207,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11165,COMM,2200,40,24M,3,Fundamentals of Communication,TR,09:40 am-11:05 am,20,20,0,0,0,0,Margaret A McCree (P),01/17-05/04,SAG 206,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13239,COMM,2200,41,24M,3,(EXL)Fundamentals of Communication,MW,12:40 pm-02:05 pm,20,20,0,0,0,0,Perry Coleman Cotham (P),01/17-05/04,HC 106,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11168,COMM,2200,42,24M,3,(EXL)Fundamentals of Communication,MWF,10:20 am-11:15 am,26,26,0,0,0,0,Lori Ann Kissinger (P),01/17-05/04,BDA 214,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11159,COMM,2200,43,24M,3,Fundamentals of Communication,MW,12:40 pm-02:05 pm,26,26,0,0,0,0,Pierre Vincent (P),01/17-05/04,SAG 207,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,13240,COMM,2200,44,24M,3,(EXL)Fundamentals of Communication,MWF,08:00 am-08:55 am,26,26,0,0,0,0,Lori Ann Kissinger (P),01/17-05/04,BDA 214,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,12134,COMM,2200,45,24M,3,(EXL)Fundamentals of Communication,TR,06:00 pm-07:25 pm,26,24,2,0,0,0,Stephen Clayton Decker (P),01/17-05/04,BDA 214,Experiential Learning and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11167,COMM,2200,46,24M,3,Fundamentals of Communication,TR,01:00 pm-02:25 pm,20,20,0,0,0,0,Perry Coleman Cotham (P),01/17-05/04,COE 148,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,12546,COMM,2200,47,24M,3,Fundamentals of Communication,MW,02:20 pm-03:45 pm,20,18,2,0,0,0,Perry Coleman Cotham (P),01/17-05/04,COE 150,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
NR,14985,COMM,2200,48,24M,3,Fundamentals of Communication,MW,02:20 pm-03:45 pm,20,17,3,0,0,0,Natonya Danille Blackmun Listach (P),01/17-05/04,BDA 214,MT Engage and GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
C,11162,COMM,2200,50,24M,3,Fundamentals of Communication,TR,01:00 pm-02:25 pm,24,24,0,0,0,0,Margaret A McCree (P),01/17-05/04,COE 245,GE Current: Communication-Comm and Gen Ed - Communication Block and Credit from 4-Year College
