Sections Found,,,,,,,,,,,,,,,,,,,
COMS-Computational Science,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13126,COMS,7100,2,24M,4,Applied Computational Science,TR,09:40 am-11:30 am,15,7,8,0,0,0,Anatoliy Volkov (P),01/17-05/04,KOM 162,
NR,13461,COMS,7300,2,24M,4,Numerical Methods in Computational Science,TR,06:00 pm-07:50 pm,20,6,14,0,0,0,Abdulqayyum M Khaliq (P),01/17-05/04,BAS S208,
C,13919,COMS,7500,1,24M,2,Directed Research in Computational Science: Simulation on GPU with Split Step Methods,,TBA,1,1,0,0,0,0,Abdulqayyum M Khaliq (P),01/17-05/04,TBA TBA,
NR,14808,COMS,7500,2,24M,6,Directed Research in Computational Science,,TBA,3,2,1,0,0,0,Dong Ye (P),01/17-05/04,TBA TBA,
C,13925,COMS,7500,3,24M,6,Directed Research in Computational Science,,TBA,1,1,0,0,0,0,Don Hong (P),01/17-05/04,TBA TBA,
C,14897,COMS,7500,4,24M,6,Directed Research in Computational Science,,TBA,1,1,0,0,0,0,Preston J MacDougall (P),01/17-05/04,TBA TBA,
C,14915,COMS,7500,5,24M,3,Directed Research in Computational Science,,TBA,1,1,0,0,0,0,Abdulqayyum M Khaliq (P),01/17-05/04,TBA TBA,
C,16180,COMS,7500,6,24M,6,Directed Research in Computational Science,,TBA,1,1,0,0,0,0,Vishwas Bedekar (P),01/17-05/04,TBA TBA,
C,13928,COMS,7500,8,24M,3,Directed Research in Computational Science,,TBA,1,1,0,0,0,0,Joshua Lee Phillips (P),01/17-05/04,TBA TBA,
C,13971,COMS,7500,9,24M,6,Directed Research in Computational Science,,TBA,1,1,0,0,0,0,Anatoliy Volkov (P),01/17-05/04,TBA TBA,
NR,14859,COMS,7500,12,24M,6,Directed Research in Computational Science,,TBA,5,1,4,0,0,0,Yi Gu (P),01/17-05/04,TBA TBA,
C,17250,COMS,7500,13,24M,2,Directed Research in Computational Science,,TBA,1,1,0,0,0,0,Joshua Lee Phillips (P),01/17-05/04,TBA TBA,
NR,17482,COMS,7500,14,24M,6,Directed Research in Computational Science,,TBA,3,1,2,0,0,0,Mohamed Sewalim Salem (P),01/17-05/04,TBA TBA,
NR,17549,COMS,7500,15,24M,6,Directed Research in Computational Science,,TBA,5,2,3,0,0,0,Jing Kong (P),01/17-05/04,TBA TBA,
C,14864,COMS,7640,4,24M,6,Dissertation Research,,TBA,1,1,0,0,0,0,Abdulqayyum M Khaliq (P),01/17-05/04,TBA TBA,
C,17601,COMS,7640,11,24M,5,Dissertation Research,,TBA,1,1,0,0,0,0,William M Robertson (P),01/17-05/04,TBA TBA,
C,16166,COMS,7700,2,24M,3,Adv Concepts Computational Sci,,TBA,1,1,0,0,0,0,Abdulqayyum M Khaliq (P),01/17-05/04,TBA TBA,
C,14844,COMS,7800,1,24M,3,Teaching Internship,,TBA,1,1,0,0,0,0,Joshua Lee Phillips (P),01/17-05/04,TBA TBA,
C,16247,COMS,7800,2,24M,3,Teaching Internship,,TBA,1,1,0,0,0,0,Abdulqayyum M Khaliq (P),01/17-05/04,TBA TBA,
NR,13101,COMS,7950,1,24M,2,Research Seminar in Computational Science,F,01:50 pm-03:20 pm,20,2,18,0,0,0,Jing Kong (P),01/17-05/04,BAS S278,
