Sections Found,,,,,,,,,,,,,,,,,,,
COUN-Counseling,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13201,COUN,5201,1,24M,3,Directed Public School Experience for Non-teachers,R,04:30 pm-07:30 pm,14,7,7,0,0,0,Ellen K Slicker (P),01/17-05/04,COE 140,
NR,12712,COUN,5655,D01,24M,3,Foundations of Clinical Mental Health Counseling,,TBA,20,17,3,0,0,0,Christopher J Quarto (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
,,,,,,,,S,09:00 am-12:00 pm,,,,,,,Christopher J Quarto (P),01/21-01/21,COE 253,Distance Learning and Distance Education Fee-GR
,,,,,,,,S,09:00 am-12:00 pm,,,,,,,Christopher J Quarto (P),02/18-02/18,COE 253,Distance Learning and Distance Education Fee-GR
,,,,,,,,S,09:00 am-12:00 pm,,,,,,,Christopher J Quarto (P),04/22-04/22,COE 253,Distance Learning and Distance Education Fee-GR
NR,16252,COUN,6110,D02,24M,3,Introduction to Professional Counseling,T,04:30 pm-07:30 pm,20,11,9,0,0,0,Leslie Robin Wilbourn Lee (P),01/17-01/17,MEC 1814,Distance Learning and Distance Education Fee-GR
,,,,,,,,,TBA,,,,,,,Leslie Robin Wilbourn Lee (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
,,,,,,,,T,04:30 pm-07:30 pm,,,,,,,Leslie Robin Wilbourn Lee (P),01/24-01/24,MEC 1814,Distance Learning and Distance Education Fee-GR
,,,,,,,,T,04:30 pm-07:30 pm,,,,,,,Leslie Robin Wilbourn Lee (P),02/14-02/14,MEC 1814,Distance Learning and Distance Education Fee-GR
,,,,,,,,T,04:30 pm-07:30 pm,,,,,,,Leslie Robin Wilbourn Lee (P),02/28-02/28,MEC 1814,Distance Learning and Distance Education Fee-GR
,,,,,,,,T,04:30 pm-07:30 pm,,,,,,,Leslie Robin Wilbourn Lee (P),03/14-03/14,MEC 1814,Distance Learning and Distance Education Fee-GR
,,,,,,,,T,04:30 pm-07:30 pm,,,,,,,Leslie Robin Wilbourn Lee (P),04/04-04/04,MEC 1814,Distance Learning and Distance Education Fee-GR
,,,,,,,,T,04:30 pm-07:30 pm,,,,,,,Leslie Robin Wilbourn Lee (P),04/11-04/11,MEC 1814,Distance Learning and Distance Education Fee-GR
NR,13282,COUN,6160,1,24M,3,Foundations of School Counseling,,TBA,24,9,15,0,0,0,Leigh S Bagwell (P),01/17-05/04,TBA TBA,
,,,,,,,,S,08:00 am-02:00 pm,,,,,,,Leigh S Bagwell (P),01/21-01/21,COE 250,
,,,,,,,,S,08:00 am-02:00 pm,,,,,,,Leigh S Bagwell (P),02/18-02/18,COE 250,
,,,,,,,,S,08:00 am-02:00 pm,,,,,,,Leigh S Bagwell (P),03/18-03/18,COE 250,
,,,,,,,,S,08:00 am-02:00 pm,,,,,,,Leigh S Bagwell (P),04/22-04/22,COE 250,
NR,13550,COUN,6170,1,24M,3,Group Counseling and Psychotherapy,W,04:30 pm-07:30 pm,24,11,13,0,0,0,Virginia S Dansby (P),01/17-05/04,COE 250,
NR,17090,COUN,6180,2,24M,1,Laboratory in Group Counseling and Psychotherapy,,TBA,24,11,13,0,0,0,Virginia S Dansby (P),01/17-05/04,TBA TBA,
,,,,,,,,S,08:00 am-02:00 pm,,,,,,,Virginia S Dansby (P),01/28-01/28,MEC 1814,
,,,,,,,,S,08:00 am-02:00 pm,,,,,,,Virginia S Dansby (P),02/04-02/04,MEC 1814,
,,,,,,,,S,08:00 am-02:00 pm,,,,,,,Virginia S Dansby (P),04/29-04/29,MEC 1814,
NR,16813,COUN,6260,1,24M,3,Pre-Practicum in Counseling,M,04:30 pm-07:30 pm,20,14,6,0,0,0,Leslie Robin Wilbourn Lee (P),01/17-05/04,MEC 1813,
NR,16254,COUN,6270,1,24M,3,Practicum in Counseling,M,04:30 pm-07:30 pm,12,10,2,0,0,0,Michelle Camile Stevens (P),01/17-05/04,MEC 1814,
NR,16929,COUN,6410,D01,24M,3,Development Across the Lifespan,,TBA,20,8,12,0,0,0,Michelle Camile Stevens (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,16257,COUN,6540,2,24M,3,Internship: Clinical Mental Health Counseling,F,10:00 am-11:30 am,10,8,2,0,0,0,Leslie Robin Wilbourn Lee (P),01/17-05/04,MEC 1813,
NR,13338,COUN,6610,1,24M,3,Introduction to Counseling Research,R,04:30 pm-07:30 pm,20,10,10,0,0,0,Christopher J Quarto (P),01/17-05/04,COE 240,
NR,16814,COUN,6840,D01,24M,3,Measurement and Appraisal in Counseling,,TBA,20,9,11,0,0,0,Christopher J Quarto (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,17552,COUN,6910,3,24M,3,Independent Research: Counseling,,TBA,2,1,1,0,0,0,Christopher J Quarto (P),01/17-05/04,TBA TBA,
NR,13556,COUN,6920,1,24M,3,Internship: Secondary School Counseling,M,04:30 pm-07:30 pm,12,6,6,0,0,0,Virginia S Dansby (P),01/17-05/04,COE 140,
NR,13559,COUN,6930,1,24M,3,Internship: Elementary School Counseling,M,04:30 pm-07:30 pm,12,7,5,0,0,0,Ellen K Slicker (P),01/17-05/04,COE 245,
C,16260,COUN,7520,D01,24M,3,Assessment and Treatment of Addictions,,TBA,12,14,-2,0,0,0,Leslie Robin Wilbourn Lee (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
