Sections Found,,,,,,,,,,,,,,,,,,,
CRMJ-Crim Justice Admin(TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,17092,CRMJ,1010,R01,24R,3,Introduction to Criminal Justice,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
NR,12793,CRMJ,1010,R50,24R,3,Introduction to Criminal Justice,,TBA,99,0,99,0,0,0,"RODP Faculty (P), Ronald O Craig , Deborah Wilkins Newman , James Paul Newman",01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
add to worksheet,16958,CRMJ,1020,R25,64R,3,Introduction to Legal Process,,TBA,99,1,98,0,0,0,RODP Faculty (P),03/13-05/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 2 and Credit from 4-Year College
C,13822,CRMJ,1020,R50,64R,3,Introduction to Legal Process,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16988,CRMJ,1301,R50,70R,3,Correctional Counseling,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16989,CRMJ,1311,R50,59R,3,Criminal Law,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16990,CRMJ,1322,R50,90R,3,Police Organization and Administration,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16991,CRMJ,1330,R50,59R,3,Criminal Evidence and Procedures,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16992,CRMJ,1340,R50,61R,3,Criminal Investigation,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,17154,CRMJ,1350,R50,63R,3,Criminal Justice Career Plan,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16993,CRMJ,1355,R50,61R,3,Understanding Terrorism,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16994,CRMJ,1360,R50,51R,3,Introduction to Crime Scene Investigation,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16935,CRMJ,2010,R01,65R,3,Introduction to Law Enforcement,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,13020,CRMJ,2010,R50,65R,3,Introduction to Law Enforcement,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16936,CRMJ,2020,R01,24R,3,Introduction to Corrections,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,12794,CRMJ,2020,R50,24R,3,Introduction to Corrections,,TBA,0,2,-2,0,0,0,"RODP Faculty (P), Jessica Northcutt Borne , Ronald O Craig",01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16995,CRMJ,2311,R50,59R,3,Juvenile Justice,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16996,CRMJ,2312,R50,70R,3,Criminology,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16997,CRMJ,2332,R50,90R,3,Drug Identification and Effects,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16998,CRMJ,2340,R50,90R,3,Investigative Report Writing,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16999,CRMJ,2390,R50,63R,3,Probation and Parole,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,17000,CRMJ,3640,R50,50R,3,Cybercrime,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,17155,CRMJ,4010,R50,50R,3,Organized Crime,,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,17001,CRMJ,4520,R50,50R,3,Patterns of Domestic Abuse,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
