Sections Found,,,,,,,,,,,,,,,,,,,
CSCI-Computer Sci (MTSU&TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,14311,CSCI,1010,1,24M,1,Computer Science Colloquium,M,10:20 am-11:15 am,32,33,-1,0,0,0,Chrisila C Pettey (P),01/17-05/04,KOM 452,Credit from 4-Year College
C,16500,CSCI,1010,2,24M,1,Computer Science Colloquium,W,10:20 am-11:15 am,30,31,-1,0,0,0,Chrisila C Pettey (P),01/17-05/04,KOM 452,Credit from 4-Year College
C,16501,CSCI,1010,3,24M,1,Computer Science Colloquium,F,10:20 am-11:15 am,33,34,-1,0,0,0,Chrisila C Pettey (P),01/17-05/04,KOM 452,Credit from 4-Year College
C,10012,CSCI,1150,1,24M,3,Computer Orientation,MWF,09:10 am-10:05 am,28,29,-1,0,0,0,Cody R Crawford (P),01/17-05/04,KOM 321,Credit from 4-Year College
NR,10013,CSCI,1150,2,24M,3,Computer Orientation,MW,12:40 pm-02:05 pm,87,86,1,0,0,0,Yi Gu (P),01/17-05/04,KOM 452,Credit from 4-Year College
C,10014,CSCI,1150,3,24M,3,Computer Orientation,TR,08:00 am-09:25 am,78,78,0,0,0,0,Medha S Sarkar (P),01/17-05/04,BAS S328,Credit from 4-Year College
NR,10015,CSCI,1150,4,24M,3,Computer Orientation,TR,02:40 pm-04:05 pm,87,85,2,0,0,0,Sung Kun Yoo (P),01/17-05/04,BAS S328,Credit from 4-Year College
C,15187,CSCI,1150,5,24M,3,Computer Orientation,TR,04:20 pm-05:45 pm,16,17,-1,0,0,0,Shoira Shamsieva (P),01/17-05/04,KOM 452,Credit from 4-Year College
NR,12689,CSCI,1160,1,24M,4,Introduction to Computing: A Multimedia Approach,MW,02:20 pm-03:45 pm,28,9,19,0,0,0,Salvador E Barbosa (P),01/17-05/04,KOM 307,Credit from 4-Year College
,,,,,,,,MW,03:55 pm-04:55 pm,,,,,,,Salvador E Barbosa (P),01/17-05/04,TBA TBA,Credit from 4-Year College
