Sections Found,,,,,,,,,,,,,,,,,,,
DANC-Dance,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,11174,DANC,1000,1,24M,3,Dance Appreciation,M,04:10 pm-05:35 pm,30,30,0,0,0,0,Kevin Bradley Loveland (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,11175,DANC,1000,2,24M,3,Dance Appreciation,M,12:40 pm-02:05 pm,30,30,0,0,0,0,Kevin Bradley Loveland (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,11176,DANC,1000,3,24M,3,Dance Appreciation,R,09:40 am-11:05 am,30,30,0,0,0,0,Michelle E Parkins (P),01/17-05/04,BDA 218,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,11177,DANC,1000,4,24M,3,Dance Appreciation,M,02:20 pm-03:45 pm,30,30,0,0,0,0,Kevin Bradley Loveland (P),01/17-05/04,BDA 218,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,13426,DANC,1000,5,24M,3,Dance Appreciation,T,02:40 pm-04:05 pm,30,30,0,0,0,0,Kelvin Ray Amburgey-Walton (P),01/17-05/04,BRAGG 149,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,12646,DANC,1000,6,24M,3,Dance Appreciation,T,01:00 pm-02:25 pm,30,29,1,0,0,0,Kelvin Ray Amburgey-Walton (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,12647,DANC,1000,7,24M,3,Dance Appreciation,T,11:20 am-12:45 pm,26,26,0,0,0,0,Kelvin Ray Amburgey-Walton (P),01/17-05/04,CKNB 105,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,12644,DANC,1000,8,24M,3,Dance Appreciation,R,11:20 am-12:45 pm,30,30,0,0,0,0,Kimberly McCray Holt (P),01/17-05/04,CKNB 105,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,12648,DANC,1000,9,24M,3,Dance Appreciation,T,09:40 am-11:05 am,30,29,1,0,0,0,Michelle E Parkins (P),01/17-05/04,BDA 218,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,12645,DANC,1000,10,24M,3,Dance Appreciation,R,01:00 pm-02:25 pm,30,30,0,0,0,0,Kimberly McCray Holt (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,14546,DANC,1000,11,24M,3,Dance Appreciation,W,02:20 pm-03:45 pm,30,28,2,0,0,0,Ada Marie Hatcher (P),01/17-05/04,BDA 218,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,14547,DANC,1000,12,24M,3,Dance Appreciation,W,04:10 pm-05:35 pm,30,28,2,0,0,0,Ada Marie Hatcher (P),01/17-05/04,BDA 218,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,16616,DANC,1000,13,24M,3,Dance Appreciation,W,12:40 pm-02:05 pm,30,28,2,0,0,0,Ada Marie Hatcher (P),01/17-05/04,BDA 216,GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,12533,DANC,1000,D01,24M,3,Dance Appreciation,,TBA,25,22,3,0,0,0,Erin Elizabeth Rehberg (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,12534,DANC,1000,D02,24M,3,Dance Appreciation,,TBA,25,26,-1,0,0,0,Erin Elizabeth Rehberg (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,12323,DANC,1000,D03,24M,3,Dance Appreciation,,TBA,25,25,0,0,0,0,Erin Elizabeth Rehberg (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
C,13084,DANC,1000,D04,24M,3,Dance Appreciation,,TBA,25,25,0,0,0,0,Jennifer L McNamara (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,17554,DANC,1000,J01,M2W,3,Dance Appreciation,,TBA,25,8,17,0,0,0,Michelle E Parkins (P),01/17-05/04,M2W LOCATION,Dual Enrollment and Off Campus and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College
NR,11179,DANC,1020,1,24M,2,Jazz Dance Techniques I,MW,12:40 pm-02:05 pm,24,18,6,0,0,0,Michelle E Parkins (P),01/17-05/04,MC G040B,Credit from 4-Year College
NR,12085,DANC,2000,1,24M,3,Introduction to Dance Studies,MW,02:20 pm-03:45 pm,30,17,13,0,0,0,Margaret L Brooker (P),01/17-05/04,LRC 208,Credit from 4-Year College
NR,11182,DANC,2010,1,24M,2,Modern Dance Techniques II,TR,02:40 pm-04:05 pm,24,17,7,0,0,0,Margaret L Brooker (P),01/17-05/04,MC G040B,Credit from 4-Year College
NR,12348,DANC,2020,1,24M,2,Jazz Dance Techniques II,TR,01:00 pm-02:25 pm,20,12,8,0,0,0,Michelle E Parkins (P),01/17-05/04,MC G040B,Credit from 4-Year College
NR,11183,DANC,2040,1,24M,2,Ballet Techniques II,TR,09:40 am-11:05 am,25,18,7,0,0,0,Jennifer L McNamara (P),01/17-05/04,MC G040B,Credit from 4-Year College
NR,12347,DANC,3010,1,24M,3,Modern Dance Techniques III,MWF,09:40 am-11:05 am,15,7,8,0,0,0,Margaret L Brooker (P),01/17-05/04,MC G040B,Credit from 4-Year College and Upper-Division Work
NR,11184,DANC,4000,1,24M,1,Dance Performance I,,TBA,30,7,23,0,0,0,Michelle E Parkins (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
NR,11185,DANC,4020,1,24M,1,Dance Performance III,,TBA,15,6,9,0,0,0,Jennifer L McNamara (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,11186,DANC,4030,1,24M,1,Dance Performance IV,,TBA,10,10,0,0,0,0,Windship Michele Boyd (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
NR,15208,DANC,4110,1,24M,3,Choreography II,MW,04:10 pm-05:35 pm,15,7,8,0,0,0,Marsha Diane Barsky (P),01/17-05/04,MC G040B,Credit from 4-Year College and Upper-Division Work
NR,16617,DANC,4200,1,24M,3,Women in Twentieth and Twenty-First Century Dance,TR,01:00 pm-02:25 pm,16,11,5,0,0,0,Margaret L Brooker (P),01/17-05/04,COE 140,Women's & Gender Studies and Credit from 4-Year College and Upper-Division Work
NR,15209,DANC,4290,1,24M,3,Special Topics in Dance:West Africian,MW,02:20 pm-03:45 pm,15,10,5,0,0,0,Windship Michele Boyd (P),01/17-05/04,MC G040B,Credit from 4-Year College and Upper-Division Work
C,13241,DANC,4570,1,24M,3,The Body Intelligent: A Study of the Alexander Technique,MWF,11:30 am-12:25 pm,8,9,-1,16,16,0,Marsha Diane Barsky (P),01/17-05/04,MC G040B,Credit from 4-Year College and Upper-Division Work
C,14928,DANC,4950,1,24M,3,Directed Studies,,TBA,1,2,-1,0,0,0,Marsha Diane Barsky (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
