Sections Found,,,,,,,,,,,,,,,,,,,
ECE-Early Childhood Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,13629,ECE,2350,1,24M,3,Human Development I,TR,01:00 pm-02:25 pm,12,12,0,24,24,0,Danielle Ledford Moore (P),01/17-05/04,COE 240,Credit from 4-Year College
NR,13630,ECE,2350,2,24M,3,Human Development I,T,04:30 pm-07:30 pm,12,9,3,24,21,3,Beverly P Woodward (P),01/17-05/04,COE 244,Credit from 4-Year College
C,13631,ECE,2350,3,24M,3,Human Development I,MW,12:40 pm-02:05 pm,12,12,0,24,24,0,Danielle Ledford Moore (P),01/17-05/04,COE 249,Credit from 4-Year College
NR,13868,ECE,2350,4,24M,3,Human Development I,M,04:30 pm-07:30 pm,12,10,2,24,22,2,Danielle Ledford Moore (P),01/17-05/04,COE 246,Credit from 4-Year College
C,13632,ECE,3310,1,24M,3,Human Development II,TR,09:40 am-11:05 am,12,12,0,24,25,-1,Danielle Ledford Moore (P),01/17-05/04,COE 153,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,13633,ECE,3310,2,24M,3,Human Development II,R,04:30 pm-07:30 pm,12,13,-1,24,22,2,"Seok Jeng Lim (P), DeArris Armoni Boyd",01/17-05/04,COE 249,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,12735,ECE,3310,3,24M,3,Human Development II,MW,02:20 pm-03:45 pm,12,12,0,24,24,0,Danielle Ledford Moore (P),01/17-05/04,COE 246,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12922,ECE,4100,1,24M,9,(EXL) Residency I: Early Childhood Education,MTWR,07:30 am-11:00 am,12,9,3,24,9,15,Cheryl J Hitchcock (P),01/17-05/04,LRC 101,Experiential Learning and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12586,ECE,4110,1,24M,12,"(EXL) Residency II, Grades Pre-K - 3",,TBA,6,1,5,0,0,0,Bettye C Graves (P),01/17-05/04,TBA TBA,Experiential Learning and Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12587,ECE,4110,2,24M,12,"(EXL) Residency II, Grades Pre-K - 3",,TBA,5,2,3,0,0,0,Donna S Green (P),01/17-05/04,TBA TBA,Experiential Learning and Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,16198,ECE,4110,3,24M,12,"(EXL)Residency II, Grades Pre-K - 3",,TBA,5,7,-2,0,0,0,Jo Ann Luecke (P),01/17-05/04,TBA TBA,Experiential Learning and Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16199,ECE,4110,4,24M,12,"(EXL)Residency II, Grades Pre-K - 3",,TBA,5,3,2,0,0,0,Dimple Regina Payne (P),01/17-05/04,TBA TBA,Experiential Learning and Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
