Sections Found,,,,,,,,,,,,,,,,,,,
ECED-Educ & Physical Ed (TN e),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,14500,ECED,1310,R50,45R,3,Introduction to Early Childhood Education,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14501,ECED,2310,R50,65R,3,"Safe, Healthy Learning Environment",,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14502,ECED,2312,R50,61R,3,Administration of Child Care Centers,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14503,ECED,2315,R50,73R,3,Early Childhood Curriculum,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14504,ECED,2320,R50,65R,3,Infant/Toddler Child Development,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16937,ECED,2330,R01,63R,3,Infant and Toddler Care,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,14505,ECED,2330,R50,63R,3,Infant and Toddler Care,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14506,ECED,2340,R50,90R,3,Family Dynamics and Community Involvement,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14507,ECED,2360,R50,61R,3,Development of Exceptional Children,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14508,ECED,2370,R50,90R,3,Developmental Assessment Methods,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14509,ECED,2380,R50,90R,3,Language and Literacy in Early Childhood,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14510,ECED,2385,R50,90R,3,Math and Science in Early Childhood,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,14511,ECED,2390,R50,61R,3,Creative Development,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
