Sections Found,,,,,,,,,,,,,,,,,,,
ECON-Economics (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,11913,ECON,2010,R50,60R,3,Macroeconomics,,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Social/Behavioral and Credit from 4-Year College
C,11914,ECON,2020,R50,60R,3,Microeconomics,,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and GE Current: Soc/Behavior RODP and Credit from 4-Year College
C,17451,ECON,2410,1,24M,3,"Principles of Economics, Macroeconomics",TR,11:20 am-12:45 pm,28,28,0,0,0,0,Stephen Louis Poleskey (P),01/17-05/04,BAS N127,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10300,ECON,2410,2,24M,3,"Principles of Economics, Macroeconomics",MW,12:40 pm-02:05 pm,95,95,0,0,0,0,Charles L Baum (P),01/17-05/04,BAS S128,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,17548,ECON,2410,3,24M,3,"Principles of Economics, Macroeconomics",TR,01:00 pm-02:25 pm,45,43,2,0,0,0,Walker F Todd (P),01/17-05/04,BAS S343,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12968,ECON,2410,6,24M,3,"Principles of Economics, Macroeconomics",TR,09:40 am-11:05 am,200,198,2,0,0,0,David Alan Penn (P),01/17-05/04,BAS S102,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10301,ECON,2410,8,24M,3,"Principles of Economics, Macroeconomics",TR,08:00 am-09:25 am,43,42,1,0,0,0,Abul Hasnat Muhammed Salimullah (P),01/17-05/04,BAS S336,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12970,ECON,2410,14,24M,3,"Principles of Economics, Macroeconomics",MW,12:40 pm-02:05 pm,46,45,1,0,0,0,Ellis Anthon Eff (P),01/17-05/04,BAS S279,Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14418,ECON,2410,D01,24M,3,"Principles of Economics, Macroeconomics",,TBA,25,25,0,0,0,0,David Alan Penn (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12133,ECON,2410,H01,24M,3,"(HONORS) Principles of Economics, Macroeconomics",MWF,09:10 am-10:05 am,20,10,10,0,0,0,Walker F Todd (P),01/17-05/04,HONR 118,University Honors and Tutoring Courses and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
