Sections Found,,,,,,,,,,,,,,,,,,,
ELED-Elementary Ed (MTSU&TN e),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12249,ELED,3150,2,M02,3,Mathematics Methodology,M,09:00 am-12:00 pm,24,8,16,0,0,0,Katherine Anna Mangione (P),01/17-05/04,M02 LOCATION,Off Campus and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,13628,ELED,3150,4,24M,3,Mathematics Methodology,TR,01:00 pm-02:25 pm,24,24,0,0,0,0,"Jeremy Winters (P), Taylor James Seaman",01/17-05/04,COE 105,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,16401,ELED,3150,5,24M,3,Mathematics Methodology,W,04:30 pm-07:30 pm,24,22,2,0,0,0,Leslie Marrie Lasater (P),01/17-05/04,COE 240,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10031,ELED,3300,1,24M,3,"Digital Learning in the Elementary Classroom, K-8",TR,01:00 pm-02:25 pm,20,12,8,0,0,0,"Becky Bivens Alexander (P), Tylar Maryssa Setser",01/17-05/04,COE 110,College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10032,ELED,3300,D01,24M,3,"Digital Learning in the Elementary Classroom, K-8",,TBA,20,20,0,0,0,0,"Becky Bivens Alexander (P), Tylar Maryssa Setser",01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10029,ELED,3300,D02,24M,3,"Digital Learning in the Elementary Classroom, K-8",,TBA,20,20,0,0,0,0,"Becky Bivens Alexander (P), Tylar Maryssa Setser",01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10037,ELED,4110,1,M02,12,"Directed Teaching, Grades K-8",,TBA,4,12,-8,0,0,0,Pamela Ann Kramer Ertel (P),01/17-05/04,M02 LOCATION,Off Campus and Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10039,ELED,4110,2,24M,12,"Directed Teaching, Grades K-8",,TBA,4,3,1,0,0,0,Tahnee Rochelle Benson (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10040,ELED,4110,3,24M,12,"Directed Teaching, Grades K-8",,TBA,4,6,-2,0,0,0,Bettye C Graves (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10041,ELED,4110,4,24M,12,"Directed Teaching, Grades K-8",,TBA,4,4,0,0,0,0,Donna S Green (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14830,ELED,4110,5,24M,12,"Directed Teaching, Grades K-8",,TBA,4,1,3,0,0,0,Jo Ann Luecke (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10042,ELED,4110,6,M02,12,"Directed Teaching, Grades K-8",,TBA,4,5,-1,0,0,0,Margurette J Oliver (P),01/17-05/04,M02 LOCATION,Off Campus and Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10043,ELED,4110,7,24M,12,"Directed Teaching, Grades K-8",,TBA,4,5,-1,0,0,0,Gary E Mullican (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,12838,ELED,4110,8,24M,12,"Directed Teaching, Grades K-8",,TBA,4,4,0,0,0,0,Beverly Joan Boulware (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10044,ELED,4110,9,24M,12,"Directed Teaching, Grades K-8",,TBA,4,10,-6,0,0,0,Patricia Ann Nelson (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10045,ELED,4110,10,24M,12,"Directed Teaching, Grades K-8",,TBA,4,5,-1,0,0,0,Gregory Waymon Patterson (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,14831,ELED,4110,11,24M,12,"Directed Teaching, Grades K-8",,TBA,4,8,-4,0,0,0,Helen J Jennings (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,10046,ELED,4110,12,24M,12,"Directed Teaching, Grades K-8",,TBA,4,11,-7,0,0,0,Susan F Webb (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,17559,ELED,4110,13,24M,12,"Directed Teaching, Grades K-8",,TBA,4,5,-1,0,0,0,Martha C Turner (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,17560,ELED,4110,14,24M,12,"Directed Teaching, Grades K-8",,TBA,4,4,0,0,0,0,Dimple Regina Payne (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10048,ELED,4110,15,24M,12,"Directed Teaching, Grades K-8",,TBA,4,3,1,0,0,0,Carole French Willis (P),01/17-05/04,TBA TBA,Must have Permission to Drop and College of Educ Course Fee and Credit from 4-Year College and Upper-Division Work
C,17194,ELED,4260,1,24M,1,Problems in Elementary Education,,TBA,5,6,-1,0,0,0,Lisa Carol Ketner (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
