Sections Found,,,,,,,,,,,,,,,,,,,
EMC-Electronic Media Comm,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10798,EMC,1020,1,24M,3,American Media and Social Institutions,TR,11:20 am-12:45 pm,150,50,100,330,118,212,Robert K Kalwinsky (P),01/17-05/04,LRC 221,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12887,EMC,1020,2,24M,3,American Media and Social Institutions,TR,02:40 pm-04:05 pm,10,10,0,45,45,0,Stephen Leon Alligood (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12180,EMC,1020,4,24M,3,American Media and Social Institutions,MWF,10:20 am-11:15 am,10,10,0,77,58,19,Katherine Ann Foss (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13602,EMC,1020,7,24M,3,American Media and Social Institutions,TR,09:40 am-11:05 am,3,3,0,66,37,29,Paul D Fischer (P),01/17-05/04,BRAGG 101,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13198,EMC,1020,H03,24M,3,(HONORS) American Media and Social Institutions,TR,11:20 am-12:45 pm,5,5,0,20,10,10,Larry L Burriss (P),01/17-05/04,BRAGG 151,University Honors and Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,17136,EMC,1060,J02,MB3,3,Basic Video Production,,TBA,25,7,18,0,0,0,Terrance Gwain Flowers (P),01/17-05/04,MB3 LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,17555,EMC,1060,J03,M2U,3,Basic Video Production,,TBA,25,8,17,0,0,0,Charles S Shoemake (P),01/17-05/04,M2U LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
C,16864,EMC,1080,1,24M,3,Post-Production I,MWF,09:10 am-10:05 am,20,20,0,0,0,0,Marie Michelle Elliott (P),01/17-05/04,BRAGG 155,Media Entertainment Course Fee and Credit from 4-Year College
C,16865,EMC,1080,2,24M,3,Post-Production I,TR,09:40 am-11:05 am,20,20,0,0,0,0,Marie Michelle Elliott (P),01/17-05/04,BRAGG 155,Media Entertainment Course Fee and Credit from 4-Year College
NR,17320,EMC,1080,4,24M,3,Post-Production I,W,06:00 pm-09:00 pm,20,18,2,0,0,0,Leigh A Harrington (P),01/17-05/04,BRAGG 167,Media Entertainment Course Fee and Credit from 4-Year College
NR,14206,EMC,2120,1,24M,3,"Sight, Sound and Motion",TR,09:40 am-11:05 am,73,72,1,0,0,0,Marc J Barr (P),01/17-05/04,BRAGG 103,Media Entertainment Course Fee and Credit from 4-Year College
C,14207,EMC,2130,1,24M,3,Single Cam I,TR,11:20 am-12:45 pm,10,10,0,20,20,0,Marie Michelle Elliott (P),01/17-05/04,BRAGG 165,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,T,01:00 pm-02:25 pm,,,,,,,Marie Michelle Elliott (P),01/17-05/04,BRAGG 165,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,14208,EMC,2130,2,24M,3,Single Cam I,TR,11:20 am-12:45 pm,10,10,0,20,20,0,Marie Michelle Elliott (P),01/17-05/04,BRAGG 155,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,R,01:00 pm-02:25 pm,,,,,,,Marie Michelle Elliott (P),01/17-05/04,BRAGG 155,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
