Sections Found,,,,,,,,,,,,,,,,,,,
ENGL-English (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,13166,ENGL,1008,KE1,24M,3,Writing for English as Second Language (ESL) Students,MWF,10:20 am-11:15 am,10,11,-1,0,0,0,Alexander D Gurley (P),01/17-05/04,PH 304A,Prescribed Course and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--ENGL 1008KE and Prescribed Course--LS ENGL 0
C,14895,ENGL,1009,KE2,24M,3,Introduction to University Writing,MWF,11:30 am-12:25 pm,8,9,-1,0,0,0,Leah Rae-Mittelmeier Soule (P),01/17-05/04,PH 301,Prescribed Course and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--ENGL 1009KE
C,13696,ENGL,1009,KE3,24M,3,Introduction to University Writing,MWF,01:50 pm-02:45 pm,8,8,0,0,0,0,Leah Rae-Mittelmeier Soule (P),01/17-05/04,COE 142,Prescribed Course and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--ENGL 1009KE
C,14878,ENGL,1009,KE4,24M,3,Introduction to University Writing,MWF,09:10 am-10:05 am,7,7,0,0,0,0,Leah Rae-Mittelmeier Soule (P),01/17-05/04,PH 301,Prescribed Course and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--ENGL 1009KE
NR,11659,ENGL,1010,1,24M,3,Expository Writing,MW,02:20 pm-03:45 pm,18,17,1,0,0,0,Kathleen M Therrien (P),01/17-05/04,PH 315,Gen Ed - Communication Block and GE Current: Communication-Comp and Credit from 4-Year College
NR,15363,ENGL,1010,2,24M,3,Expository Writing,TR,09:40 am-11:05 am,18,17,1,0,0,0,Sheila J Otto (P),01/17-05/04,COE 110,Gen Ed - Communication Block and GE Current: Communication-Comp and Credit from 4-Year College
C,14021,ENGL,1010,3,24M,3,Expository Writing,MWF,11:30 am-12:25 pm,18,18,0,0,0,0,Bridget Anne Carlson (P),01/17-05/04,PH 306,Gen Ed - Communication Block and GE Current: Communication-Comp and Credit from 4-Year College
C,11663,ENGL,1010,4,24M,3,Expository Writing,MWF,10:20 am-11:15 am,18,19,-1,0,0,0,Leah Rae-Mittelmeier Soule (P),01/17-05/04,BAS S315,Gen Ed - Communication Block and GE Current: Communication-Comp and Credit from 4-Year College
C,11664,ENGL,1010,5,24M,3,Expository Writing,MWF,08:00 am-08:55 am,18,18,0,0,0,0,Dominique Nicole Chessor (P),01/17-05/04,PH 327,Full Term and Gen Ed - Communication Block and GE Current: Communication-Comp and Credit from 4-Year College
NR,11665,ENGL,1010,6,24M,3,Expository Writing,MWF,11:30 am-12:25 pm,15,14,1,0,0,0,Ethan D Castelo (P),01/17-05/04,PH 304B,Full Term and Gen Ed - Communication Block and GE Current: Communication-Comp and Credit from 4-Year College
