Sections Found,,,,,,,,,,,,,,,,,,,
ENGR-Engineering,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13823,ENGR,1100,1,24M,3,Engineering Fundamentals,MW,12:40 pm-02:05 pm,36,16,20,0,0,0,Michael Dana Allen (P),01/17-05/04,VET 243,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,13824,ENGR,1100,3,24M,3,Engineering Fundamentals,TR,01:00 pm-02:25 pm,40,38,2,0,0,0,Michael Dana Allen (P),01/17-05/04,DSB 128,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,13826,ENGR,1100,5,24M,3,Engineering Fundamentals,TR,09:40 am-11:05 am,29,25,4,0,0,0,Michael Dana Allen (P),01/17-05/04,VET 171,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,17238,ENGR,1100,J02,M2U,3,Engineering Fundamentals,,TBA,25,17,8,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,M2U LOCATION,Dual Enrollment and Off Campus and Tutoring Courses and Credit from 4-Year College
NR,17617,ENGR,1100,J03,M2U,3,Engineering Fundamentals,,TBA,25,3,22,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,M2U LOCATION,Dual Enrollment and Off Campus and Tutoring Courses and Credit from 4-Year College
C,13839,ENGR,1210,1,24M,3,Introduction to Materials Science and Engineering,TR,08:00 am-09:25 am,17,17,0,65,66,-1,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,BAS S260,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
,,,,,,,,T,09:40 am-11:05 am,,,,,,,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,VET 170C,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
C,13840,ENGR,1210,2,24M,3,Introduction to Materials Science and Engineering,TR,08:00 am-09:25 am,16,17,-1,65,66,-1,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,BAS S260,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
,,,,,,,,R,09:40 am-11:05 am,,,,,,,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,VET 170C,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
C,13841,ENGR,1210,3,24M,3,Introduction to Materials Science and Engineering,TR,08:00 am-09:25 am,16,16,0,65,66,-1,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,BAS S260,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
,,,,,,,,T,11:20 am-12:45 pm,,,,,,,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,VET 170C,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
C,15992,ENGR,1210,4,24M,3,Introduction to Materials Science and Engineering,TR,08:00 am-09:25 am,16,16,0,65,66,-1,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,BAS S260,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
,,,,,,,,R,11:20 am-12:45 pm,,,,,,,"Vishwas Bedekar (P), Tasneem Abbas Alsalem",01/17-05/04,VET 170C,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,14957,ENGR,2100,1,24M,3,(EXL) Introduction to Engineering Design,TR,02:40 pm-05:00 pm,35,34,1,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,MGB 201,Experiential Learning and Engineering Course Fee and Credit from 4-Year College
NR,15259,ENGR,2100,2,24M,3,Introduction to Engineering Design,MW,02:20 pm-04:40 pm,35,20,15,0,0,0,Antonio Fernando Saavedra (P),01/17-05/04,MGB 201,Engineering Course Fee and Credit from 4-Year College
NR,15764,ENGR,2100,J01,M1A,3,Introduction to Engineering Design,,TBA,25,7,18,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,M1A LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,15771,ENGR,2100,J02,MCJ,3,Introduction to Engineering Design,,TBA,25,12,13,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,MCJ LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,17126,ENGR,2100,J03,M2U,3,Introduction to Engineering Design,,TBA,25,11,14,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,M2U LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,17133,ENGR,2100,J05,M2V,3,Introduction to Engineering Design,,TBA,25,16,9,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,M2V LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,17134,ENGR,2100,J06,MBX,3,Introduction to Engineering Design,,TBA,25,6,19,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,MBX LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,17137,ENGR,2100,J07,MB3,3,Introduction to Engineering Design,,TBA,25,7,18,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,MB3 LOCATION,Dual Enrollment and Off Campus and Credit from 4-Year College
NR,15260,ENGR,2110,2,24M,3,Statics,TR,11:20 am-12:45 pm,40,31,9,0,0,0,Antonio Fernando Saavedra (P),01/17-05/04,DSB 128,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,16855,ENGR,2110,3,24M,3,Statics,TR,09:40 am-11:05 am,40,32,8,0,0,0,Ahad Sedghi Nasab (P),01/17-05/04,DSB 128,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,15844,ENGR,2120,1,24M,3,Dynamics,MW,04:10 pm-05:35 pm,40,34,6,0,0,0,Brian J Slaboch (P),01/17-05/04,DSB 128,Engineering Course Fee and Credit from 4-Year College
NR,14059,ENGR,2120,2,24M,3,Dynamics,TR,02:40 pm-04:05 pm,40,36,4,0,0,0,Brian J Slaboch (P),01/17-05/04,DSB 128,Engineering Course Fee and Credit from 4-Year College
C,17401,ENGR,2130,1,24M,3,Electrical Circuit Analysis I,T,08:00 am-10:00 am,22,22,0,0,0,0,Antonio Fernando Saavedra (P),01/17-05/04,DSB 202,Engineering Course Fee and Credit from 4-Year College
,,,,,,,,R,08:00 am-11:05 am,,,,,,,Antonio Fernando Saavedra (P),01/17-05/04,DSB 122,Engineering Course Fee and Credit from 4-Year College
C,14060,ENGR,2130,2,24M,3,Electrical Circuit Analysis I,MW,08:00 am-10:05 am,35,36,-1,0,0,0,Yating Hu (P),01/17-05/04,DSB 122,Engineering Course Fee and Credit from 4-Year College
,,,,,,,,MW,08:05 am-10:05 am,,,,,,,Yating Hu (P),01/17-05/04,DSB 128,Engineering Course Fee and Credit from 4-Year College
,,,,,,,,W,08:10 am-10:05 am,,,,,,,Yating Hu (P),01/17-05/04,DSB 150,Engineering Course Fee and Credit from 4-Year College
,,,,,,,,F,08:00 am-08:55 am,,,,,,,Yating Hu (P),01/17-05/04,DSB 122,Engineering Course Fee and Credit from 4-Year College
,,,,,,,,F,08:05 am-08:55 am,,,,,,,Yating Hu (P),01/17-05/04,DSB 150,Engineering Course Fee and Credit from 4-Year College
NR,14544,ENGR,3510,1,24M,3,Electrical Circuit Analysis II,MW,12:40 pm-02:05 pm,35,24,11,0,0,0,Yating Hu (P),01/17-05/04,DSB 202,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14057,ENGR,3520,1,24M,3,Digital Circuits Fundamentals,M,08:00 am-10:05 am,22,12,10,0,0,0,"Lei Miao (P), Ayehualem Dagne Anteneh",01/17-05/04,VET 174,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,08:00 am-10:05 am,,,,,,,"Lei Miao (P), Ayehualem Dagne Anteneh",01/17-05/04,VET 171,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
