Sections Found,,,,,,,,,,,,,,,,,,,
ENTR-Entrepreneurship,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,15395,ENTR,2900,3,24M,3,Entrepreneurship,MW,12:40 pm-02:05 pm,37,38,-1,0,0,0,John V Mullane (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College
C,15397,ENTR,2900,5,24M,3,Entrepreneurship,TR,09:40 am-11:05 am,37,38,-1,0,0,0,Leonard W Iseldyke (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College
C,15398,ENTR,2900,7,24M,3,Entrepreneurship,TR,02:40 pm-04:05 pm,37,37,0,0,0,0,Kristen Rebecca Kathleen Shanine (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College
C,15399,ENTR,2900,8,24M,3,Entrepreneurship,TR,11:20 am-12:45 pm,37,37,0,0,0,0,Kristen Rebecca Kathleen Shanine (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College
C,15400,ENTR,2900,D01,24M,3,Entrepreneurship,,TBA,25,25,0,0,0,0,Kristen Rebecca Kathleen Shanine (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
C,17523,ENTR,2900,D02,24M,3,Entrepreneurship,,TBA,25,26,-1,0,0,0,Kristen Rebecca Kathleen Shanine (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
NR,16818,ENTR,3650,1,24M,3,New Venture Creation,MW,12:40 pm-02:05 pm,37,19,18,0,0,0,Ralph Ivan Williams (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15401,ENTR,4620,1,24M,3,(EXL) Business Plan Development,W,02:40 pm-05:40 pm,30,10,20,0,0,0,Patrick R Geho (P),01/17-05/04,BAS S262,Experiential Learning and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,15559,ENTR,4920,1,24M,3,Small Business Management,TR,01:00 pm-02:25 pm,38,38,0,0,0,0,Leonard W Iseldyke (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15560,ENTR,4920,2,24M,3,Small Business Management,TR,02:40 pm-04:05 pm,38,34,4,0,0,0,Leonard W Iseldyke (P),01/17-05/04,BAS S276,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15561,ENTR,4920,3,24M,3,Small Business Management,W,06:00 pm-09:00 pm,30,14,16,0,0,0,Leonard W Iseldyke (P),01/17-05/04,BAS S332,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
