Sections Found,,,,,,,,,,,,,,,,,,,
ET-Engineering Technology,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12618,ET,2310,2,24M,3,Computer-Assisted Drafting and Design I,MW,06:00 pm-08:30 pm,35,29,6,0,0,0,Richard Tri Pham (P),01/17-05/04,MGB 201,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,12718,ET,2310,3,24M,3,Computer-Assisted Drafting and Design I,TR,08:00 am-10:30 am,35,25,10,0,0,0,Richard Tri Pham (P),01/17-05/04,MGB 201,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College
NR,13811,ET,2920,1,24M,1,Industrial Orientation Internship,,TBA,5,3,2,0,0,0,Basavapatna S Sridhara (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College
NR,12573,ET,2920,2,24M,1,Industrial Orientation Internship,,TBA,10,9,1,0,0,0,Thomas C Gormley (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College
C,14852,ET,2920,3,24M,1,Industrial Orientation Internship,,TBA,1,1,0,0,0,0,Vishwas Bedekar (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College
C,10864,ET,3210,1,24M,3,Machine Tool Technology,MW,10:20 am-12:25 pm,18,18,0,0,0,0,"Ricky A Taylor (P), Michael Dana Allen",01/17-05/04,VET 108,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,10:20 am-11:15 am,,,,,,,"Ricky A Taylor (P), Michael Dana Allen",01/17-05/04,VET 108,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13424,ET,3260,2,24M,3,Manufacturing Processes and Materials,TR,08:00 am-09:25 am,32,19,13,0,0,0,James Lynn Stallings (P),01/17-05/04,VET 243,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
C,10866,ET,3360,1,24M,3,Computer-Assisted Drafting and Design II,T,06:00 pm-08:00 pm,34,34,0,36,36,0,Richard Tri Pham (P),01/17-05/04,MGB 201,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,06:00 pm-09:00 pm,,,,,,,Richard Tri Pham (P),01/17-05/04,MGB 201,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10867,ET,3601,1,24M,3,Electrical Circuit Analysis I,M,12:40 pm-03:40 pm,28,13,15,0,0,0,William A Schenck (P),01/17-05/04,VET 178,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,12:45 pm-03:40 pm,,,,,,,William A Schenck (P),01/17-05/04,VET 176,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,12:40 pm-02:40 pm,,,,,,,William A Schenck (P),01/17-05/04,VET 178,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,12:45 pm-02:40 pm,,,,,,,William A Schenck (P),01/17-05/04,VET 176,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13204,ET,3602,1,24M,3,Electrical Circuit Analysis II,T,02:40 pm-04:40 pm,28,25,3,0,0,0,"Karim Salman (P), Dallas Tyler Leitner",01/17-05/04,VET 178,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,"Karim Salman (P), Dallas Tyler Leitner",01/17-05/04,VET 176,Tutoring Courses and Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10868,ET,3610,1,24M,4,Introduction to Electricity and Electronics,TR,11:20 am-12:45 pm,28,19,9,0,0,0,"Saleh M Sbenaty (P), Noraa Elmahdi Ataher",01/17-05/04,VET 178,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,01:00 pm-02:25 pm,,,,,,,"Saleh M Sbenaty (P), Noraa Elmahdi Ataher",01/17-05/04,VET 176,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10869,ET,3620,1,24M,3,Digital Circuits Fundamentals,TR,08:00 am-09:25 am,16,14,2,32,28,4,"Karim Salman (P), Dallas Tyler Leitner",01/17-05/04,VET 174,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,09:40 am-11:05 am,,,,,,,"Karim Salman (P), Dallas Tyler Leitner",01/17-05/04,VET 243,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12177,ET,3620,2,24M,3,Digital Circuits Fundamentals,TR,09:40 am-11:05 am,16,14,2,32,28,4,"Karim Salman (P), Dallas Tyler Leitner",01/17-05/04,VET 243,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,11:20 am-12:45 pm,,,,,,,"Karim Salman (P), Dallas Tyler Leitner",01/17-05/04,VET 174,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10870,ET,3810,1,24M,3,Engineering Thermodynamics,MW,04:10 pm-05:35 pm,50,36,14,0,0,0,Basavapatna S Sridhara (P),01/17-05/04,BAS S118,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13678,ET,3860,2,24M,3,Strength of Materials,MWF,09:10 am-10:05 am,36,26,10,0,0,0,Walter Wesley Boles (P),01/17-05/04,VET 243,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15841,ET,3920,1,24M,3,Industrial Internship I,,TBA,4,3,1,0,0,0,Eddie D Vanhook (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
C,13831,ET,3920,2,24M,3,Industrial Internship I,,TBA,2,2,0,0,0,0,Mary Kathryn Mathis (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12816,ET,4230,1,24M,3,Advanced Machine Tool Technology,,TBA,4,2,2,0,0,0,"Ricky A Taylor (P), Michael Dana Allen",01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
C,15687,ET,4330,1,24M,2,Advanced Computer-Aided Drafting,TR,10:55 am-12:45 pm,32,34,-2,0,0,0,Richard Tri Pham (P),01/17-05/04,MGB 201,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,15783,ET,4340,1,24M,3,Design of Machine Elements,TR,04:20 pm-05:45 pm,25,10,15,0,0,0,Vishwas Bedekar (P),01/17-05/04,MGB 302,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
C,14417,ET,4600,1,24M,2,Programmable Logic Controllers,MF,08:05 am-08:55 am,16,16,0,0,0,0,Chong Chen (P),01/17-05/04,VET 170A,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,08:00 am-08:55 am,,,,,,,Chong Chen (P),01/17-05/04,VET 171,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,08:00 am-10:00 am,,,,,,,Chong Chen (P),01/17-05/04,VET 170A,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12927,ET,4610,1,24M,3,Instrumentation and Controls,TR,08:00 am-09:25 am,16,14,2,0,0,0,"Chong Chen (P), Adekunle Kenneth Afolabi",01/17-05/04,VET 171,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,09:40 am-11:05 am,,,,,,,"Chong Chen (P), Adekunle Kenneth Afolabi",01/17-05/04,VET 170A,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13929,ET,4630,2,24M,3,Local Area Networks,T,06:00 pm-10:00 pm,16,10,6,0,0,0,Saleh M Sbenaty (P),01/17-05/04,VET 171,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,06:05 pm-10:00 pm,,,,,,,Saleh M Sbenaty (P),01/17-05/04,VET 174,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,06:00 pm-07:00 pm,,,,,,,Saleh M Sbenaty (P),01/17-05/04,VET 174,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
C,15973,ET,4640,1,24M,3,Industrial Electricity,MWF,10:25 am-12:25 pm,16,17,-1,0,0,0,Chong Chen (P),01/17-05/04,VET 170A,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,MW,10:20 am-11:15 am,,,,,,,Chong Chen (P),01/17-05/04,VET 171,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10871,ET,4660,1,24M,3,Microprocessor Interfacing,TR,02:40 pm-03:40 pm,17,16,1,0,0,0,"Saleh M Sbenaty (P), Noraa Elmahdi Ataher",01/17-05/04,VET 171,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:45 pm-05:40 pm,,,,,,,"Saleh M Sbenaty (P), Noraa Elmahdi Ataher",01/17-05/04,VET 174,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:45 pm-04:40 pm,,,,,,,"Saleh M Sbenaty (P), Noraa Elmahdi Ataher",01/17-05/04,VET 174,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
C,13206,ET,4701,1,24M,3,Industrial Topics,,TBA,10,10,0,0,0,0,Saeed D Foroudastan (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,13879,ET,4701,3,24M,1,Industrial Topics,,TBA,5,3,2,0,0,0,Chong Chen (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10872,ET,4710,1,24M,1,Professional Development Seminar,M,12:40 pm-01:35 pm,39,21,18,0,0,0,Charles H Perry (P),01/17-05/04,DSB 128,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
C,12424,ET,4790,2,24M,3,Advanced Problems in Technology,,TBA,10,10,0,0,0,0,Saeed D Foroudastan (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,17219,ET,4790,4,24M,3,Advanced Problems in Technology,,TBA,2,1,1,0,0,0,Saleh M Sbenaty (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
NR,17640,ET,4790,5,24M,3,Advanced Problems in Technology,,TBA,2,1,1,0,0,0,Lei Miao (P),01/17-05/04,TBA TBA,Engineering Course Fee and Credit from 4-Year College and Upper-Division Work
