Sections Found,,,,,,,,,,,,,,,,,,,
EXSC-Exercise Science,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,14433,EXSC,3000,1,24M,3,Resources for Professional Practice in Exercise Science,MWF,08:00 am-08:55 am,30,30,0,0,0,0,David N Clark (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
C,13435,EXSC,3000,3,24M,3,Resources for Professional Practice in Exercise Science,MWF,09:10 am-10:05 am,30,30,0,0,0,0,David N Clark (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
C,14438,EXSC,3000,4,24M,3,Resources for Professional Practice in Exercise Science,TR,09:40 am-11:05 am,30,31,-1,0,0,0,Layci J Harrison (P),01/17-05/04,AMG 214,Credit from 4-Year College and Upper-Division Work
C,13151,EXSC,3500,1,24M,3,Exercise Techniques and Leadership,TR,11:20 am-12:45 pm,23,23,0,0,0,0,Veronika Pribyslavska (P),01/17-05/04,AMG 216,Credit from 4-Year College and Upper-Division Work
,,,,,,,,TR,11:25 am-12:45 pm,,,,,,,Veronika Pribyslavska (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
C,13152,EXSC,3500,2,24M,3,Exercise Techniques and Leadership,MW,12:40 pm-02:05 pm,23,23,0,0,0,0,Tyler W Langford (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
,,,,,,,,MW,12:45 pm-02:05 pm,,,,,,,Tyler W Langford (P),01/17-05/04,AMG 216,Credit from 4-Year College and Upper-Division Work
,,,,,,,,MW,12:50 pm-02:05 pm,,,,,,,Tyler W Langford (P),01/17-05/04,AMG ARENA,Credit from 4-Year College and Upper-Division Work
NR,13345,EXSC,3500,3,24M,3,Exercise Techniques and Leadership,MWF,08:00 am-08:55 am,24,23,1,0,0,0,Eric Michael Scudamore (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,08:05 am-08:55 am,,,,,,,Eric Michael Scudamore (P),01/17-05/04,AMG 216,Credit from 4-Year College and Upper-Division Work
C,14437,EXSC,3500,4,24M,3,Exercise Techniques and Leadership,MWF,10:20 am-11:15 am,24,24,0,0,0,0,Richard Sinclair Farley (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
,,,,,,,,MWF,10:25 am-11:15 am,,,,,,,Richard Sinclair Farley (P),01/17-05/04,AMG 216,Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,10:30 am-11:15 am,,,,,,,Richard Sinclair Farley (P),01/17-05/04,AMG 216A,Credit from 4-Year College and Upper-Division Work
NR,14434,EXSC,3830,1,24M,4,Physiology of Exercise,MWF,08:00 am-08:55 am,27,16,11,0,0,0,Richard Sinclair Farley (P),01/17-05/04,MC 101,Credit from 4-Year College and Upper-Division Work
C,14442,EXSC,3830,2,24M,4,Physiology of Exercise,TR,09:40 am-11:05 am,27,27,0,0,0,0,Samantha Louise Johnson (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
NR,13436,EXSC,3830,3,24M,4,Physiology of Exercise,MW,02:20 pm-03:45 pm,27,24,3,0,0,0,John Michael Coons (P),01/17-05/04,AMG 103,Credit from 4-Year College and Upper-Division Work
C,13437,EXSC,3830,4,24M,4,Physiology of Exercise,TR,08:00 am-09:25 am,27,27,0,0,0,0,Jennifer L Caputo (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
NR,14435,EXSC,3831,1,24M,0,Physiology of Exercise Lab,W,04:00 pm-05:50 pm,12,11,1,0,0,0,Whitley Jo Stone (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
C,14436,EXSC,3831,2,24M,0,Physiology of Exercise Lab,F,09:10 am-11:00 am,12,12,0,0,0,0,Michael Lee Self (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
NR,14443,EXSC,3831,3,24M,0,Physiology of Exercise Lab,M,12:40 pm-02:30 pm,12,10,2,0,0,0,James Cody Sivley (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
NR,14444,EXSC,3831,4,24M,0,Physiology of Exercise Lab,W,12:40 pm-02:30 pm,12,8,4,0,0,0,Eric Michael Scudamore (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
C,13439,EXSC,3831,8,24M,0,Physiology of Exercise Lab,M,10:20 am-12:10 pm,12,12,0,0,0,0,Michael Lee Self (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
C,13440,EXSC,3831,9,24M,0,Physiology of Exercise Lab,W,10:20 am-12:10 pm,12,12,0,0,0,0,Whitley Jo Stone (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
NR,13441,EXSC,3831,10,24M,0,Physiology of Exercise Lab,W,08:00 am-09:50 am,12,5,7,0,0,0,James Cody Sivley (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
C,13442,EXSC,3831,11,24M,0,Physiology of Exercise Lab,R,02:40 pm-04:30 pm,12,12,0,0,0,0,Tyler W Langford (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
C,13443,EXSC,3831,12,24M,0,Physiology of Exercise Lab,T,02:40 pm-04:30 pm,12,12,0,0,0,0,Tyler W Langford (P),01/17-05/04,AMG 152,Credit from 4-Year College and Upper-Division Work
C,14439,EXSC,4000,2,24M,3,Research Seminar in Exercise Science,TR,11:20 am-12:45 pm,24,24,0,0,0,0,Layci J Harrison (P),01/17-05/04,MC 101,Credit from 4-Year College and Upper-Division Work
C,13444,EXSC,4000,3,24M,3,Research Seminar in Exercise Science,TR,08:00 am-09:25 am,22,25,-3,0,0,0,Vaughn W Barry (P),01/17-05/04,MC 101,Credit from 4-Year College and Upper-Division Work
NR,17322,EXSC,4000,4,24M,3,Research Seminar in Exercise Science,TR,01:00 pm-02:25 pm,25,24,1,0,0,0,John Michael Coons (P),01/17-05/04,AMG 116,Credit from 4-Year College and Upper-Division Work
C,10468,EXSC,4010,1,24M,3,Applied Research in Exercise Science,TR,11:20 am-12:45 pm,25,27,-2,0,0,0,Sandra Lynn Stevens (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
C,12462,EXSC,4010,2,24M,3,Applied Research in Exercise Science,TR,01:00 pm-02:25 pm,25,25,0,0,0,0,Vaughn W Barry (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
C,15040,EXSC,4010,3,24M,3,Applied Research in Exercise Science,TR,04:20 pm-05:45 pm,25,25,0,0,0,0,Samantha Louise Johnson (P),01/17-05/04,MC 100B,Credit from 4-Year College and Upper-Division Work
C,13224,EXSC,4230,1,24M,3,Exercise Prescription and Program Planning,TR,02:40 pm-04:05 pm,25,25,0,0,0,0,John Adam Korak (P),01/17-05/04,AMG 153,Credit from 4-Year College and Upper-Division Work
C,13225,EXSC,4230,2,24M,3,Exercise Prescription and Program Planning,TR,09:40 am-11:05 am,25,25,0,0,0,0,John Adam Korak (P),01/17-05/04,AMG 103,Credit from 4-Year College and Upper-Division Work
C,14441,EXSC,4230,3,24M,3,Exercise Prescription and Program Planning,MW,12:40 pm-02:05 pm,25,25,0,0,0,0,John Michael Coons (P),01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
C,14440,EXSC,4240,1,24M,3,Principles of Exercise Assessment for Healthy Populations,TR,08:00 am-09:25 am,20,20,0,0,0,0,Veronika Pribyslavska (P),01/17-05/04,AMG 214,Credit from 4-Year College and Upper-Division Work
C,13445,EXSC,4240,3,24M,3,Principles of Exercise Assessment for Healthy Populations,TR,09:40 am-11:05 am,19,19,0,0,0,0,Jennifer L Caputo (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
C,13446,EXSC,4240,4,24M,3,Principles of Exercise Assessment for Healthy Populations,M,02:40 pm-05:40 pm,23,24,-1,0,0,0,"Whitley Jo Stone (P), Eric Michael Scudamore",01/17-05/04,MC 103,Credit from 4-Year College and Upper-Division Work
C,10470,EXSC,4260,1,24M,3,Exercise Assessment and Prescription for Special Populations,TR,08:00 am-09:25 am,30,31,-1,0,0,0,David N Clark (P),01/17-05/04,AMG 116,Credit from 4-Year College and Upper-Division Work
