Sections Found,,,,,,,,,,,,,,,,,,,
FIN-Finance,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,16230,FIN,3000,D01,24M,3,Principles of Financial Management,,TBA,50,51,-1,0,0,0,Sean P Salter (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,10326,FIN,3010,1,24M,3,Business Finance,MWF,10:20 am-11:15 am,95,78,17,0,0,0,Frederick Lee Sarver (P),01/17-05/04,BAS S128,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,06:00 pm-08:00 pm,,,,,,,Frederick Lee Sarver (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,17569,FIN,3010,2,24M,3,Business Finance,TR,02:40 pm-04:05 pm,28,28,0,0,0,0,Heather Nicole Rhodes (P),01/17-05/04,BAS N127,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10327,FIN,3010,3,24M,3,Business Finance,R,06:00 pm-09:00 pm,43,42,1,0,0,0,Walker F Todd (P),01/17-05/04,BAS S336,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,06:00 pm-08:00 pm,,,,,,,Walker F Todd (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10328,FIN,3010,4,24M,3,Business Finance,MW,02:20 pm-03:45 pm,95,92,3,0,0,0,Walker F Todd (P),01/17-05/04,BAS S128,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,06:00 pm-08:00 pm,,,,,,,Walker F Todd (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,12476,FIN,3010,8,24M,3,Business Finance,TR,11:20 am-12:45 pm,95,94,1,0,0,0,Sean P Salter (P),01/17-05/04,BAS S128,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
,,,,,,,,F,06:00 pm-08:00 pm,,,,,,,Sean P Salter (P),04/28-04/28,TBA TBA,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,17033,FIN,3010,D01,24M,3,Business Finance,,TBA,25,25,0,0,0,0,Ghassem Homaifar (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17307,FIN,3010,D02,24M,3,Business Finance,,TBA,25,24,1,0,0,0,Ghassem Homaifar (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17378,FIN,3010,D03,24M,3,Business Finance,,TBA,25,27,-2,0,0,0,Min Zhao (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,15788,FIN,3030,1,24M,3,Principles of Real Estate,TR,02:40 pm-04:05 pm,26,26,0,0,0,0,Philip Anthony Seagraves (P),01/17-05/04,BAS S302,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,17406,FIN,3030,D01,24M,3,Principles of Real Estate,,TBA,35,34,1,0,0,0,Philip Anthony Seagraves (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15298,FIN,3090,1,24M,3,Financial Planning,TR,08:00 am-09:25 am,28,21,7,0,0,0,John Thomas Lee (P),01/17-05/04,BAS N127,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,17114,FIN,3430,1,24M,3,Public Finance,TR,02:40 pm-04:05 pm,17,16,1,24,23,1,Duane B Graddy (P),01/17-05/04,BAS S208,Tutoring Courses and College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,10330,FIN,3610,1,24M,3,General Insurance,TR,11:20 am-12:45 pm,28,26,2,0,0,0,Emily Norman Zietz (P),01/17-05/04,BAS S273,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,17030,FIN,3610,2,24M,3,General Insurance,MW,02:20 pm-03:45 pm,25,26,-1,0,0,0,David Dorroh Wood (P),01/17-05/04,BAS S338,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
