Sections Found,,,,,,,,,,,,,,,,,,,
FOED-Foundations of Education,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,15050,FOED,6020,6,24M,3,Educational Foundations,T,04:30 pm-07:30 pm,20,6,14,0,0,0,Laurie B Witherow (P),01/17-05/04,COE 240,College of Educ Course Fee
C,13815,FOED,6020,D01,24M,3,Educational Foundations,,TBA,12,12,0,0,0,0,Charles David Milligan (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR and College of Educ Course Fee
C,11114,FOED,6610,2,24M,3,Analysis and Application of Educational Research,M,04:30 pm-07:30 pm,15,16,-1,0,0,0,Donald Snead (P),01/17-05/04,COE 144,College of Educ Course Fee
NR,12906,FOED,6610,D01,24M,3,Analysis and Application of Educational Research,,TBA,10,9,1,0,0,0,Frank Pierre Lambert (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR and College of Educ Course Fee
C,12746,FOED,6610,D02,24M,3,Analysis and Application of Educational Research,,TBA,10,11,-1,0,0,0,Frank Pierre Lambert (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR and College of Educ Course Fee
C,12717,FOED,6620,D01,24M,3,Action Research for Practitioner-Based Learning Environments,,TBA,12,12,0,0,0,0,Dorothy V Craig (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,13608,FOED,6630,8,24M,3,Educational Tests and Measurements,T,04:30 pm-07:30 pm,14,9,5,0,0,0,Mike Alan Boyle (P),01/17-05/04,COE 140,College of Educ Course Fee
C,12744,FOED,6860,D01,24M,3,Education and Digital Youth: Language Learning in a Participatory Culture,,TBA,12,13,-1,0,0,0,Charles David Milligan (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,12749,FOED,7060,D01,24M,3,Seminar in Educational Foundations,,TBA,14,5,9,0,0,0,Barbara N Young (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,12558,FOED,7610,D01,24M,3,Directed Individual Educational Research,,TBA,14,5,9,0,0,0,Michelle G Arnold (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
