Sections Found,,,,,,,,,,,,,,,,,,,
FREN-French,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11879,FREN,1010,1,24M,3,Elementary French I,TR,11:20 am-12:45 pm,25,18,7,0,0,0,Nancy Sloan Goldberg (P),01/17-05/04,BDA 303A,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,13526,FREN,1010,2,24M,3,Elementary French I,MWF,11:30 am-12:25 pm,25,15,10,0,0,0,Ann Michelle McCullough (P),01/17-05/04,BDA 307,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,15583,FREN,1010,3,24M,3,Elementary French I,MWF,09:10 am-10:05 am,20,18,2,0,0,0,Ann Michelle McCullough (P),01/17-05/04,BDA 305,Tutoring Courses and Credit from 4-Year College and Foreign Language I
C,12211,FREN,1010,R50,59R,3,Beginning French I,,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,13528,FREN,1020,1,24M,3,Elementary French II,TR,09:40 am-11:05 am,25,14,11,0,0,0,Laura Meeker Nelson (P),01/17-05/04,BDA 307,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,14322,FREN,1020,2,24M,3,Elementary French II,MWF,11:30 am-12:25 pm,20,13,7,0,0,0,"Ann Michelle McCullough (P), Gwendolyn Frances Sarah Arvidson",01/17-05/04,BDA 305,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,10603,FREN,1020,H01,24M,3,(HONORS) Elementary French II,MWF,10:20 am-11:15 am,20,10,10,0,0,0,Shelley Thomas (P),01/17-05/04,HONR 116,University Honors and Tutoring Courses and Credit from 4-Year College and Foreign Language II
C,12212,FREN,1020,R50,59R,3,Beginning French II,,TBA,0,0,0,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,12902,FREN,2010,1,24M,3,Intermediate French I,TR,01:00 pm-02:25 pm,28,6,22,0,0,0,Nancy Sloan Goldberg (P),01/17-05/04,BDA 303A,Tutoring Courses and Credit from 4-Year College
NR,12466,FREN,2020,1,24M,3,Intermediate French II,TR,09:40 am-11:05 am,25,16,9,0,0,0,Ann Michelle McCullough (P),01/17-05/04,BDA 309,Tutoring Courses and Credit from 4-Year College
NR,10606,FREN,2020,H01,24M,3,(HONORS) Intermediate French II,TR,01:00 pm-02:25 pm,20,12,8,0,0,0,Shelley Thomas (P),01/17-05/04,HONR 218,University Honors and Tutoring Courses and Credit from 4-Year College
NR,10610,FREN,3010,1,24M,3,Advanced Composition,TR,01:00 pm-02:25 pm,16,14,2,0,0,0,Ann Michelle McCullough (P),01/17-05/04,BDA 316A,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,10612,FREN,3040,1,24M,3,Intensive Conversational French,TR,02:40 pm-04:05 pm,16,7,9,0,0,0,Nancy Sloan Goldberg (P),01/17-05/04,BDA 303B,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,16525,FREN,3110,1,24M,3,French and Francophone Culture,TR,09:40 am-11:05 am,20,12,8,0,0,0,Roger J Pieroni (P),01/17-05/04,BAS S274,Credit from 4-Year College and Upper-Division Work
C,17399,FREN,3910,S01,24M,6,Study Abroad,,TBA,1,1,0,0,0,0,Roger J Pieroni (P),01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College and Upper-Division Work
NR,16526,FREN,4040,1,24M,3,Topics in Eighteenth-Century French Literature,T,04:30 pm-07:30 pm,20,6,14,25,10,15,Roger J Pieroni (P),01/17-05/04,BDA 303A,Credit from 4-Year College and Upper-Division Work
NR,16527,FREN,5040,1,24M,3,Topics in Eighteenth-Century French Literature and Culture,T,04:30 pm-07:30 pm,5,4,1,25,10,15,Roger J Pieroni (P),01/17-05/04,BDA 303A,
