Sections Found,,,,,,,,,,,,,,,,,,,
FSCJ-Forensics Sci-Crim Just,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12664,FSCJ,2400,1,24M,3,Judicial Process,MWF,08:00 am-08:55 am,7,2,5,52,30,22,Lance Hamilton Selva (P),01/17-05/04,COE 145,Credit from 4-Year College
NR,12665,FSCJ,2400,2,24M,3,Judicial Process,TR,11:20 am-12:45 pm,15,1,14,74,59,15,Lance Hamilton Selva (P),01/17-05/04,COE 164,Credit from 4-Year College
NR,12666,FSCJ,2400,3,24M,3,Judicial Process,TR,02:40 pm-04:05 pm,6,1,5,36,19,17,Julian D Loughry (P),01/17-05/04,COE 141,Credit from 4-Year College
C,17325,FSCJ,4330,1,24M,3,Criminal Investigations,TR,09:40 am-11:05 am,5,5,0,34,31,3,Benjamin F Stickle (P),01/17-05/04,BAS S276,Credit from 4-Year College and Upper-Division Work
C,16463,FSCJ,4330,2,24M,3,Criminal Investigations,TR,11:20 am-12:45 pm,10,10,0,36,31,5,Benjamin F Stickle (P),01/17-05/04,COE 250,Credit from 4-Year College and Upper-Division Work
NR,12668,FSCJ,4330,D01,24M,3,Criminal Investigations,,TBA,2,1,1,0,0,0,Deborah Wilkins Newman (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12669,FSCJ,4340,1,24M,3,Crime Scene Investigation,TR,01:00 pm-02:25 pm,12,11,1,24,21,3,Lee M Wade (P),01/17-05/04,COE 102,Credit from 4-Year College and Upper-Division Work
NR,15025,FSCJ,4340,2,24M,3,Crime Scene Investigation,MW,12:40 pm-02:05 pm,12,7,5,24,18,6,Lee M Wade (P),01/17-05/04,COE 102,Credit from 4-Year College and Upper-Division Work
C,12670,FSCJ,4530,1,24M,3,Criminal Evidence and Procedure,TR,08:00 am-09:25 am,7,7,0,74,42,32,Lance Hamilton Selva (P),01/17-05/04,COE 164,Credit from 4-Year College and Upper-Division Work
C,13175,FSCJ,4530,D01,24M,3,Criminal Evidence and Procedure,,TBA,2,2,0,0,0,0,Deborah Wilkins Newman (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
