Sections Found,,,,,,,,,,,,,,,,,,,
GEOG-Geography (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10384,GEOG,2000,1,24M,3,Introduction to Regional Geography,MWF,09:10 am-10:05 am,24,20,4,0,0,0,James P Chaney (P),01/17-05/04,PH 314B,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
C,10385,GEOG,2000,2,24M,3,Introduction to Regional Geography,MWF,10:20 am-11:15 am,24,24,0,0,0,0,James P Chaney (P),01/17-05/04,PH 314B,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
C,10386,GEOG,2000,3,24M,3,Introduction to Regional Geography,MWF,11:30 am-12:25 pm,25,25,0,0,0,0,Latoya Elise Eaves (P),01/17-05/04,PH 220,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
NR,13529,GEOG,2000,4,24M,3,Introduction to Regional Geography,TR,04:20 pm-05:45 pm,24,23,1,0,0,0,Latoya Elise Eaves (P),01/17-05/04,PH 314B,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
NR,10387,GEOG,2000,5,24M,3,Introduction to Regional Geography,TR,08:00 am-09:25 am,24,22,2,0,0,0,Patricia Jean Boda (P),01/17-05/04,PH 314B,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
NR,12614,GEOG,2000,6,24M,3,Introduction to Regional Geography,MW,02:20 pm-03:45 pm,24,23,1,0,0,0,Latoya Elise Eaves (P),01/17-05/04,COE 146,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
NR,12615,GEOG,2000,7,24M,3,Introduction to Regional Geography,TR,01:00 pm-02:25 pm,25,24,1,0,0,0,Hari P Garbharran (P),01/17-05/04,BAS S334,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
NR,10393,GEOG,2000,D01,24M,3,Introduction to Regional Geography,,TBA,35,31,4,0,0,0,Hari P Garbharran (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College and Social Studies
C,13433,GEOG,3120,1,24M,3,Geography of Tennessee and the South,TR,01:00 pm-02:25 pm,10,9,1,20,20,0,Derek W Frisby (P),01/17-05/04,SAG 208,Credit from 4-Year College and Upper-Division Work
NR,14279,GEOG,3420,1,24M,3,"Latin America in the 21st Century: Challenges, New Opportunities",T,02:40 pm-05:40 pm,20,9,11,0,0,0,James P Chaney (P),01/17-05/04,COE 110,Credit from 4-Year College and Upper-Division Work
C,11936,GEOG,3710,R50,45R,3,Geography of United States,,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
NR,16421,GEOG,4270,1,24M,3,Special Problems and Topics in Cultural Geography:Gender and Globalization,TR,01:00 pm-02:25 pm,20,19,1,0,0,0,Latoya Elise Eaves (P),01/17-05/04,PH 314B,Credit from 4-Year College and Upper-Division Work
NR,14387,GEOG,4500,D01,24M,3,Geography of the Middle East and North Africa,,TBA,19,18,1,0,0,0,Hari P Garbharran (P),01/17-05/04,TBA TBA,Distance Learning and African American Studies and Jewish and Holocaust Studies and Middle East Studies and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12281,GEOG,4550,D01,24M,3,Global Issues,,TBA,25,24,1,0,0,0,Hari P Garbharran (P),01/17-05/04,TBA TBA,Distance Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17098,GEOG,4772,1,24M,3,Field Course in Historical Geography/Archaeology,,TBA,10,5,5,0,0,0,J Douglas Heffington (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
NR,14629,GEOG,4990,1,24M,3,Senior Seminar in Cultural Geography,,TBA,5,2,3,0,0,0,J Douglas Heffington (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
