Sections Found,,,,,,,,,,,,,,,,,,,
GEOL-Geology,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10438,GEOL,1030,1,24M,3,Introduction to Earth Science,MWF,09:10 am-10:05 am,100,90,10,0,0,0,Mark J Abolins (P),01/17-05/04,DSB 100,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10439,GEOL,1030,2,24M,3,Introduction to Earth Science,MWF,10:20 am-11:15 am,100,80,20,0,0,0,Alan D Brown (P),01/17-05/04,DSB 100,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10440,GEOL,1030,3,24M,3,Introduction to Earth Science,MWF,11:30 am-12:25 pm,100,73,27,0,0,0,Alan D Brown (P),01/17-05/04,DSB 100,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,15095,GEOL,1030,4,24M,3,Introduction to Earth Science,MW,12:40 pm-02:05 pm,100,100,0,0,0,0,Melissa Kay Lobegeier (P),01/17-05/04,DSB 100,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,15082,GEOL,1030,5,24M,3,Introduction to Earth Science,TR,09:40 am-11:05 am,100,98,2,0,0,0,Joshua W Cribb (P),01/17-05/04,DSB 100,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,15081,GEOL,1030,6,24M,3,Introduction to Earth Science,TR,11:20 am-12:45 pm,100,100,0,0,0,0,Michael Westphal Hiett (P),01/17-05/04,DSB 100,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,16423,GEOL,1030,7,24M,3,Introduction to Earth Science,TR,01:00 pm-02:25 pm,100,47,53,0,0,0,Clayton D Harris (P),01/17-05/04,DSB 100,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,13530,GEOL,1030,8,24M,3,Introduction to Earth Science,TR,06:00 pm-07:25 pm,32,30,2,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 103,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,14087,GEOL,1030,9,24M,3,Introduction to Earth Science,MW,02:20 pm-03:45 pm,32,32,0,0,0,0,Ronald L Zawislak (P),01/17-05/04,DSB 101,Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,15120,GEOL,1030,R50,61R,4,Introduction to Earth Science,,TBA,0,32,-32,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Tutoring Courses and Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10442,GEOL,1031,1,24M,1,Introduction to Earth Science Lab,T,12:25 pm-02:25 pm,34,33,1,0,0,0,Alan D Brown (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,10443,GEOL,1031,2,24M,1,Introduction to Earth Science Lab,M,10:20 am-12:20 pm,34,34,0,0,0,0,Ronald L Zawislak (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10444,GEOL,1031,3,24M,1,Introduction to Earth Science Lab,M,12:40 pm-02:40 pm,34,33,1,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10445,GEOL,1031,4,24M,1,Introduction to Earth Science Lab,M,09:10 am-11:10 am,34,32,2,0,0,0,Michael Westphal Hiett (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,12461,GEOL,1031,5,24M,1,Introduction to Earth Science Lab,M,06:00 pm-08:00 pm,34,34,0,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10446,GEOL,1031,6,24M,1,Introduction to Earth Science Lab,M,11:30 am-01:30 pm,34,33,1,0,0,0,Michael Westphal Hiett (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10447,GEOL,1031,7,24M,1,Introduction to Earth Science Lab,R,12:25 pm-02:25 pm,34,32,2,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10448,GEOL,1031,8,24M,1,Introduction to Earth Science Lab,W,10:20 am-12:20 pm,34,33,1,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10449,GEOL,1031,9,24M,1,Introduction to Earth Science Lab,W,12:40 pm-02:40 pm,34,33,1,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10450,GEOL,1031,10,24M,1,Introduction to Earth Science Lab,W,09:10 am-11:10 am,34,31,3,0,0,0,Michael Westphal Hiett (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10459,GEOL,1031,11,24M,1,Introduction to Earth Science Lab,W,06:00 pm-08:00 pm,34,32,2,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10451,GEOL,1031,12,24M,1,Introduction to Earth Science Lab,W,11:30 am-01:30 pm,32,26,6,0,0,0,Michael Westphal Hiett (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,10458,GEOL,1031,13,24M,1,Introduction to Earth Science Lab,R,02:40 pm-04:40 pm,34,34,0,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10457,GEOL,1031,14,24M,1,Introduction to Earth Science Lab,R,01:00 pm-03:00 pm,34,21,13,0,0,0,Ronald L Zawislak (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10452,GEOL,1031,15,24M,1,Introduction to Earth Science Lab,T,09:40 am-11:40 am,34,31,3,0,0,0,Alan D Brown (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,14073,GEOL,1031,16,24M,1,Introduction to Earth Science Lab,T,10:45 am-12:45 pm,34,14,20,0,0,0,Ronald L Zawislak (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,10453,GEOL,1031,17,24M,1,Introduction to Earth Science Lab,T,01:00 pm-03:00 pm,34,34,0,0,0,0,Ronald L Zawislak (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
C,10454,GEOL,1031,18,24M,1,Introduction to Earth Science Lab,T,02:40 pm-04:40 pm,34,34,0,0,0,0,Laura Rachael Collins (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10455,GEOL,1031,19,24M,1,Introduction to Earth Science Lab,T,03:45 pm-05:45 pm,34,17,17,0,0,0,Ronald L Zawislak (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,10456,GEOL,1031,20,24M,1,Introduction to Earth Science Lab,R,09:40 am-11:40 am,34,11,23,0,0,0,Alan D Brown (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,14072,GEOL,1031,21,24M,1,Introduction to Earth Science Lab,R,10:45 am-12:45 pm,34,9,25,0,0,0,Ronald L Zawislak (P),01/17-05/04,DSB 205,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
NR,13233,GEOL,1031,22,24M,1,Introduction to Earth Science Lab,M,01:50 pm-03:50 pm,34,24,10,0,0,0,Michael Westphal Hiett (P),01/17-05/04,DSB 204,Geosciences Materials Fee and Gen Ed - Natural Science Block and GE Current: Natural Science and Credit from 4-Year College and Natural Phys Science
