Sections Found,,,,,,,,,,,,,,,,,,,
GERM-German,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10616,GERM,1010,1,24M,3,Elementary German I,MWF,10:20 am-11:15 am,25,12,13,0,0,0,"Tom Heine (P), Priscilla Renate Golling",01/17-05/04,BDA 305,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,10617,GERM,1010,2,24M,3,Elementary German I,TR,09:40 am-11:05 am,20,16,4,0,0,0,Tom Heine (P),01/17-05/04,BAS S337,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,10618,GERM,1020,1,24M,3,Elementary German II,MWF,09:10 am-10:05 am,15,10,5,0,0,0,Michael Howard Rice (P),01/17-05/04,BDA 316A,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,16528,GERM,2010,1,24M,3,Intermediate German I,TR,11:20 am-12:45 pm,24,11,13,0,0,0,Michael Howard Rice (P),01/17-05/04,COE 247,Tutoring Courses and Credit from 4-Year College
NR,13531,GERM,2020,1,24M,3,Intermediate German II,TR,11:20 am-12:45 pm,28,10,18,0,0,0,Sonja M Hedgepeth (P),01/17-05/04,BAS S307,Tutoring Courses and Credit from 4-Year College
NR,13434,GERM,3000,1,24M,1,Group Conversational German,W,12:40 pm-01:35 pm,16,8,8,0,0,0,"Tom Heine (P), Priscilla Renate Golling",01/17-05/04,BDA 303B,Credit from 4-Year College and Upper-Division Work
NR,15773,GERM,3020,1,24M,3,Advanced Composition and Conversation,MW,12:40 pm-02:05 pm,25,12,13,0,0,0,Tom Heine (P),01/17-05/04,BAS S339,Credit from 4-Year College and Upper-Division Work
NR,17062,GERM,3030,1,24M,3,Business German,MWF,10:20 am-11:15 am,16,5,11,0,0,0,Michael Howard Rice (P),01/17-05/04,BDA 316A,Credit from 4-Year College and Upper-Division Work
C,17397,GERM,3910,S01,24M,12,Study Abroad,,TBA,1,1,0,0,0,0,Tom Heine (P),01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College and Upper-Division Work
NR,16530,GERM,4010,1,24M,3,Topics in German Literature and Culture:German Cinema,R,02:40 pm-05:40 pm,16,10,6,0,0,0,Sonja M Hedgepeth (P),01/17-05/04,BAS S307,Credit from 4-Year College and Upper-Division Work
C,10621,GERM,4900,1,24M,3,Directed Study in German Literature and Culture,,TBA,2,2,0,0,0,0,Sonja M Hedgepeth (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,17323,GERM,4900,2,24M,1,Directed Study in German Literature and Culture,,TBA,1,1,0,0,0,0,Tom Heine (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,17605,GERM,4900,4,24M,3,Directed Study in German Literature and Culture,,TBA,2,2,0,0,0,0,Michael Howard Rice (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,17631,GERM,4990,1,24M,3,German for Reading Knowledge,TR,02:40 pm-04:05 pm,1,1,0,16,8,8,Michael Howard Rice (P),01/17-05/04,BDA 316A,Credit from 4-Year College and Upper-Division Work
NR,16788,GERM,5990,1,24M,3,German for Reading Knowledge,TR,02:40 pm-04:05 pm,15,7,8,16,8,8,Michael Howard Rice (P),01/17-05/04,BDA 316A
