Sections Found,,,,,,,,,,,,,,,,,,,
GS-Global Studies,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10136,GS,2010,1,24M,3,Introduction to Cross-Cultural Experiences,TR,11:20 am-12:45 pm,25,24,1,0,0,0,Latoya Elise Eaves (P),01/17-05/04,MGB 301,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12919,GS,2010,2,24M,3,(EXL)Introduction to Cross-Cultural Experiences,MWF,10:20 am-11:15 am,25,26,-1,0,0,0,Corey L Perkins (P),01/17-05/04,CKNB 105,Experiential Learning and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12705,GS,2010,3,24M,3,(EXL)Introduction to Cross-Cultural Experiences,TR,11:20 am-12:45 pm,24,24,0,0,0,0,Corey L Perkins (P),01/17-05/04,PH 314B,Experiential Learning and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13675,GS,2010,5,24M,3,(EXL)Introduction to Cross-Cultural Experiences,MWF,11:30 am-12:25 pm,24,22,2,0,0,0,Corey L Perkins (P),01/17-05/04,PH 314B,Experiential Learning and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,15501,GS,2010,6,24M,3,(EXL)Introduction to Cross-Cultural Experiences,W,06:00 pm-09:00 pm,24,24,0,0,0,0,Antonio L Vasquez (P),01/17-05/04,PH 314B,Experiential Learning and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,14956,GS,2010,8,24M,3,(EXL)Introduction to Cross-Cultural Experiences,MW,12:40 pm-02:05 pm,24,23,1,0,0,0,Antonio L Vasquez (P),01/17-05/04,PH 314B,Experiential Learning and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,15908,GS,2010,D01,24M,3,(EXL)Introduction to Cross-Cultural Experiences,,TBA,35,34,1,0,0,0,Antonio L Vasquez (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,14280,GS,3000,1,24M,3,(EXL)Globalization,MW,02:20 pm-03:45 pm,24,23,1,0,0,0,Corey L Perkins (P),01/17-05/04,PH 314B,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,14281,GS,3000,2,24M,3,(EXL)Globalization,MW,04:10 pm-05:35 pm,24,17,7,0,0,0,Corey L Perkins (P),01/17-05/04,PH 314B,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,15840,GS,3010,2,24M,3,(EXL)Field Experience and Study Abroad,T,02:40 pm-05:40 pm,15,9,6,0,0,0,J Douglas Heffington (P),01/17-01/17,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,,TBA,,,,,,,J Douglas Heffington (P),01/17-05/04,TBA TBA,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),01/24-01/24,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),01/31-01/31,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),02/07-02/07,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),02/14-02/14,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),02/21-02/21,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),04/18-04/18,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),04/25-04/25,SAG 208,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
NR,17296,GS,3010,4,24M,3,(EXL)Field Experience and Study Abroad,T,06:00 pm-09:00 pm,24,9,15,0,0,0,J Douglas Heffington (P),01/17-05/04,PH 314B,Experiential Learning and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
NR,15813,GS,3040,1,24M,3,"(EXL)Contemporary Migration: Global Trends, Local Implications",T,02:40 pm-05:40 pm,15,13,2,0,0,0,Antonio L Vasquez (P),01/17-05/04,COE 105,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,17021,GS,3200,S01,24M,3,(Study Abroad)Special Problems and Topics in Global Studies:Cuba,,TBA,10,7,3,0,0,0,James P Chaney (P),01/17-05/04,TBA TBA,Study Abroad and Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
NR,12762,GS,3300,1,24M,3,Global Studies Internship,,TBA,5,3,2,0,0,0,J Douglas Heffington (P),01/17-05/04,TBA TBA,Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
NR,12834,GS,3300,2,24M,6,Global Studies Internship,,TBA,5,1,4,0,0,0,J Douglas Heffington (P),01/17-05/04,TBA TBA,Global Studies-Gender and Global Studies-Governance and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
C,16422,GS,4000,1,24M,3,Global Issues in Human Trafficking,W,04:30 pm-07:30 pm,20,20,0,0,0,0,James P Chaney (P),01/17-05/04,PH 220,Credit from 4-Year College and Upper-Division Work
C,14384,GS,4990,1,24M,3,Senior Seminar,W,02:40 pm-05:40 pm,15,15,0,0,0,0,Antonio L Vasquez (P),01/17-05/04,PH 200,Credit from 4-Year College and Upper-Division Work
C,17293,GS,4990,3,24M,3,Senior Seminar,,TBA,15,17,-2,0,0,0,J Douglas Heffington (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),01/19-01/19,SAG 208,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),01/26-01/26,SAG 208,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),02/02-02/02,SAG 208,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),02/09-02/09,SAG 208,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),02/16-02/16,SAG 208,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),02/23-02/23,SAG 208,Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,02:40 pm-05:40 pm,,,,,,,J Douglas Heffington (P),04/20-04/20,SAG 208,Credit from 4-Year College and Upper-Division Work
