Sections Found,,,,,,,,,,,,,,,,,,,
HHP-Health & Human Performance,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,10853,HHP,6610,1,24M,3,Research Methods in Health and Human Performance,M,06:00 pm-09:00 pm,15,16,-1,0,0,0,Norman Lee Weatherby (P),01/17-05/04,MC 103,
NR,17171,HHP,6620,1,24M,3,Foundations of Qualitative Inquiry in Health & Human Performance,T,02:40 pm-05:40 pm,10,8,2,20,14,6,John Randall Dunlap (P),01/17-05/04,MC 103,
NR,10856,HHP,6700,1,24M,3,Data Analysis and Organization for Human Performance,T,06:00 pm-09:00 pm,15,12,3,0,0,0,Minsoo Kang (P),01/17-05/04,MC 100A,
C,14650,HHP,6999,1,24M,1,Comprehensive Examination and Preparation,,TBA,1,1,0,0,0,0,Andrew Adu Kwame Owusu (P),01/17-05/04,TBA TBA,
C,12782,HHP,7060,1,24M,3,Research Practicum in Human Performance,,TBA,1,1,0,0,0,0,Jennifer L Caputo (P),01/17-05/04,TBA TBA,
C,16293,HHP,7060,2,24M,3,Research Practicum in Human Performance,,TBA,1,1,0,0,0,0,Bethany Ann Eakin Wrye (P),01/17-05/04,TBA TBA,
C,17428,HHP,7060,3,24M,3,Research Practicum in Human Performance,,TBA,1,1,0,0,0,0,Andrew Adu Kwame Owusu (P),01/17-05/04,TBA TBA,
C,13936,HHP,7060,10,24M,3,Research Practicum in Human Performance,,TBA,1,1,0,0,0,0,I-Chun Wu (P),01/17-05/04,TBA TBA,
NR,13109,HHP,7600,1,24M,3,Teaching Practicum in Human Performance,,TBA,3,1,2,0,0,0,Richard Sinclair Farley (P),01/17-05/04,TBA TBA,
C,13117,HHP,7600,2,24M,3,Teaching Practicum in Human Performance,,TBA,1,1,0,0,0,0,John Randall Dunlap (P),01/17-05/04,TBA TBA,
C,13121,HHP,7600,3,24M,3,Teaching Practicum in Human Performance,,TBA,1,2,-1,0,0,0,Jennifer L Caputo (P),01/17-05/04,TBA TBA,
NR,17102,HHP,7620,1,24M,3,Foundations of Qualitative Inquiry in Health & Human Performance,T,02:40 pm-05:40 pm,10,6,4,20,14,6,John Randall Dunlap (P),01/17-05/04,MC 103,
C,16136,HHP,7640,1,24M,6,Dissertation Research,,TBA,2,2,0,0,0,0,Jennifer L Caputo (P),01/17-05/04,TBA TBA,
C,12756,HHP,7640,2,24M,1,Dissertation Research,,TBA,2,3,-1,0,0,0,Jennifer L Caputo (P),01/17-05/04,TBA TBA,
C,12757,HHP,7640,3,24M,1,Dissertation Research,,TBA,1,2,-1,0,0,0,Minsoo Kang (P),01/17-05/04,TBA TBA,
C,12758,HHP,7640,4,24M,1,Dissertation Research,,TBA,1,2,-1,0,0,0,Denise C Bates (P),01/17-05/04,TBA TBA,
C,13764,HHP,7640,6,24M,1,Dissertation Research,,TBA,1,2,-1,0,0,0,Norman Lee Weatherby (P),01/17-05/04,TBA TBA,
NR,16236,HHP,7640,7,24M,6,Dissertation Research,,TBA,2,1,1,0,0,0,Helen J Gray (P),01/17-05/04,TBA TBA,
NR,13765,HHP,7640,9,24M,1,Dissertation Research,,TBA,2,1,1,0,0,0,Colby Burke Jubenville (P),01/17-05/04,TBA TBA,
C,13766,HHP,7640,10,24M,1,Dissertation Research,,TBA,2,2,0,0,0,0,John Michael Coons (P),01/17-05/04,TBA TBA,
C,13884,HHP,7640,13,24M,6,Dissertation Research,,TBA,1,1,0,0,0,0,Sandra Lynn Stevens (P),01/17-05/04,TBA TBA,
NR,16237,HHP,7640,15,24M,3,Dissertation Research,,TBA,2,1,1,0,0,0,Norman Lee Weatherby (P),01/17-05/04,TBA TBA,
C,13887,HHP,7640,16,24M,6,Dissertation Research,,TBA,1,1,0,0,0,0,Vaughn W Barry (P),01/17-05/04,TBA TBA,
C,13941,HHP,7640,18,24M,6,Dissertation Research,,TBA,1,1,0,0,0,0,Norman Lee Weatherby (P),01/17-05/04,TBA TBA,
C,13956,HHP,7640,19,24M,1,Dissertation Research,,TBA,1,1,0,0,0,0,John Randall Dunlap (P),01/17-05/04,TBA TBA,
C,17599,HHP,7640,20,24M,2,Dissertation Research,,TBA,1,1,0,0,0,0,Norman Lee Weatherby (P),01/17-05/04,TBA TBA,
NR,10857,HHP,7700,1,24M,3,Advanced Data Analysis and Organization for Human Performance,W,06:00 pm-09:00 pm,10,9,1,0,0,0,Minsoo Kang (P),01/17-05/04,MC 100A,
C,17615,HHP,7999,1,24M,1,Comprehensive Examination and Preparation,,TBA,1,1,0,0,0,0,Andrew Adu Kwame Owusu (P),01/17-05/04,TBA TBA,
