Sections Found,,,,,,,,,,,,,,,,,,,
HIST-History (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,16595,HIST,1010,1,24M,3,Survey Western Civilization I,TR,11:20 am-12:45 pm,35,28,7,0,0,0,Suzanne Sutherland Duchacek (P),01/17-05/04,PH 213,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
NR,13256,HIST,1010,2,24M,3,Survey Western Civilization I,TR,09:40 am-11:05 am,35,32,3,0,0,0,Suzanne Sutherland Duchacek (P),01/17-05/04,PH 213,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
NR,16596,HIST,1020,H01,24M,3,(HONORS) Survey Western Civilization II,TR,11:20 am-12:45 pm,20,11,9,0,0,0,Emily Bruderle Baran (P),01/17-05/04,PH 214,University Honors and Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
C,11216,HIST,1110,1,24M,3,Survey World Civilization I,MWF,10:20 am-11:15 am,35,35,0,0,0,0,Aliou Ly (P),01/17-05/04,PH 227,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
NR,11217,HIST,1110,2,24M,3,Survey World Civilization I,MWF,09:10 am-10:05 am,35,32,3,0,0,0,Aliou Ly (P),01/17-05/04,PH 227,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
NR,11218,HIST,1110,3,24M,3,Survey World Civilization I,TR,09:40 am-11:05 am,35,24,11,0,0,0,Yuan Ling Chao (P),01/17-05/04,PH 214,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
NR,11219,HIST,1110,D01,24M,3,Survey World Civilization I,,TBA,25,24,1,0,0,0,Edward H Lykens (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
C,11937,HIST,1110,R50,51R,3,Survey of World History I,,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
NR,14284,HIST,1120,1,24M,3,Survey World Civilization II,MW,12:40 pm-02:05 pm,35,30,5,0,0,0,Mark Edward Doyle (P),01/17-05/04,PH 200,Tutoring Courses and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
C,12550,HIST,1120,D01,24M,3,Survey World Civilization II,,TBA,25,25,0,0,0,0,Edward H Lykens (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE-Current: Hum/Fine Arts-Hum and Gen Ed - Hum/Fine Art Block and Credit from 4-Year College and Social Studies
C,11221,HIST,2010,1,24M,3,Survey of United States History I,MWF,08:00 am-08:55 am,35,35,0,0,0,0,Robert E Hunt (P),01/17-05/04,PH 200,Tutoring Courses and GE Current: History and Gen Ed - History Block and Credit from 4-Year College and U S History
NR,12595,HIST,2010,2,24M,3,Survey of United States History I,MW,02:20 pm-03:45 pm,25,23,2,0,0,0,Joshua Jack Jeffers (P),01/17-05/04,PH 219,MT Engage and Tutoring Courses and GE Current: History and Gen Ed - History Block and Credit from 4-Year College and U S History
NR,11222,HIST,2010,3,24M,3,Survey of United States History I,MWF,10:20 am-11:15 am,25,24,1,0,0,0,Kathryn Lee Sikes (P),01/17-05/04,PH 220,Tutoring Courses and GE Current: History and Gen Ed - History Block and Credit from 4-Year College and U S History
C,11223,HIST,2010,4,24M,3,Survey of United States History I,MW,12:40 pm-02:05 pm,25,25,0,0,0,0,Joshua Jack Jeffers (P),01/17-05/04,PH 201,MT Engage and Tutoring Courses and GE Current: History and Gen Ed - History Block and Credit from 4-Year College and U S History
C,11225,HIST,2010,6,24M,3,Survey of United States History I,TR,11:20 am-12:45 pm,25,25,0,0,0,0,Brady L Holley (P),01/17-05/04,PH 201,MT Engage and Tutoring Courses and GE Current: History and Gen Ed - History Block and Credit from 4-Year College and U S History
