Sections Found,,,,,,,,,,,,,,,,,,,
HLTH-Health,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10478,HLTH,1530,1,24M,3,Health and Wellness,MW,12:40 pm-01:35 pm,200,196,4,0,0,0,Shannon Sireace Finch Josey (P),01/17-05/04,BAS S102,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10502,HLTH,1530,4,24M,3,Health and Wellness,T,11:20 am-12:45 pm,92,91,1,0,0,0,Casie Alicia Higginbotham (P),01/17-05/04,MC 104,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10505,HLTH,1530,5,24M,3,Health and Wellness,T,02:40 pm-04:05 pm,62,35,27,0,0,0,Jennifer Ann Kelton (P),01/17-05/04,MC 104,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10509,HLTH,1530,6,24M,3,Health and Wellness,R,11:20 am-12:45 pm,92,51,41,0,0,0,Casie Alicia Higginbotham (P),01/17-05/04,MC 104,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10513,HLTH,1530,8,24M,3,Health and Wellness,T,06:00 pm-07:25 pm,25,13,12,0,0,0,Cynthia Michelle Bass-Thomas (P),01/17-05/04,MC 104,GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10515,HLTH,1530,D01,24M,3,Health and Wellness,,TBA,30,29,1,0,0,0,Lashan Matthews Dixon (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14370,HLTH,1530,D03,24M,3,Health and Wellness,,TBA,30,30,0,0,0,0,Amber Jenea Dorsey (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14389,HLTH,1530,D05,24M,3,Health and Wellness,,TBA,30,30,0,0,0,0,Amber Jenea Dorsey (P),03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10471,HLTH,1531,1,24M,0,Health and Wellness Lab,F,12:40 pm-01:35 pm,30,30,0,0,0,0,"Shannon Sireace Finch Josey (P), Tandra Sharnell Gause",01/17-05/04,MC 103,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10472,HLTH,1531,2,24M,0,Health and Wellness Lab,F,11:30 am-12:25 pm,30,30,0,0,0,0,"Shannon Sireace Finch Josey (P), Tandra Sharnell Gause",01/17-05/04,MC 102,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10473,HLTH,1531,3,24M,0,Health and Wellness Lab,F,08:00 am-08:55 am,30,29,1,0,0,0,"Shannon Sireace Finch Josey (P), Tandra Sharnell Gause",01/17-05/04,MC 100B,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10475,HLTH,1531,5,24M,0,Health and Wellness Lab,F,01:50 pm-02:45 pm,30,30,0,0,0,0,Laura Frances Boone (P),01/17-05/04,MC 102,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10476,HLTH,1531,8,24M,0,Health and Wellness Lab,F,12:40 pm-01:35 pm,30,30,0,0,0,0,"Shannon Sireace Finch Josey (P), Victor L Pigg",01/17-05/04,MC 100B,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10479,HLTH,1531,13,24M,0,Health and Wellness Lab,F,11:30 am-12:25 pm,30,27,3,0,0,0,Laura Frances Boone (P),01/17-05/04,MC 100B,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10481,HLTH,1531,15,24M,0,Health and Wellness Lab,F,02:20 pm-03:15 pm,30,20,10,0,0,0,"Shannon Sireace Finch Josey (P), Victor L Pigg",01/17-05/04,MC 101,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10503,HLTH,1531,22,24M,0,Health and Wellness Lab,T,01:00 pm-02:25 pm,31,31,0,0,0,0,Laura Frances Boone (P),01/17-05/04,MC 104,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,10504,HLTH,1531,23,24M,0,Health and Wellness Lab,T,01:00 pm-02:25 pm,31,31,0,0,0,0,"Casie Alicia Higginbotham (P), Victor L Pigg",01/17-05/04,MC 101,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,11851,HLTH,1531,25,24M,0,Health and Wellness Lab,T,01:00 pm-02:25 pm,30,29,1,0,0,0,"Casie Alicia Higginbotham (P), Tandra Sharnell Gause",01/17-05/04,MC 103,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10506,HLTH,1531,26,24M,0,Health and Wellness Lab,T,04:20 pm-05:45 pm,31,25,6,0,0,0,"Jennifer Ann Kelton (P), Victor L Pigg",01/17-05/04,MC 102,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10508,HLTH,1531,29,24M,0,Health and Wellness Lab,T,04:20 pm-05:45 pm,31,10,21,0,0,0,Laura Frances Boone (P),01/17-05/04,MC 104,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10510,HLTH,1531,30,24M,0,Health and Wellness Lab,R,01:00 pm-02:25 pm,30,29,1,0,0,0,"Casie Alicia Higginbotham (P), Victor L Pigg",01/17-05/04,MC 101,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10511,HLTH,1531,31,24M,0,Health and Wellness Lab,R,01:00 pm-02:25 pm,31,11,20,0,0,0,Laura Frances Boone (P),01/17-05/04,MC 104,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10512,HLTH,1531,32,24M,0,Health and Wellness Lab,R,01:00 pm-02:25 pm,31,11,20,0,0,0,"Casie Alicia Higginbotham (P), Tandra Sharnell Gause",01/17-05/04,MC 103,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10514,HLTH,1531,38,24M,0,Health and Wellness Lab,T,07:40 pm-09:05 pm,25,13,12,0,0,0,Cynthia Michelle Bass-Thomas (P),01/17-05/04,MC 104,Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,10516,HLTH,1531,D01,24M,0,Health and Wellness Lab,,TBA,30,29,1,0,0,0,Lashan Matthews Dixon (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14371,HLTH,1531,D03,24M,0,Health and Wellness Lab,,TBA,30,30,0,0,0,0,Amber Jenea Dorsey (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Distance Education Fee-UG and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,14390,HLTH,1531,D05,24M,0,Health and Wellness Lab,,TBA,30,30,0,0,0,0,Amber Jenea Dorsey (P),03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13476,HLTH,2600,2,24M,3,Introduction to Health Professions,MW,02:20 pm-03:45 pm,40,35,5,0,0,0,Jennifer Ann Kelton (P),01/17-05/04,MC 104,Credit from 4-Year College
C,12346,HLTH,3020,D01,24M,3,Terminology in Health and Human Performance,,TBA,35,36,-1,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,13046,HLTH,3020,D02,24M,3,Terminology in Health and Human Performance,,TBA,35,34,1,0,0,0,Beverly K Clanton (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,13877,HLTH,3020,D03,24M,3,Terminology in Health and Human Performance,,TBA,35,33,2,0,0,0,Beverly K Clanton (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,10530,HLTH,3300,2,24M,3,First Aid and Safety Education,MWF,09:10 am-10:05 am,22,22,0,44,41,3,Tina Maria Jenkins (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
C,10532,HLTH,3300,5,24M,3,First Aid and Safety Education,M,06:00 pm-09:00 pm,22,23,-1,44,43,1,Tayler Deane Redinger (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
NR,10538,HLTH,3300,8,24M,3,First Aid and Safety Education,TR,04:20 pm-05:45 pm,22,21,1,44,43,1,Ray W Wiley (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
C,12257,HLTH,3300,9,24M,3,First Aid and Safety Education,TR,01:00 pm-02:25 pm,22,22,0,44,44,0,Laura Elizabeth Connahan (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
C,14372,HLTH,3300,D01,24M,3,First Aid and Safety Education,,TBA,15,15,0,0,0,0,William R Whitehill (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14391,HLTH,3300,D02,24M,3,First Aid and Safety Education,,TBA,15,15,0,0,0,0,William R Whitehill (P),03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12584,HLTH,3300,D03,24M,3,First Aid and Safety Education,,TBA,15,18,-3,0,0,0,Phillip N Davis (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,13975,HLTH,3300,D04,24M,3,First Aid and Safety Education,,TBA,15,14,1,0,0,0,Phillip N Davis (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14392,HLTH,3300,D05,24M,3,First Aid and Safety Education,,TBA,25,25,0,0,0,0,Phillip N Davis (P),03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14711,HLTH,3300,D06,24M,3,First Aid and Safety Education,,TBA,25,27,-2,0,0,0,Beverly K Clanton (P),03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14817,HLTH,3300,D07,24M,3,First Aid and Safety Education,,TBA,20,20,0,0,0,0,William R Whitehill (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,16347,HLTH,3300,D08,24M,3,First Aid and Safety Education,,TBA,20,21,-1,0,0,0,"Beverly K Clanton (P), Darrell J Bernd",03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,10537,HLTH,3300,D09,24M,3,First Aid and Safety Education,,TBA,20,18,2,0,0,0,Keith Alan Vroman (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12724,HLTH,3320,1,24M,3,Community and Public Health,MWF,11:30 am-12:25 pm,40,20,20,0,0,0,Bethany Ann Eakin Wrye (P),01/17-05/04,MC 104,Credit from 4-Year College and Upper-Division Work
NR,10540,HLTH,3340,1,24M,3,Foundations of Health Education,MWF,10:20 am-11:15 am,45,27,18,0,0,0,Casie Alicia Higginbotham (P),01/17-05/04,MC 101,Credit from 4-Year College and Upper-Division Work
NR,17151,HLTH,3340,D02,24M,3,Foundations of Health Education,,TBA,25,23,2,0,0,0,Sandra M Neal (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
