Sections Found,,,,,,,,,,,,,,,,,,,
HSC-Human Sciences (MTSU&TN e),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11507,HSC,1010,1,24M,1,Career Orientation,T,11:20 am-12:15 pm,70,69,1,0,0,0,Jasmin Hyunju Kwon (P),01/17-05/04,EHS 106,Credit from 4-Year College
C,11508,HSC,1010,2,24M,1,Career Orientation,M,12:40 pm-01:35 pm,30,31,-1,0,0,0,Lisa M Sheehan-Smith (P),01/17-05/04,EHS 110,Credit from 4-Year College
NR,12938,HSC,1010,3,24M,1,(EXL) Career Orientation,W,09:10 am-10:05 am,18,15,3,0,0,0,Janis Brickey (P),01/17-05/04,LRC 108,Experiential Learning and Credit from 4-Year College
C,12228,HSC,190,R50,15R,3,Introduction to Human Pathophysiology,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
NR,11523,HSC,4000,1,24M,1,Senior Seminar,R,11:20 am-12:15 pm,70,26,44,0,0,0,Jasmin Hyunju Kwon (P),01/17-05/04,EHS 106,Credit from 4-Year College and Upper-Division Work
NR,14118,HSC,4000,2,24M,1,Senior Seminar,T,11:20 am-12:15 pm,31,22,9,0,0,0,Lisa M Sheehan-Smith (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
NR,15689,HSC,4000,3,24M,1,Senior Seminar,W,04:10 pm-05:05 pm,25,14,11,0,0,0,Teresa Braswell King (P),01/17-05/04,LRC 208,Credit from 4-Year College and Upper-Division Work
NR,17081,HSC,4051,1,24M,3,Advanced Problems in Human Sciences: Child Development and Family Studies,R,04:30 pm-07:30 pm,20,15,5,0,0,0,Jaime Elizabeth Bruce (P),01/17-05/04,EHS 109,Credit from 4-Year College and Upper-Division Work
NR,14769,HSC,4053,1,24M,3,"(EXL) Advanced Problems in Human Sciences: Textiles, Merchandising, and Design",,TBA,3,2,1,0,0,0,Gina R Pisut (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,11526,HSC,4101,1,24M,6,(EXL) Internship: Child Development and Family Studies,,TBA,30,26,4,0,0,0,Beth C Emery (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,13778,HSC,4102,1,24M,6,Internship: Nutrition and Food Science,,TBA,1,1,0,0,0,0,Janet M Colson (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,14119,HSC,4103,1,24M,6,"Internship: Textiles, Merchandising, and Design",,TBA,5,5,0,0,0,0,Gina R Pisut (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,11527,HSC,4410,D01,24M,3,Consumer Economics,,TBA,30,30,0,0,0,0,Brelinda A Johnson (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13055,HSC,4410,D02,24M,3,Consumer Economics,,TBA,30,31,-1,0,0,0,Rebecca D Seul (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,15283,HSC,4460,1,24M,3,Global Topics in Human Sciences,TR,11:20 am-12:45 pm,32,15,17,0,0,0,Frederick Steven Cottle (P),01/17-05/04,LRC 207,Credit from 4-Year College and Upper-Division Work
