Sections Found,,,,,,,,,,,,,,,,,,,
IDES-Interior Design,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11534,IDES,3600,1,24M,3,House Design,MW,09:10 am-11:40 am,22,21,1,0,0,0,R Austin Bealmear (P),01/17-05/04,LRC 112,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,11535,IDES,3710,1,24M,3,Principles of Interior Design,TR,09:40 am-12:10 pm,22,20,2,0,0,0,Deborah Gwyn Belcher (P),01/17-05/04,LRC 112,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,11536,IDES,3720,1,24M,3,Interior Materials and Finishes,WF,12:40 pm-02:40 pm,22,20,2,0,0,0,Janis Brickey (P),01/17-05/04,LRC 112,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,11886,IDES,3740,1,24M,3,Interior Design Business Practices,TR,01:00 pm-02:25 pm,18,16,2,0,0,0,Dana L Miller (P),01/17-05/04,LRC 109,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,11537,IDES,3750,1,24M,3,Interior Design Visual Presentations II,TR,04:55 pm-07:25 pm,22,21,1,0,0,0,Diana Noel Dennis (P),01/17-05/04,LRC 112,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,17616,IDES,3770,2,24M,3,Advanced Computer Applications in Interior Design,MW,05:00 pm-07:30 pm,18,16,2,0,0,0,Dana Lynn Lyons (P),01/17-05/04,LRC 109,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,12137,IDES,4710,D01,24M,3,Survey of Contemporary Interior Design,,TBA,40,24,16,0,0,0,Heather Hayes Cavitt (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,11538,IDES,4740,1,24M,3,Lighting Design,MW,12:40 pm-02:40 pm,18,16,2,0,0,0,R Austin Bealmear (P),01/17-05/04,LRC 109,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,11887,IDES,4750,1,24M,3,Introduction to Commercial Design,TR,09:40 am-12:10 pm,18,16,2,0,0,0,Dana L Miller (P),01/17-05/04,LRC 109,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,11559,IDES,4760,1,24M,3,(EXL) Contract Design I,T,08:00 am-12:50 pm,18,10,8,0,0,0,Janis Brickey (P),01/17-05/04,LRC 108,Experiential Learning and Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,11560,IDES,4770,1,24M,3,(EXL) Contract Design II,R,08:00 am-12:50 pm,18,10,8,0,0,0,Janis Brickey (P),01/17-05/04,LRC 108,Experiential Learning and Tutoring Courses and Credit from 4-Year College and Upper-Division Work
