Sections Found,,,,,,,,,,,,,,,,,,,
INFS-Computer Info Systems,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,12785,INFS,1010,R50,60R,3,Computer Applications,,TBA,0,6,-6,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,16944,INFS,1100,R01,51R,3,Technology for Teachers,,TBA,0,0,0,198,1,197,RODP Faculty (P),01/17-03/03,TBA TBA,TN eCampus (formerly RODP) and TN eCampus-RODP Accelerated 1 and Credit from 4-Year College
C,12817,INFS,1100,R50,51R,3,Technology for Teachers,,TBA,0,0,0,198,0,198,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,10219,INFS,2200,1,24M,3,Introduction to Microcomputing,TR,04:20 pm-05:45 pm,20,21,-1,0,0,0,Carlos M Coronel (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,10224,INFS,2200,3,24M,3,Introduction to Microcomputing,MWF,11:30 am-12:25 pm,20,20,0,0,0,0,Dale Jennings Brown (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,12132,INFS,2200,5,24M,3,Introduction to Microcomputing,MW,04:10 pm-05:35 pm,20,21,-1,0,0,0,Janae Elise Peterson (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,12407,INFS,2200,D01,24M,3,Introduction to Microcomputing,,TBA,20,20,0,0,0,0,Erica Crystal Williamson (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
C,12460,INFS,2200,D02,24M,3,Introduction to Microcomputing,,TBA,20,20,0,0,0,0,Charles Hairabed Apigian (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
NR,13295,INFS,2200,D03,24M,3,Introduction to Microcomputing,,TBA,20,18,2,0,0,0,Carlos M Coronel (P),01/17-05/04,TBA TBA,Distance Learning and College of Business Course Fee and Distance Education Fee-UG and Credit from 4-Year College
C,10227,INFS,2400,1,24M,3,Web Development,TR,09:40 am-11:05 am,25,30,-5,0,0,0,Charles Hairabed Apigian (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,10228,INFS,2400,2,24M,3,Web Development,W,06:00 pm-09:00 pm,25,27,-2,0,0,0,Erica Crystal Williamson (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,16769,INFS,2400,3,24M,3,Web Development,MW,12:40 pm-02:05 pm,25,30,-5,0,0,0,Charles Hairabed Apigian (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,13515,INFS,2600,2,24M,3,Introduction to Software Development and Programming,M,06:00 pm-09:00 pm,28,31,-3,0,0,0,Michael C Murphy (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,16770,INFS,2600,3,24M,3,Introduction to Software Development and Programming,TR,11:20 am-12:45 pm,28,31,-3,0,0,0,Michael C Murphy (P),01/17-05/04,BAS S304,College of Business Course Fee and Credit from 4-Year College
C,10230,INFS,3100,1,24M,3,Principles of Management Information Systems,MW,12:40 pm-02:05 pm,85,90,-5,0,0,0,Carol L Clark (P),01/17-05/04,BAS S328,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
C,10231,INFS,3100,2,24M,3,Principles of Management Information Systems,M,06:00 pm-09:00 pm,30,32,-2,0,0,0,Terry Nathaniel Tilton (P),01/17-05/04,BAS S275,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
NR,14257,INFS,3100,3,24M,3,Principles of Management Information Systems,T,06:00 pm-09:00 pm,30,28,2,0,0,0,Andrew Alan Diamond (P),01/17-05/04,BAS S275,College of Business Course Fee and Credit from 4-Year College and Upper-Division Work
