Sections Found,,,,,,,,,,,,,,,,,,,
JAPN-Japanese,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,13323,JAPN,1000,1,24M,3,Introduction to Japanese Culture and Language,R,02:40 pm-05:40 pm,20,20,0,0,0,0,Ryoko Fujise (P),01/17-05/04,BDA 309,Credit from 4-Year College
NR,10627,JAPN,1010,1,24M,3,Elementary Japanese I,MWF,09:10 am-10:05 am,20,14,6,0,0,0,Ryoko Fujise (P),01/17-05/04,BAS S278,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,16715,JAPN,1010,2,24M,3,Elementary Japanese I,MWF,10:20 am-11:15 am,20,12,8,0,0,0,Ryoko Fujise (P),01/17-05/04,BAS S278,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,16896,JAPN,1010,3,24M,3,Elementary Japanese I,TR,02:40 pm-04:05 pm,20,16,4,0,0,0,"Chiaki Shima (P), Yuki Tahara",01/17-05/04,BAS S278,Tutoring Courses and Credit from 4-Year College and Foreign Language I
NR,11849,JAPN,1020,1,24M,3,Elementary Japanese II,MWF,10:20 am-11:15 am,20,16,4,0,0,0,"Chiaki Shima (P), Yuki Tahara",01/17-05/04,BAS S307,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,16716,JAPN,1020,2,24M,3,Elementary Japanese II,TR,08:00 am-09:25 am,20,13,7,0,0,0,Ryoko Fujise (P),01/17-05/04,BDA 214,Tutoring Courses and Credit from 4-Year College and Foreign Language II
NR,16897,JAPN,2010,1,24M,3,Intermediate Japanese I,MWF,11:30 am-12:25 pm,20,17,3,0,0,0,Ryoko Fujise (P),01/17-05/04,BAS S279,Tutoring Courses and Credit from 4-Year College
NR,10629,JAPN,2020,1,24M,3,Intermediate Japanese II,TR,09:40 am-11:05 am,15,6,9,0,0,0,Chiaki Shima (P),01/17-05/04,BDA 305,Tutoring Courses and Credit from 4-Year College
NR,16898,JAPN,2020,2,24M,3,Intermediate Japanese II,MWF,10:20 am-11:15 am,16,15,1,0,0,0,Chiaki Shima (P),01/17-05/04,BDA 303B,Tutoring Courses and Credit from 4-Year College
NR,10630,JAPN,3010,1,24M,3,Advanced Japanese,MW,12:40 pm-02:05 pm,16,15,1,0,0,0,Chiaki Shima (P),01/17-05/04,BDA 316A,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,12903,JAPN,3020,1,24M,3,Advanced Japanese,MW,02:20 pm-03:45 pm,20,14,6,0,0,0,Chiaki Shima (P),01/17-05/04,BDA 307,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,13572,JAPN,3030,1,24M,3,Advanced Japanese III,TR,08:00 am-09:25 am,16,11,5,0,0,0,Chiaki Shima (P),01/17-05/04,BDA 316A,Tutoring Courses and Credit from 4-Year College and Upper-Division Work
NR,14317,JAPN,3035,1,24M,3,Business Japanese II,TR,02:40 pm-04:05 pm,20,14,6,0,0,0,Priya Ananth (P),01/17-05/04,BDA 303A,Credit from 4-Year College and Upper-Division Work
NR,16717,JAPN,4010,1,24M,3,Topics in Japanese Language and Culture,MW,04:10 pm-05:35 pm,21,14,7,0,0,0,Priya Ananth (P),01/17-05/04,BDA 307,Credit from 4-Year College and Upper-Division Work
NR,14320,JAPN,4020,1,24M,3,Modern Japanese Literature,TR,08:00 am-09:25 am,16,7,9,0,0,0,Priya Ananth (P),01/17-05/04,BDA 303A,Credit from 4-Year College and Upper-Division Work
NR,16718,JAPN,4040,1,24M,3,Advanced Japanese in Cultural Context I,TR,09:40 am-11:05 am,16,14,2,0,0,0,Priya Ananth (P),01/17-05/04,BDA 303B,Credit from 4-Year College and Upper-Division Work
C,17498,JAPN,4900,1,24M,3,Directed Study in Japanese,,TBA,5,5,0,0,0,0,Priya Ananth (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
