Sections Found,,,,,,,,,,,,,,,,,,,
JOUR-Journalism (MTSU & TN eC),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10799,JOUR,1020,1,24M,3,American Media and Social Institutions,TR,11:20 am-12:45 pm,90,24,66,330,118,212,Robert K Kalwinsky (P),01/17-05/04,LRC 221,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,12886,JOUR,1020,2,24M,3,American Media and Social Institutions,TR,02:40 pm-04:05 pm,25,25,0,45,45,0,Stephen Leon Alligood (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,12179,JOUR,1020,4,24M,3,American Media and Social Institutions,MWF,10:20 am-11:15 am,57,38,19,77,58,19,Katherine Ann Foss (P),01/17-05/04,BRAGG 104,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,13603,JOUR,1020,7,24M,3,American Media and Social Institutions,TR,09:40 am-11:05 am,3,3,0,66,37,29,Paul D Fischer (P),01/17-05/04,BRAGG 101,Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
NR,13197,JOUR,1020,H03,24M,3,(HONORS) American Media and Social Institutions,TR,11:20 am-12:45 pm,10,4,6,20,10,10,Larry L Burriss (P),01/17-05/04,BRAGG 151,University Honors and Media Entertainment Course Fee and GE Current: Social/Behavioral and Gen Ed - Soc/Beh Science Block and Credit from 4-Year College
C,15333,JOUR,2132,1,24M,3,Introduction to Video Journalism,MWF,09:10 am-10:05 am,16,16,0,0,0,0,Daniel J Eschenfelder (P),01/17-05/04,BRAGG 111,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,MWF,10:20 am-11:15 am,,,,,,,Daniel J Eschenfelder (P),01/17-05/04,BRAGG 111,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
NR,15361,JOUR,2132,2,24M,3,Introduction to Video Journalism,MW,04:10 pm-05:35 pm,16,15,1,0,0,0,Daniel J Eschenfelder (P),01/17-05/04,BRAGG 111,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
,,,,,,,,MW,06:00 pm-07:25 pm,,,,,,,Daniel J Eschenfelder (P),01/17-05/04,BRAGG 111,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,10879,JOUR,2710,1,24M,3,Media Writing,TR,01:00 pm-02:25 pm,18,18,0,0,0,0,Andrea L Phillips (P),01/17-05/04,BRAGG 228,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,12671,JOUR,2710,5,24M,3,Media Writing,MWF,11:30 am-12:25 pm,18,18,0,0,0,0,Laura Gayle Hudgens (P),01/17-05/04,BRAGG 150,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
NR,12672,JOUR,2710,6,24M,3,Media Writing,TR,02:40 pm-04:05 pm,18,17,1,0,0,0,Stephan S Foust (P),01/17-05/04,BAS S315,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,13195,JOUR,2710,7,24M,3,Media Writing,MW,04:10 pm-05:35 pm,18,18,0,0,0,0,Laura Gayle Hudgens (P),01/17-05/04,BAS S315,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,13196,JOUR,2710,8,24M,3,Media Writing,TR,11:20 am-12:45 pm,16,16,0,0,0,0,Whitney A Matheson (P),01/17-05/04,HONR 118,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,14403,JOUR,2710,10,24M,3,Media Writing,TR,02:40 pm-04:05 pm,16,16,0,0,0,0,Jennifer Culpepper Justus (P),01/17-05/04,HONR 118,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,16847,JOUR,2710,11,24M,3,Media Writing,MWF,09:10 am-10:05 am,18,18,0,0,0,0,Joseph Leonard White (P),01/17-05/04,BAS S308,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,15316,JOUR,2710,12,24M,3,Media Writing,TR,04:20 pm-05:45 pm,12,12,0,0,0,0,Andrew J Oppmann (P),01/17-05/04,BRAGG 104,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,16848,JOUR,2710,14,24M,3,Media Writing,MWF,10:20 am-11:15 am,18,18,0,0,0,0,Joseph Leonard White (P),01/17-05/04,BAS S308,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
NR,16849,JOUR,2710,15,24M,3,Media Writing,MWF,11:30 am-12:25 pm,18,17,1,0,0,0,Joseph Leonard White (P),01/17-05/04,BAS S308,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,16850,JOUR,2710,16,24M,3,Media Writing,M,06:00 pm-09:00 pm,18,18,0,0,0,0,Laura Gayle Hudgens (P),01/17-05/04,COE 241,Tutoring Courses and Media Entertainment Course Fee and Credit from 4-Year College
C,16582,JOUR,2720,1,24M,3,Digital Media Skills,TR,08:00 am-09:25 am,16,16,0,0,0,0,Robert Rhyne Piggott (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee and Credit from 4-Year College
C,16583,JOUR,2720,2,24M,3,Digital Media Skills,MW,02:20 pm-03:45 pm,16,16,0,0,0,0,Robert Rhyne Piggott (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee and Credit from 4-Year College
C,16856,JOUR,2720,3,24M,3,Digital Media Skills,MW,04:10 pm-05:35 pm,16,16,0,0,0,0,Robert Rhyne Piggott (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee and Credit from 4-Year College
C,10881,JOUR,3090,1,24M,3,Reporting,TR,09:40 am-11:05 am,16,17,-1,0,0,0,Stephen Leon Alligood (P),01/17-05/04,BAS S302,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,10882,JOUR,3090,2,24M,3,Reporting,MW,12:40 pm-02:05 pm,16,16,0,0,0,0,Kenneth R Blake (P),01/17-05/04,BAS S308,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,16586,JOUR,3090,5,24M,3,Reporting,T,06:00 pm-09:00 pm,18,18,0,0,0,0,Jennifer Culpepper Justus (P),01/17-05/04,BRAGG 150,Media Entertainment Course Fee and Credit from 4-Year College and Upper-Division Work
C,11952,JOUR,3400,R50,11R,3,Intro to Public Relations,,TBA,0,12,-12,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,13837,JOUR,3409,R50,11R,3,Public Relations Case Study,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
C,11954,JOUR,3421,R50,11R,3,Public Relations Writing,,TBA,0,14,-14,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College and Upper-Division Work
