Sections Found,,,,,,,,,,,,,,,,,,,
LIBS-Library Science,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,11090,LIBS,4150,D01,24M,3,"Books, Media, and Literacy for Children",,TBA,20,20,0,35,29,6,DeAnne Lynn Luck (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12952,LIBS,4150,D02,24M,3,"Books, Media, and Literacy for Children",,TBA,20,17,3,0,0,0,DeAnne Lynn Luck (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,16810,LIBS,6010,D01,24M,3,Collection Development and User Services,,TBA,11,9,2,0,0,0,Kathryn Sinclair Moisant (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,17290,LIBS,6010,D02,24M,3,Collection Development and User Services,,TBA,11,9,2,0,0,0,DeAnne Lynn Luck (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,17567,LIBS,6010,D03,24M,3,Collection Development and User Services,,TBA,11,7,4,0,0,0,DeAnne Lynn Luck (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
C,15155,LIBS,6020,D01,24M,3,Organizing Library Resources,,TBA,11,12,-1,0,0,0,Frank Pierre Lambert (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
C,17286,LIBS,6020,D02,24M,3,Organizing Library Resources,,TBA,11,11,0,0,0,0,Frank Pierre Lambert (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,17167,LIBS,6060,D01,24M,3,Understanding Research for Evaluation in Libraries,,TBA,15,11,4,0,0,0,Kathryn Elizabeth Boudreau (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
NR,15153,LIBS,6310,D01,24M,3,Materials for Literacy of Children,,TBA,11,9,2,35,29,6,DeAnne Lynn Luck (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
C,16812,LIBS,6550,D01,24M,3,Supervised Field Experience in Library Science,,TBA,11,12,-1,0,0,0,Rhonda Leigh Watson (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
C,17568,LIBS,6550,D02,24M,3,Supervised Field Experience in Library Science,,TBA,11,11,0,0,0,0,Kathryn Elizabeth Boudreau (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
C,15156,LIBS,6900,D01,24M,3,Skills and Issues in the Library,,TBA,11,19,-8,0,0,0,Kathryn Elizabeth Boudreau (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-GR
