Sections Found,,,,,,,,,,,,,,,,,,,
LITS-Literacy Studies,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,14314,LITS,7110,1,24M,3,Models of Literacy Assessment,M,05:15 pm-08:15 pm,10,8,2,0,0,0,Eric L Oslund (P),01/17-05/04,COE 249,
NR,14315,LITS,7210,1,24M,3,Evidence-Based Methods of Literacy Development,W,06:00 pm-09:00 pm,8,6,2,0,0,0,Amy Marie Elleman (P),01/17-05/04,COE 144,
NR,17267,LITS,7330,1,24M,3,Special Topics in Literacy,,TBA,3,1,2,0,0,0,Amy Marie Elleman (P),01/17-05/04,TBA TBA,
NR,13980,LITS,7330,3,24M,3,Special Topics in Literacy,,TBA,3,1,2,0,0,0,Cyrille Louis Magne (P),01/17-05/04,TBA TBA,
NR,17385,LITS,7330,5,24M,3,Special Topics in Literacy,,TBA,3,1,2,0,0,0,Eric L Oslund (P),01/17-05/04,TBA TBA,
C,17387,LITS,7330,6,24M,3,Special Topics in Literacy,,TBA,1,1,0,0,0,0,Amy Marie Elleman (P),01/17-05/04,TBA TBA,
C,17388,LITS,7330,7,24M,3,Special Topics in Literacy,,TBA,1,1,0,0,0,0,Amy Marie Elleman (P),01/17-05/04,TBA TBA,
NR,17614,LITS,7330,8,24M,3,Special Topics in Literacy; Intro to Matlab Programming,,TBA,2,1,1,0,0,0,Cyrille Louis Magne (P),01/17-05/04,TBA TBA,
NR,17225,LITS,7340,1,24M,3,Literature Review and Readings in Literacy,,TBA,3,1,2,0,0,0,Timothy Neal Odegard (P),01/17-05/04,TBA TBA,
NR,17315,LITS,7340,6,24M,6,Literature Review and Readings in Literacy,,TBA,2,1,1,0,0,0,Timothy Neal Odegard (P),01/17-05/04,TBA TBA,
NR,17636,LITS,7340,7,24M,6,Literature Review and Readings in Literacy,,TBA,2,1,1,0,0,0,Eric L Oslund (P),01/17-05/04,TBA TBA,
NR,17587,LITS,7350,1,24M,3,Research Seminar in Literacy,,TBA,5,3,2,0,0,0,Jwa Keun Kim (P),01/17-05/04,TBA TBA,
NR,16218,LITS,7350,6,24M,3,Research Seminar in Literacy,,TBA,2,1,1,0,0,0,Amy Marie Elleman (P),01/17-05/04,TBA TBA,
C,12571,LITS,7640,1,24M,6,Dissertation Research,,TBA,2,2,0,0,0,0,Amy Marie Elleman (P),01/17-05/04,TBA TBA,
C,17586,LITS,7640,4,24M,1,Dissertation Research,,TBA,2,3,-1,0,0,0,Cyrille Louis Magne (P),01/17-05/04,TBA TBA,
C,14680,LITS,7640,5,24M,1,Dissertation Research,,TBA,2,2,0,0,0,0,Jwa Keun Kim (P),01/17-05/04,TBA TBA,
NR,14807,LITS,7640,8,24M,6,Dissertation Research,,TBA,2,1,1,0,0,0,Eric L Oslund (P),01/17-05/04,TBA TBA,
C,14809,LITS,7640,10,24M,1,Dissertation Research,,TBA,2,4,-2,0,0,0,Amy Marie Elleman (P),01/17-05/04,TBA TBA,
