Sections Found,,,,,,,,,,,,,,,,,,,
LSM-Leisure and Sports Mgt,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,15849,LSM,5120,1,24M,3,"Community Development through Leisure, Sport and Tourism",MW,12:40 pm-02:05 pm,5,1,4,33,14,19,John Randall Dunlap (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
C,14480,LSM,5380,D01,24M,3,"(EXL) Disabilities and Diversity in Leisure, Sport & Tourism",,TBA,11,11,0,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Gerontology Grad Cert and Distance Education Fee-GR and Credit from 4-Year College and Upper-Division Work
C,14481,LSM,5540,D01,24M,3,"(EXL) Organization & Administration of Leisure, Sport & Tourism",,TBA,11,11,0,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-GR and Credit from 4-Year College and Upper-Division Work
NR,17577,LSM,5580,1,24M,3,Seminar Outdoor Rec and Environmental Issues,TR,08:00 am-09:25 am,5,2,3,20,9,11,John Randall Dunlap (P),01/17-05/04,MC 100A,Credit from 4-Year College and Upper-Division Work
NR,14497,LSM,6640,1,24M,3,Thesis Research,,TBA,2,1,1,0,0,0,Helen J Gray (P),01/17-05/04,TBA TBA,
C,14660,LSM,6640,3,24M,1,Thesis Research,,TBA,2,2,0,0,0,0,Helen J Gray (P),01/17-05/04,TBA TBA,
NR,14661,LSM,6640,4,24M,3,Thesis Research,,TBA,2,1,1,0,0,0,John Randall Dunlap (P),01/17-05/04,TBA TBA,
NR,17479,LSM,6640,6,24M,3,Thesis Research,,TBA,3,1,2,0,0,0,Steven G Estes (P),01/17-05/04,TBA TBA,
C,16491,LSM,6670,1,24M,3,Behavioral Concepts in Leisure and Sport,TR,11:20 am-12:45 pm,10,11,-1,14,14,0,Steven G Estes (P),01/17-05/04,AMG 204,Credit from 4-Year College and Upper-Division Work
NR,17168,LSM,6850,S01,24M,3,"(STUDY ABROAD) Cross-Cultural Perspectives in Leisure & Tourism: Mendoza, Argentina",,TBA,10,3,7,0,0,0,Tony V Johnston (P),01/17-05/04,TBA TBA,Study Abroad and Credit from 4-Year College and Upper-Division Work
C,12275,LSM,6880,1,24M,3,Internship/Special Project,,TBA,1,3,-2,0,0,0,Steven G Estes (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,14733,LSM,6880,2,24M,3,Internship/Special Project,,TBA,2,2,0,0,0,0,Helen J Gray (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,14929,LSM,6910,1,24M,3,Special Problems,,TBA,1,1,0,0,0,0,Helen J Gray (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
C,16490,LSM,7670,1,24M,3,Behavioral Concepts in Leisure and Sport,TR,11:20 am-12:45 pm,3,3,0,14,14,0,Steven G Estes (P),01/17-05/04,AMG 204,
