Sections Found,,,,,,,,,,,,,,,,,,,
"LSTS-Leisure, Sprt&Tourism Stu",,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,13222,LSTS,3000,D01,24M,3,Leisure in Your Life,,TBA,40,39,1,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17310,LSTS,3000,D02,24M,3,Leisure in Your Life,,TBA,20,20,0,0,0,0,Jingning Ao (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,16200,LSTS,3010,3,24M,3,"(EXL) Introduction to Leisure, Sport, and Tourism Studies",TR,11:20 am-12:45 pm,35,32,3,0,0,0,I-Chun Wu (P),01/17-05/04,AMG 103,Experiential Learning and MT Engage and Credit from 4-Year College and Upper-Division Work
NR,13022,LSTS,3010,D01,24M,3,"(EXL) Introduction to Leisure, Sport, and Tourism Studies",,TBA,30,28,2,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,14752,LSTS,3010,D02,24M,3,"(EXL) Introduction to Leisure, Sport, and Tourism Studies",,TBA,35,31,4,0,0,0,"Helen J Gray (P), Sarah Hogstrom Standridge",01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and MT Engage and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,14094,LSTS,3150,1,24M,3,Foundations of Sport Industry,TR,08:00 am-09:25 am,48,47,1,0,0,0,Steven G Estes (P),01/17-05/04,MC 102,Credit from 4-Year College and Upper-Division Work
NR,17242,LSTS,3360,2,24M,3,Camp and Camp Counseling,MWF,10:20 am-11:15 am,30,14,16,0,0,0,Gretchen Stevenson Campbell (P),01/17-05/04,MC 100B,Credit from 4-Year College and Upper-Division Work
NR,12866,LSTS,3380,D01,24M,3,"(EXL) Disabilities and Diversity in Leisure, Sport, and Tourism",,TBA,36,35,1,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Gerontology (Aging Studies) and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12867,LSTS,3390,1,24M,3,Tourism and Commercial Recreation,TR,08:00 am-09:25 am,23,22,1,0,0,0,I-Chun Wu (P),01/17-05/04,AMG 219,Credit from 4-Year College and Upper-Division Work
NR,15704,LSTS,3530,2,24M,3,"(EXL) Program Planning in Leisure, Sport, and Tourism",TR,09:40 am-11:05 am,40,39,1,0,0,0,"Helen J Gray (P), Courtney Lynn Pruitt",01/17-05/04,MC 100B,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,15057,LSTS,3540,1,24M,3,(EXL) Facility Operations in LSTS,TR,01:00 pm-02:25 pm,48,47,1,0,0,0,Rita Hope Whitaker (P),01/17-05/04,MC 100B,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,17306,LSTS,3560,3,24M,3,"(EXL) Field Studies in Leisure, Sport, and Tourism",,TBA,15,8,7,0,0,0,Steven G Estes (P),01/17-05/04,TBA TBA,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,12918,LSTS,4120,1,24M,3,"Community Development through Leisure, Sport, and Tourism",MW,12:40 pm-02:05 pm,28,13,15,33,14,19,John Randall Dunlap (P),01/17-05/04,AMG 210,Credit from 4-Year College and Upper-Division Work
NR,14751,LSTS,4250,1,24M,3,The Sport Agent,MW,12:40 pm-02:05 pm,65,28,37,0,0,0,Jason N Hughes (P),01/17-05/04,MC 104,Credit from 4-Year College and Upper-Division Work
NR,12870,LSTS,4470,1,24M,3,Leisure and Aging,W,04:30 pm-07:30 pm,25,10,15,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,AMG 103,Gerontology (Aging Studies) and Credit from 4-Year College and Upper-Division Work
NR,16494,LSTS,4540,1,24M,3,"(EXL) Organization and Administration of Leisure, Sport, and Tourism",MW,12:40 pm-02:05 pm,48,17,31,0,0,0,Jingning Ao (P),01/17-05/04,MC 102,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,14411,LSTS,4540,D01,24M,3,"(EXL) Organization and Administration of Leisure, Sport, and Tourism",,TBA,35,20,15,0,0,0,Victoria Dawn Shelar (P),01/17-05/04,TBA TBA,Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,12871,LSTS,4580,1,24M,3,Seminar Outdoor Recreation and Environmental Issues,TR,08:00 am-09:25 am,15,7,8,20,9,11,John Randall Dunlap (P),01/17-05/04,MC 100A,Credit from 4-Year College and Upper-Division Work
NR,12872,LSTS,4660,1,24M,3,"(EXL) Evaluation of Leisure, Sport, and Tourism",TR,02:40 pm-04:05 pm,53,34,19,0,0,0,Heon Tae Kim (P),01/17-05/04,AMG 103,Experiential Learning and Credit from 4-Year College and Upper-Division Work
NR,17110,LSTS,4850,S01,24M,3,"(STUDY ABROAD) Cross Cultural Perspectives in Leisure and Tourism: Mendoza, Argentina",,TBA,10,6,4,0,0,0,Tony V Johnston (P),01/17-05/04,TBA TBA,Study Abroad and Global Studies-Human Diversity and Credit from 4-Year College and Upper-Division Work
NR,12873,LSTS,4890,D01,24M,3,"(EXL) Senior Seminar in Leisure, Sport, and Tourism",,TBA,40,21,19,0,0,0,I-Chun Wu (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,I-Chun Wu (P),01/18-01/18,MC 101,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,I-Chun Wu (P),02/01-02/01,MC 101,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,I-Chun Wu (P),02/15-02/15,MC 101,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,I-Chun Wu (P),03/01-03/01,MC 101,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17576,LSTS,4890,D02,24M,3,"(EXL) Senior Seminar in Leisure, Sport, and Tourism",,TBA,20,20,0,0,0,0,Helen J Gray (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,Helen J Gray (P),01/18-01/18,MC 102,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,Helen J Gray (P),02/01-02/01,MC 102,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,Helen J Gray (P),02/15-02/15,MC 102,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,09:10 am-10:05 am,,,,,,,Helen J Gray (P),03/01-03/01,MC 102,Accelerated 1 Part of term and Distance Learning and Experiential Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13799,LSTS,4920,2,24M,3,"Independent Study in Leisure, Sport, and Tourism Studies: Recreation Therapy",,TBA,1,1,0,0,0,0,Helen J Gray (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
