Sections Found,,,,,,,,,,,,,,,,,,,
MALA-Masters in Liberal Arts,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,15515,MALA,6010,1,24M,3,Foundations of Liberal Arts II:Identity,R,05:15 pm-08:15 pm,15,13,2,0,0,0,Michelle Dawn McCormack (P),01/17-05/04,COE 146,
NR,16167,MALA,6010,2,24M,3,Foundations of Liberal Arts II:Human Migration,T,06:00 pm-09:00 pm,15,8,7,0,0,0,Michelle Dawn McCormack (P),01/17-05/04,COE 104,
C,16859,MALA,6040,1,24M,3,"Topics in Society & People:Civic Advocacy, Participatory Democracy, & Grassroots Politics",M,06:00 pm-09:00 pm,15,15,0,0,0,0,Sekou Macec-Mustafa Franklin (P),01/17-05/04,BAS S208,
NR,16399,MALA,6050,1,24M,3,Topics in Science & Reason:Civilizations and the Biosphere,W,05:15 pm-08:15 pm,15,12,3,0,0,0,Kevin E Smith (P),01/17-05/04,BAS S208,
C,17272,MALA,6070,1,24M,3,Focused Study in Liberal Arts,,TBA,1,1,0,0,0,0,James P Oliver (P),01/17-05/04,TBA TBA,
C,17273,MALA,6070,2,24M,3,Focused Study in Liberal Arts,,TBA,1,1,0,0,0,0,Antonio L Vasquez (P),01/17-05/04,TBA TBA,
C,17284,MALA,6070,3,24M,3,Focused Study in Liberal Arts:Liberal Arts Pedagogy,,TBA,1,1,0,0,0,0,Michelle Dawn McCormack (P),01/17-05/04,TBA TBA,
C,17405,MALA,6070,4,24M,3,Focused Study in Liberal Arts:American Religions,,TBA,1,1,0,0,0,0,Rebecca King (P),01/17-05/04,TBA TBA,
C,17477,MALA,6070,5,24M,3,Focused Study in Liberal Arts:Women in Dance,,TBA,1,1,0,0,0,0,Margaret L Brooker (P),01/17-05/04,TBA TBA,
C,17564,MALA,6070,6,24M,3,Focused Study in Liberal Arts:Early 20th century TN politics,,TBA,1,1,0,0,0,0,Derek W Frisby (P),01/17-05/04,TBA TBA,
