Sections Found,,,,,,,,,,,,,,,,,,,
MATH-Mathematics (MTSU & TN e),,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
C,12611,MATH,1000,KC1,24M,3,Essentials of Mathematics,MWF,10:00 am-11:15 am,13,13,0,0,0,0,"Lawanna S Fisher (P), Christina Monique Cobb",01/17-05/04,KOM 160,Prescribed Course and Tutoring Courses and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--LS Math 0 and Prescribed Course--LS Math 1 and Prescribed Course--LS Math 2 and Prescribed Course--LS Math 3 and Prescribed Course--LS Math 4
C,14148,MATH,1000,KC2,24M,3,Essentials of Mathematics,MWF,01:00 pm-02:15 pm,13,14,-1,0,0,0,"David A Otts (P), Christina Monique Cobb",01/17-05/04,KOM 160,Prescribed Course and Tutoring Courses and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--LS Math 0 and Prescribed Course--LS Math 1 and Prescribed Course--LS Math 2 and Prescribed Course--LS Math 3 and Prescribed Course--LS Math 4
C,12612,MATH,1000,KC3,24M,3,Essentials of Mathematics,TR,04:00 pm-05:50 pm,13,13,0,0,0,0,Vivian R M Alley (P),01/17-05/04,KOM 104,Prescribed Course and Tutoring Courses and Must have Permission to Drop and Credit from 4-Year College and Prescribed Course--LS Math 0 and Prescribed Course--LS Math 1 and Prescribed Course--LS Math 2 and Prescribed Course--LS Math 3 and Prescribed Course--LS Math 4
NR,12950,MATH,1000,KCD,24M,3,Essentials of Mathematics,,TBA,15,8,7,0,0,0,Lawanna S Fisher (P),01/17-05/04,TBA TBA,Distance Learning and Prescribed Course and Tutoring Courses and Must have Permission to Drop and Distance Education Fee-UG and Credit from 4-Year College and Prescribed Course--LS Math 0 and Prescribed Course--LS Math 1 and Prescribed Course--LS Math 2 and Prescribed Course--LS Math 3 and Prescribed Course--LS Math 4
NR,10695,MATH,1010,1,24M,3,Mathematics for General Studies,MWF,09:10 am-10:05 am,25,23,2,0,0,0,Amdeberhan Ayeligne Tessema (P),01/17-05/04,KOM 302,Tutoring Courses and GE Current: Math and Gen Ed - Mathematics Block and Credit from 4-Year College and Geometry Advance Math and Prescribed Course--SAILS Math
NR,10694,MATH,1010,2,24M,3,Mathematics for General Studies,MWF,08:00 am-08:55 am,24,6,18,0,0,0,Amdeberhan Ayeligne Tessema (P),01/17-05/04,KOM 202,Tutoring Courses and GE Current: Math and Gen Ed - Mathematics Block and Credit from 4-Year College and Geometry Advance Math and Prescribed Course--SAILS Math
NR,10696,MATH,1010,8,24M,3,Mathematics for General Studies,TR,08:00 am-09:25 am,25,15,10,0,0,0,Ping Zhang (P),01/17-05/04,KOM 302,Tutoring Courses and GE Current: Math and Gen Ed - Mathematics Block and Credit from 4-Year College and Geometry Advance Math and Prescribed Course--SAILS Math
C,10697,MATH,1010,9,24M,3,Mathematics for General Studies,TR,11:20 am-12:45 pm,25,25,0,0,0,0,Dovie Louise Kimmins (P),01/17-05/04,KOM 302,Tutoring Courses and GE Current: Math and Gen Ed - Mathematics Block and Credit from 4-Year College and Geometry Advance Math and Prescribed Course--SAILS Math
NR,10698,MATH,1010,10,24M,3,Mathematics for General Studies,MW,04:10 pm-05:35 pm,29,19,10,0,0,0,Tammy Lee Jones (P),01/17-05/04,KOM 222,Tutoring Courses and GE Current: Math and Gen Ed - Mathematics Block and Credit from 4-Year College and Geometry Advance Math and Prescribed Course--SAILS Math
NR,16905,MATH,1010,D01,24M,3,Mathematics for General Studies,,TBA,25,23,2,0,0,0,Tammy Lee Jones (P),01/17-05/04,TBA TBA,Distance Learning and Tutoring Courses and Distance Education Fee-UG and GE Current: Math and Gen Ed - Mathematics Block and Credit from 4-Year College and Geometry Advance Math and Prescribed Course--SAILS Math
